<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GWW.US,D,20000103,000000,36.5807,36.6245,34.7092,35.2846,412638.3384999,0
GWW.US,D,20000104,000000,35.1385,35.3344,34.2301,34.2807,267396.20314402,0
GWW.US,D,20000105,000000,34.0869,34.7598,34.0869,34.7598,342243.27524472,0
GWW.US,D,20000106,000000,34.565,34.6614,34.3722,34.6138,254802.8032074,0
GWW.US,D,20000107,000000,32.6447,35.1385,31.6826,34.0869,2082723.1835092,0
GWW.US,D,20000110,000000,34.2807,35.5799,33.4637,35.5799,694244.75021663,0
GWW.US,D,20000111,000000,35.383,37.5418,35.0421,37.2507,1163821.5150657,0
GWW.US,D,20000112,000000,37.2039,38.985,37.2039,38.499,1744925.8804879,0
GWW.US,D,20000113,000000,38.7903,39.9422,38.5964,39.9422,1101940.1012683,0
GWW.US,D,20000114,000000,40.5147,43.2013,40.5147,42.7252,1368347.3044813,0
GWW.US,D,20000118,000000,42.7252,42.774,41.1866,41.9579,719192.09741071,0
GWW.US,D,20000119,000000,41.3814,42.1478,41.2353,42.1478,377319.06832535,0
GWW.US,D,20000120,000000,42.2491,42.4429,41.3814,41.9579,660649.94177343,0
GWW.US,D,20000121,000000,41.0017,41.6727,41.0017,41.5265,663238.64657785,0
GWW.US,D,20000124,000000,41.5265,41.8585,41.4808,41.6249,1099346.3659455,0
GWW.US,D,20000125,000000,41.6249,41.6727,38.0209,39.5089,983494.53169596,0
GWW.US,D,20000126,000000,38.7415,39.4651,38.3132,38.6939,762665.83802436,0
GWW.US,D,20000127,000000,38.7415,39.9422,37.8281,38.5964,526517.20340566,0
GWW.US,D,20000128,000000,38.4026,38.4523,36.9704,36.9704,462906.29735849,0
GWW.US,D,20000131,000000,37.0578,37.9733,36.1534,36.8222,735615.73411001,0
GWW.US,D,20000201,000000,36.869,36.869,35.8124,36.054,668552.88628906,0
GWW.US,D,20000202,000000,36.1016,36.7258,36.1016,36.4317,591729.82653353,0
GWW.US,D,20000203,000000,36.2229,37.6661,35.3582,36.6125,859495.2697332,0
GWW.US,D,20000204,000000,36.5171,37.2377,36.2229,36.9962,372253.33622653,0
GWW.US,D,20000207,000000,36.8014,37.1881,36.702,36.9962,252448.52056366,0
GWW.US,D,20000208,000000,36.9962,37.1881,36.8461,36.9962,392880.47415898,0
GWW.US,D,20000209,000000,37.2845,37.7635,36.702,37.5786,820465.48913553,0
GWW.US,D,20000210,000000,37.4802,38.6273,37.3361,38.6273,844058.62075761,0
GWW.US,D,20000211,000000,38.5398,39.8358,37.6661,39.7374,776499.76381556,0
GWW.US,D,20000214,000000,39.7862,40.8954,39.5943,40.7016,886791.86905255,0
GWW.US,D,20000215,000000,40.7016,40.7016,39.1172,39.3101,535654.63715371,0
GWW.US,D,20000216,000000,39.3101,39.3101,38.2982,38.9682,606300.22022866,0
GWW.US,D,20000217,000000,39.0178,39.0178,38.3956,38.493,458832.58350186,0
GWW.US,D,20000218,000000,37.9573,38.1492,36.2229,36.702,321122.14039857,0
GWW.US,D,20000222,000000,36.8014,36.8014,35.066,36.0281,426472.2642911,0
GWW.US,D,20000223,000000,36.2229,36.6125,35.4576,36.3223,268629.68627274,0
GWW.US,D,20000224,000000,35.8343,35.9337,34.735,35.2598,420915.55358965,0
GWW.US,D,20000225,000000,35.2101,35.2101,32.5643,33.3793,797985.10819891,0
GWW.US,D,20000228,000000,33.4817,33.7718,32.1776,33.5293,630884.36398924,0
GWW.US,D,20000229,000000,33.6218,33.9577,32.8465,32.9926,560355.48894278,0
GWW.US,D,20000301,000000,32.6617,32.6617,31.458,32.3734,521825.74188098,0
GWW.US,D,20000302,000000,32.1776,32.1776,30.5863,30.5863,464391.3064107,0
GWW.US,D,20000303,000000,30.5863,31.7939,30.3925,31.2641,530964.18173272,0
GWW.US,D,20000306,000000,31.5992,31.5992,30.6887,31.1618,591972.29752375,0
GWW.US,D,20000307,000000,31.5047,31.5992,29.9144,29.9641,512927.76081208,0
GWW.US,D,20000308,000000,29.4801,29.4801,28.7088,29.0914,873451.94017505,0
GWW.US,D,20000309,000000,29,31.1618,28.7088,31.1618,811202.29242574,0
GWW.US,D,20000310,000000,31.1618,31.1618,29.6739,30.5416,569249.44559691,0
GWW.US,D,20000313,000000,30.5416,30.636,29.2842,29.9144,302720.50383703,0
GWW.US,D,20000314,000000,31.2105,35.3104,31.1181,35.066,1301034.9429443,0
GWW.US,D,20000315,000000,35.066,37.8589,34.1973,36.1762,1554353.7432031,0
GWW.US,D,20000316,000000,36.9962,39.3587,36.9455,39.3101,1347598.4280018,0
GWW.US,D,20000317,000000,39.3587,39.981,38.4434,38.8727,1138624.6541555,0
GWW.US,D,20000320,000000,38.6759,39.8836,38.1034,38.7267,764021.05970005,0
GWW.US,D,20000321,000000,38.5398,40.0307,38.5398,39.981,600373.26336786,0
GWW.US,D,20000322,000000,40.0784,40.799,39.3587,40.7523,540349.11698947,0
GWW.US,D,20000323,000000,40.7523,42.434,40.7523,42.3873,896058.08407342,0
GWW.US,D,20000324,000000,42.3873,42.9687,42.1994,42.6775,1057974.3759484,0
GWW.US,D,20000327,000000,42.3873,42.774,41.7631,42.3873,756857.60139944,0
GWW.US,D,20000328,000000,42.3873,43.6406,42.3873,43.1615,780451.73912522,0
GWW.US,D,20000329,000000,43.1159,43.8365,42.6775,43.1615,496137.90236818,0
GWW.US,D,20000330,000000,42.9687,42.9687,41.9042,42.0046,910256.21940181,0
GWW.US,D,20000331,000000,42.0046,42.6775,41.8148,41.8148,1343275.2004291,0
GWW.US,D,20000403,000000,41.6657,42.8734,41.4212,42.6775,846157.3530631,0
GWW.US,D,20000404,000000,42.4807,42.919,40.46,41.4212,862829.49737481,0
GWW.US,D,20000405,000000,41.0405,41.3814,38.4434,39.1172,1183206.1149362,0
GWW.US,D,20000406,000000,39.2107,40.0307,39.161,39.7374,1148507.6107407,0
GWW.US,D,20000407,000000,39.8358,39.8836,37.9087,38.1034,1282758.0632407,0
GWW.US,D,20000410,000000,38.5398,38.9214,37.2377,37.526,1137387.146612,0
GWW.US,D,20000411,000000,37.6661,38.9214,37.6661,38.493,922607.14834819,0
GWW.US,D,20000412,000000,38.1988,39.8836,38.1988,38.9682,1049573.4101043,0
GWW.US,D,20000413,000000,39.0178,39.2604,38.2516,38.6273,641131.53011166,0
GWW.US,D,20000414,000000,38.4434,38.4434,34.6853,34.8731,1538791.3312657,0
GWW.US,D,20000417,000000,35.1644,36.0281,35.066,35.7399,398560.93561477,0
GWW.US,D,20000418,000000,35.7875,35.9824,35.1644,35.1644,1087866.722798,0
GWW.US,D,20000419,000000,35.3582,35.3582,33.1407,34.0035,1365383.322999,0
GWW.US,D,20000420,000000,33.7232,33.911,33.4817,33.7232,746730.16161659,0
GWW.US,D,20000424,000000,33.6744,33.6744,32.7123,32.7123,470695.55215671,0
GWW.US,D,20000425,000000,33.1407,33.6218,32.9926,33.5293,393627.00309986,0
GWW.US,D,20000426,000000,33.5293,34.1029,32.9499,33.2868,448463.67883247,0
GWW.US,D,20000427,000000,33.2868,33.3793,32.9499,33.2361,497737.6072415,0
GWW.US,D,20000428,000000,33.1884,33.5293,32.9499,33.4299,443766.18068564,0
GWW.US,D,20000501,000000,33.4299,35.3104,33.4299,34.9219,426104.03033913,0
GWW.US,D,20000502,000000,34.9219,35.0183,34.1973,34.3493,477605.47232645,0
GWW.US,D,20000503,000000,34.2469,34.5402,33.911,34.3493,669541.88622017,0
GWW.US,D,20000504,000000,34.2301,34.9139,34.1843,34.3315,359531.1550171,0
GWW.US,D,20000505,000000,34.3315,35.1574,34.1367,35.1574,324950.36495388,0
GWW.US,D,20000508,000000,34.9597,35.2528,33.9876,34.0869,233309.4099945,0
GWW.US,D,20000509,000000,34.2807,34.3811,33.8524,34.1367,253560.26514543,0
GWW.US,D,20000510,000000,34.3315,34.7658,33.5631,33.753,371019.85309781,0
GWW.US,D,20000511,000000,33.9408,34.5252,33.4637,33.7062,461309.61079626,0
GWW.US,D,20000512,000000,33.8524,33.8524,32.2472,32.7381,759451.33672233,0
GWW.US,D,20000515,000000,32.932,34.7658,32.7381,34.573,478221.20778711,0
GWW.US,D,20000516,000000,34.4259,35.0103,34.3315,34.6216,313835.9374473,0
GWW.US,D,20000517,000000,34.4259,34.6694,34.0869,34.6694,381147.29288066,0
GWW.US,D,20000518,000000,34.6694,34.9597,34.4259,34.7191,360767.65645691,0
GWW.US,D,20000519,000000,34.2301,34.6216,34.2301,34.6216,723016.29755124,0
GWW.US,D,20000522,000000,34.573,34.8145,33.0244,33.3643,396339.45865863,0
GWW.US,D,20000523,000000,33.4637,33.4637,32.8793,33.0244,169330.26999536,0
GWW.US,D,20000524,000000,33.2192,33.3643,32.0156,32.11,319884.63285506,0
GWW.US,D,20000525,000000,31.9161,32.6865,31.8208,32.6358,481190.21978783,0
