<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HAL.US,D,20000103,000000,15.7559,15.7559,14.7384,14.9353,4202087.359217849,0
HAL.US,D,20000104,000000,14.6364,15.2026,14.6364,15.0017,5980521.713914451,0
HAL.US,D,20000105,000000,14.6137,14.7849,14.2554,14.3484,9057815.105776789,0
HAL.US,D,20000106,000000,14.3484,15.0017,14.3484,14.9353,10675666.646801114,0
HAL.US,D,20000107,000000,15.2927,15.9341,15.0275,15.8589,10517739.87294685,0
HAL.US,D,20000110,000000,16.1004,16.1004,14.9353,15.2185,6548454.5554044545,0
HAL.US,D,20000111,000000,15.369,15.7816,15.1017,15.7816,6924031.113344125,0
HAL.US,D,20000112,000000,15.5916,15.7816,14.686,14.7127,7030680.861328279,0
HAL.US,D,20000113,000000,14.9353,15.2927,14.8038,14.9116,9275211.308274537,0
HAL.US,D,20000114,000000,15.0017,15.2769,14.5978,15.0275,8526237.377594542,0
HAL.US,D,20000118,000000,14.9353,16.4666,14.9116,16.237,15297867.977188041,0
HAL.US,D,20000119,000000,16.237,16.5636,16.0094,16.4399,9283397.649337037,0
HAL.US,D,20000120,000000,16.4399,16.4399,15.9014,15.9014,11794442.345155139,0
HAL.US,D,20000121,000000,16.1756,16.9556,16.1004,16.5152,7770996.647752463,0
HAL.US,D,20000124,000000,16.5152,16.9556,15.3264,15.5352,7285400.030365582,0
HAL.US,D,20000125,000000,15.5619,16.149,15.2532,15.5916,6919216.094029896,0
HAL.US,D,20000126,000000,15.9757,16.3152,14.979,15.078,9898518.892449005,0
HAL.US,D,20000127,000000,15.2026,15.5619,14.2702,14.6137,8070009.751283229,0
HAL.US,D,20000128,000000,14.3227,14.6592,13.7426,13.9535,8827654.959926788,0
HAL.US,D,20000131,000000,13.9792,14.2207,13.8397,14.0832,7185729.332617129,0
HAL.US,D,20000201,000000,14.1574,14.3742,13.8575,14.1791,7211970.480680273,0
HAL.US,D,20000202,000000,14.5216,14.5731,14.1247,14.4612,7359070.027931096,0
HAL.US,D,20000203,000000,14.5731,14.6364,14.2554,14.5731,5142226.447184565,0
HAL.US,D,20000204,000000,14.3742,14.5394,14.1574,14.3484,5638656.352885959,0
HAL.US,D,20000207,000000,14.3484,14.9116,14.2554,14.5731,4674684.636798426,0
HAL.US,D,20000208,000000,14.9533,14.9533,14.195,14.3742,5488662.338506433,0
HAL.US,D,20000209,000000,14.2702,14.5731,13.5021,13.8397,7859113.723831192,0
HAL.US,D,20000210,000000,13.6645,14.0287,13.615,13.806,9156281.543554178,0
HAL.US,D,20000211,000000,13.9792,14.003,13.2527,13.3487,7471976.472225214,0
HAL.US,D,20000214,000000,13.5408,14.1247,13.1249,14.003,7452718.41553852,0
HAL.US,D,20000215,000000,14.0287,15.0275,14.003,15.0017,9604321.818517778,0
HAL.US,D,20000216,000000,15.2026,15.4927,15.0532,15.2532,9206841.266924514,0
HAL.US,D,20000217,000000,15.0017,15.3442,14.4969,15.0017,6503916.131889936,0
HAL.US,D,20000218,000000,14.8038,14.9533,14.2554,14.296,4326073.601417957,0
HAL.US,D,20000222,000000,14.2702,14.3227,13.7426,13.8397,4557674.413978384,0
HAL.US,D,20000223,000000,13.7426,13.9059,13.3636,13.3636,4440430.815274617,0
HAL.US,D,20000224,000000,13.4437,14.2554,13.3913,13.806,7611617.083765334,0
HAL.US,D,20000225,000000,13.806,13.8575,13.0349,13.1249,8965609.405450314,0
HAL.US,D,20000228,000000,13.1725,13.7645,13.0517,13.6387,6343091.860051535,0
HAL.US,D,20000229,000000,13.8397,15.0275,13.7426,14.9353,9418459.648302186,0
HAL.US,D,20000301,000000,14.9353,16.1083,14.686,16.0094,11923484.054550085,0
HAL.US,D,20000302,000000,15.9588,16.6993,15.8183,16.4972,11479301.04852093,0
HAL.US,D,20000303,000000,16.4972,16.4972,15.3541,15.9915,9330828.519409733,0
HAL.US,D,20000306,000000,16.4231,16.4805,16.1083,16.133,6916084.209876621,0
HAL.US,D,20000307,000000,16.1578,17.7929,16.1578,17.403,15616623.06402045,0
HAL.US,D,20000308,000000,16.623,16.623,15.5431,15.5916,14360858.752802672,0
HAL.US,D,20000309,000000,15.9915,16.0094,15.2026,15.6926,7315253.958342314,0
HAL.US,D,20000310,000000,15.4421,16.3498,15.3769,15.467,5254176.15138421,0
HAL.US,D,20000313,000000,15.0096,16.2073,14.963,15.2026,6229217.562525414,0
HAL.US,D,20000314,000000,15.0848,15.3264,14.4969,14.9176,7035739.359378351,0
HAL.US,D,20000315,000000,15.0275,15.2997,14.4692,14.8126,4136843.1403097287,0
HAL.US,D,20000316,000000,14.5216,15.6441,14.3742,15.4027,7290938.4138907585,0
HAL.US,D,20000317,000000,15.0848,15.2532,14.7849,15.0096,7779905.342740599,0
HAL.US,D,20000320,000000,14.6681,14.686,14.0287,14.1574,9312528.213102823,0
HAL.US,D,20000321,000000,14.4206,14.7849,14.296,14.6681,12391746.198291436,0
HAL.US,D,20000322,000000,14.963,15.4421,14.7611,15.1275,14477625.49688727,0
HAL.US,D,20000323,000000,15.0096,15.1631,14.5731,14.8126,10365823.285810772,0
HAL.US,D,20000324,000000,15.2285,15.6926,14.963,15.2532,8651667.317360708,0
HAL.US,D,20000327,000000,14.8621,15.5431,14.5731,14.9116,8402971.468749747,0
HAL.US,D,20000328,000000,14.686,15.4027,14.4692,14.7454,12461324.540753972,0
HAL.US,D,20000329,000000,14.5731,15.8183,14.3742,15.7411,11904467.456029011,0
HAL.US,D,20000330,000000,15.6926,16.2983,15.467,15.8589,10526402.058343004,0
HAL.US,D,20000331,000000,15.9588,16.2073,15.5026,16.0836,6015909.984275415,0
HAL.US,D,20000403,000000,16.0331,16.6724,15.8846,16.623,5904685.66485724,0
HAL.US,D,20000404,000000,16.623,16.915,15.2997,15.6441,10048507.855402168,0
HAL.US,D,20000405,000000,15.7203,15.7411,14.7611,14.8621,6518361.189832725,0
HAL.US,D,20000406,000000,14.963,15.5431,14.9116,15.3264,7803492.471555149,0
HAL.US,D,20000407,000000,15.7203,16.1578,15.3769,15.5026,11152601.07879074,0
HAL.US,D,20000410,000000,15.5026,15.5026,14.9353,14.9879,7861037.306872455,0
HAL.US,D,20000411,000000,15.2532,15.7896,14.9879,15.7203,5889036.346943188,0
HAL.US,D,20000412,000000,15.8846,16.133,15.5916,15.9588,5229137.242721806,0
HAL.US,D,20000413,000000,15.8589,16.2073,15.3541,15.3769,5339397.750049025,0
HAL.US,D,20000414,000000,15.467,16.0331,15.0096,15.2026,6267257.831564648,0
HAL.US,D,20000417,000000,15.0275,15.2026,14.6681,15.0275,6846504.857129276,0
HAL.US,D,20000418,000000,15.2532,16.4231,15.0096,16.2983,8713781.672685979,0
HAL.US,D,20000419,000000,16.2073,16.623,15.6669,16.2073,6264366.395291582,0
HAL.US,D,20000420,000000,16.2567,16.623,16.0836,16.524,6022416.221032494,0
HAL.US,D,20000424,000000,16.7636,16.9646,15.8183,16.2736,5174002.94791725,0
HAL.US,D,20000425,000000,16.8229,16.8229,15.7203,16.2073,7166467.234789487,0
