<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HPQ.US,D,20000103,000000,18.6165,19.3935,18.4916,19.1895,25543476.625614,0
HPQ.US,D,20000104,000000,18.6165,18.8626,17.5946,17.7196,22596851.672891,0
HPQ.US,D,20000105,000000,17.5136,18.0455,17.0226,17.617,31153194.097881,0
HPQ.US,D,20000106,000000,17.4541,17.5946,16.4955,16.4955,22197610.115485,0
HPQ.US,D,20000107,000000,17.1466,17.3096,16.4955,16.9632,22669109.9412,0
HPQ.US,D,20000110,000000,17.5566,18.2515,17.5136,18.1295,21210495.720114,0
HPQ.US,D,20000111,000000,17.5741,18.2515,17.5741,17.7196,14537747.028453,0
HPQ.US,D,20000112,000000,17.6991,18.4731,17.3506,18.3511,20282181.517475,0
HPQ.US,D,20000113,000000,18.4536,18.4916,17.9225,18.4154,16276806.808348,0
HPQ.US,D,20000114,000000,18.7805,18.7805,18.1295,18.3705,17523549.570254,0
HPQ.US,D,20000118,000000,18.1295,19.0265,18.1295,18.5375,19763524.127749,0
HPQ.US,D,20000119,000000,18.635,19.0079,18.1861,18.9425,21310927.223834,0
HPQ.US,D,20000120,000000,19.1476,19.25,18.4359,18.9611,18830913.094341,0
HPQ.US,D,20000121,000000,19.0265,19.0265,18.4536,18.4731,17971183.236515,0
HPQ.US,D,20000124,000000,18.6985,18.7424,18.2515,18.4536,17463542.49468,0
HPQ.US,D,20000125,000000,18.4154,18.4916,17.617,18.3901,22240465.726132,0
HPQ.US,D,20000126,000000,18.1295,18.1676,17.4726,17.7625,22690543.893635,0
HPQ.US,D,20000127,000000,18.2906,18.6165,17.4726,17.7196,27706896.084031,0
HPQ.US,D,20000128,000000,17.6747,18.273,17.5136,17.7625,18079563.979608,0
HPQ.US,D,20000131,000000,17.8005,17.9225,16.9632,17.6747,17026327.157483,0
HPQ.US,D,20000201,000000,17.863,17.863,16.9836,17.2735,20086225.953858,0
HPQ.US,D,20000202,000000,17.5136,18.4154,17.3907,18.0455,20952705.339844,0
HPQ.US,D,20000203,000000,18.1295,19.0265,18.1295,18.5375,24313267.543953,0
HPQ.US,D,20000204,000000,18.6985,19.535,18.679,19.2695,28239015.647411,0
HPQ.US,D,20000207,000000,19.4326,21.0675,19.1476,20.9845,38530141.511896,0
HPQ.US,D,20000208,000000,20.7805,20.8195,20.0045,20.2886,28914445.889082,0
HPQ.US,D,20000209,000000,20.0865,20.7396,19.9625,20.2495,25322412.161549,0
HPQ.US,D,20000210,000000,20.4115,20.6615,20.107,20.5764,15500356.989314,0
HPQ.US,D,20000211,000000,20.5764,20.5764,19.5769,19.8229,17094907.404223,0
HPQ.US,D,20000214,000000,19.7995,20.2886,19.6795,20.0865,20102140.824902,0
HPQ.US,D,20000215,000000,20.312,20.6146,19.9255,20.3754,25315679.025686,0
HPQ.US,D,20000216,000000,20.6146,21.5565,20.4955,21.3934,30986625.824147,0
HPQ.US,D,20000217,000000,20.9025,20.9845,20.1861,20.9025,32341761.623369,0
