<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRB.US,D,20000103,000000,6.37884,6.43545,6.11455,6.13345,755081.03112799,0
HRB.US,D,20000104,000000,6.19632,6.52974,5.88785,5.96982,3334755.7872554,0
HRB.US,D,20000105,000000,6.01398,6.58027,6.01398,6.52974,3954080.04959,0
HRB.US,D,20000106,000000,6.45434,6.51105,6.25312,6.46668,1290152.9299868,0
HRB.US,D,20000107,000000,6.47942,6.7439,6.47942,6.68075,1217030.6649258,0
HRB.US,D,20000110,000000,6.66822,6.69327,6.55482,6.63062,671152.38920434,0
HRB.US,D,20000111,000000,6.59898,7.03924,6.57371,6.98901,1816326.0603727,0
HRB.US,D,20000112,000000,6.98901,7.07635,6.84398,6.96334,1390940.6227162,0
HRB.US,D,20000113,000000,6.94523,6.96334,6.8006,6.94523,974769.5054559,0
HRB.US,D,20000114,000000,6.93192,6.93192,6.78748,6.83165,1033272.2192821,0
HRB.US,D,20000118,000000,6.81294,6.84398,6.7439,6.76897,866990.65264319,0
HRB.US,D,20000119,000000,6.7439,6.84398,6.71884,6.73107,1213533.0424769,0
HRB.US,D,20000120,000000,6.65557,6.66822,6.55482,6.63678,573857.21290572,0
HRB.US,D,20000121,000000,6.63678,6.63678,6.47315,6.59291,1320359.1122983,0
HRB.US,D,20000124,000000,6.62414,6.63678,6.40421,6.42271,935982.1490017,0
HRB.US,D,20000125,000000,6.44162,6.44162,6.24655,6.37884,1386488.1748688,0
HRB.US,D,20000126,000000,6.41634,6.51105,6.35358,6.41028,1006560.5958086,0
HRB.US,D,20000127,000000,6.41634,6.54237,6.34741,6.42271,1189688.9588097,0
HRB.US,D,20000128,000000,6.40421,6.41634,6.23412,6.41634,1088272.2046413,0
HRB.US,D,20000131,000000,6.41634,6.41634,6.30932,6.32235,861267.82747418,0
HRB.US,D,20000201,000000,6.32235,6.45434,6.21512,6.24655,1501573.739688,0
