<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUM.US,D,20000103,000000,7.54593,7.60982,6.70153,6.86519,1417610.223812,0
HUM.US,D,20000104,000000,6.70153,7.15582,6.70153,6.9199,1363653.27588,0
HUM.US,D,20000105,000000,6.81066,7.15582,6.81066,7.09213,1207275.5481687,0
HUM.US,D,20000106,000000,7.03791,7.49162,6.81066,7.3737,1130629.7733611,0
HUM.US,D,20000107,000000,7.43759,8.28199,7.31928,7.94581,2664199.4268974,0
HUM.US,D,20000110,000000,8.06372,8.11823,7.60982,7.60982,1405388.9184185,0
HUM.US,D,20000111,000000,7.60982,7.94581,7.49162,7.49162,763921.38324191,0
HUM.US,D,20000112,000000,7.60982,7.89139,7.49162,7.66424,841337.69926462,0
HUM.US,D,20000113,000000,7.77278,8.62675,7.77278,8.4002,1938820.1540482,0
HUM.US,D,20000114,000000,8.51822,8.7355,7.49162,7.49162,1573656.8595949,0
HUM.US,D,20000118,000000,8.17266,8.17266,7.60982,7.8276,855217.47422683,0
HUM.US,D,20000119,000000,7.89139,7.89139,7.26506,7.26506,1343605.1579607,0
HUM.US,D,20000120,000000,7.26506,7.31928,6.98309,7.03791,1921088.6763189,0
HUM.US,D,20000121,000000,7.03791,7.31928,6.98309,7.09213,1839161.483599,0
HUM.US,D,20000124,000000,7.21045,7.3737,6.9199,7.21045,1102769.8925493,0
HUM.US,D,20000125,000000,6.81066,7.09213,6.81066,7.03791,1095166.8179026,0
HUM.US,D,20000126,000000,7.03791,7.31928,7.03791,7.15582,904658.52891724,0
HUM.US,D,20000127,000000,7.26506,7.31928,6.9199,6.9199,463837.71889725,0
HUM.US,D,20000128,000000,6.70153,7.31928,6.46521,6.9199,1955454.0118694,0
HUM.US,D,20000131,000000,6.9199,7.43759,6.9199,7.26506,945623.63024055,0
HUM.US,D,20000201,000000,7.26506,7.60982,7.26506,7.49162,862920.879761,0
HUM.US,D,20000202,000000,7.54593,7.8276,7.49162,7.54593,657764.28121607,0
HUM.US,D,20000203,000000,7.54593,7.8276,7.54593,7.66424,851798.19758441,0
HUM.US,D,20000204,000000,7.77278,7.94581,7.60982,7.60982,529908.61817336,0
HUM.US,D,20000207,000000,7.71846,7.8276,7.54593,7.66424,632435.74869325,0
HUM.US,D,20000208,000000,7.66424,7.77278,7.31928,7.43759,786054.3770012,0
HUM.US,D,20000209,000000,7.09213,7.3737,6.75594,6.86519,1646333.5444971,0
HUM.US,D,20000210,000000,6.75594,6.81066,6.35647,6.52909,1440184.6734759,0
HUM.US,D,20000211,000000,6.46521,6.46521,6.0753,6.24752,1083497.3323896,0
HUM.US,D,20000214,000000,6.30225,6.81066,6.18374,6.75594,993528.61904495,0
HUM.US,D,20000215,000000,6.86519,6.98309,6.70153,6.86519,829881.91854188,0
HUM.US,D,20000216,000000,6.86519,6.98309,6.52909,6.70153,589487.10572615,0
HUM.US,D,20000217,000000,6.75594,6.75594,6.41098,6.46521,459434.19624949,0
HUM.US,D,20000218,000000,6.46521,6.58322,6.35647,6.41098,393579.00838127,0
HUM.US,D,20000222,000000,6.35647,6.41098,6.24752,6.41098,569549.35178305,0
HUM.US,D,20000223,000000,6.35647,6.58322,6.18374,6.46521,692451.67891508,0
HUM.US,D,20000224,000000,6.58322,6.58322,6.24752,6.24752,514937.2431563,0
HUM.US,D,20000225,000000,6.24752,6.41098,6.01151,6.01151,503589.81979195,0
HUM.US,D,20000228,000000,6.18374,6.24752,5.90257,6.01151,546539.46606792,0
HUM.US,D,20000229,000000,6.01151,6.30225,5.95739,6.18374,582437.85757779,0
HUM.US,D,20000301,000000,6.70153,7.03791,6.12952,7.03791,1591381.3141621,0
HUM.US,D,20000302,000000,7.03791,7.15582,6.24752,6.30225,1321690.8855359,0
HUM.US,D,20000303,000000,6.52909,6.70153,6.41098,6.63764,996281.69859507,0
HUM.US,D,20000306,000000,6.41098,6.46521,6.24752,6.35647,528036.44381457,0
HUM.US,D,20000307,000000,6.35647,6.35647,5.55791,5.55791,836050.26149892,0
HUM.US,D,20000308,000000,5.95739,6.12952,5.67542,5.90257,1236348.429409,0
HUM.US,D,20000309,000000,5.84795,6.0753,5.73004,5.95739,576274.53116512,0
HUM.US,D,20000310,000000,5.90257,5.95739,5.73004,5.84795,536295.68246491,0
HUM.US,D,20000313,000000,5.84795,6.12952,5.84795,6.0753,493462.42001831,0
HUM.US,D,20000314,000000,6.0753,6.18374,5.90257,6.01151,511850.06175116,0
HUM.US,D,20000315,000000,6.12952,6.52909,5.95739,6.52909,790793.00481287,0
HUM.US,D,20000316,000000,6.41098,6.63764,6.24752,6.58322,565921.38689486,0
HUM.US,D,20000317,000000,6.58322,6.63764,6.24752,6.35647,580457.32586062,0
HUM.US,D,20000320,000000,6.52909,6.52909,6.35647,6.46521,333671.43551783,0
HUM.US,D,20000321,000000,6.58322,6.63764,6.41098,6.52909,459540.54699013,0
HUM.US,D,20000322,000000,6.41098,6.70153,6.41098,6.52909,348208.37779246,0
HUM.US,D,20000323,000000,6.46521,6.81066,6.41098,6.81066,555236.1473873,0
HUM.US,D,20000324,000000,6.63764,6.81066,6.58322,6.63764,302066.20267958,0
HUM.US,D,20000327,000000,6.70153,6.70153,6.46521,6.52909,333780.79618508,0
HUM.US,D,20000328,000000,6.41098,6.70153,6.41098,6.63764,316052.32838242,0
HUM.US,D,20000329,000000,6.58322,7.03791,6.58322,6.81066,623519.34273047,0
HUM.US,D,20000330,000000,6.9199,7.26506,6.86519,6.86519,846735.50100647,0
HUM.US,D,20000331,000000,6.75594,6.86519,6.58322,6.63764,408006.58998865,0
HUM.US,D,20000403,000000,6.75594,7.15582,6.70153,6.98309,432010.75479786,0
HUM.US,D,20000404,000000,6.81066,7.03791,6.52909,6.9199,482008.64591332,0
HUM.US,D,20000405,000000,6.9199,6.9199,6.52909,6.81066,349308.00431831,0
HUM.US,D,20000406,000000,6.81066,7.31928,6.81066,7.21045,809071.28587845,0
HUM.US,D,20000407,000000,7.21045,7.49162,7.21045,7.43759,780990.67711439,0
HUM.US,D,20000410,000000,7.31928,7.66424,7.31928,7.54593,789137.54517085,0
HUM.US,D,20000411,000000,7.43759,7.49162,7.26506,7.3737,702583.09192421,0
HUM.US,D,20000412,000000,7.3737,7.43759,7.26506,7.31928,741783.37293824,0
HUM.US,D,20000413,000000,6.86519,7.15582,6.86519,7.09213,792994.26448231,0
HUM.US,D,20000414,000000,7.03791,7.03791,6.46521,6.46521,700931.6455177,0
HUM.US,D,20000417,000000,6.46521,6.70153,6.35647,6.52909,639263.26558047,0
HUM.US,D,20000418,000000,6.52909,6.81066,6.41098,6.63764,459540.54699013,0
HUM.US,D,20000419,000000,6.81066,7.26506,6.81066,7.15582,544777.65568527,0
HUM.US,D,20000420,000000,7.15582,7.26506,6.98309,7.15582,309008.09677843,0
HUM.US,D,20000424,000000,7.09213,8.00013,7.09213,7.89139,1540837.6230192,0
HUM.US,D,20000425,000000,7.60982,7.8276,7.54593,7.66424,568892.18447061,0
HUM.US,D,20000426,000000,7.89139,7.94581,7.3737,7.43759,351403.91655598,0
HUM.US,D,20000427,000000,7.3737,7.66424,7.31928,7.60982,1152324.3211425,0
HUM.US,D,20000428,000000,7.60982,7.66424,6.98309,6.98309,803015.3135153,0
HUM.US,D,20000501,000000,6.98309,7.21045,6.9199,7.03791,746960.44672782,0
HUM.US,D,20000502,000000,6.75594,7.26506,6.75594,7.26506,583650.8580064,0
HUM.US,D,20000503,000000,6.9199,6.98309,5.95739,6.0753,1755574.8180015,0
HUM.US,D,20000504,000000,6.30225,6.30225,5.84795,6.01151,1194394.065536,0
HUM.US,D,20000505,000000,6.01151,6.35647,5.84795,6.35647,506234.54198367,0
HUM.US,D,20000508,000000,6.0753,6.12952,5.79363,5.90257,751144.24473218,0
HUM.US,D,20000509,000000,5.90257,5.95739,5.67542,5.73004,580565.683219,0
HUM.US,D,20000510,000000,5.90257,5.90257,5.50329,5.55791,921838.18676586,0
HUM.US,D,20000511,000000,5.67542,5.84795,5.55791,5.73004,503706.20362132,0
HUM.US,D,20000512,000000,5.73004,5.79363,5.55791,5.67542,416260.81209462,0
HUM.US,D,20000515,000000,5.90257,6.0753,5.90257,5.90257,679457.82568858,0
HUM.US,D,20000516,000000,6.0753,6.12952,5.90257,5.95739,486083.08325042,0
HUM.US,D,20000517,000000,5.95739,6.0753,5.90257,5.90257,481453.81610603,0
HUM.US,D,20000518,000000,5.90257,6.12952,5.90257,6.01151,580236.59790835,0
HUM.US,D,20000519,000000,5.90257,5.95739,5.6211,5.79363,604134.41197692,0
HUM.US,D,20000522,000000,5.79363,5.79363,5.55791,5.67542,537070.2369156,0
HUM.US,D,20000523,000000,5.6211,5.67542,5.50329,5.6211,972826.34373991,0
HUM.US,D,20000524,000000,5.67542,5.73004,5.27624,5.33894,1542709.797378,0
HUM.US,D,20000525,000000,5.39385,5.50329,5.22152,5.22152,984608.19984669,0
HUM.US,D,20000526,000000,5.22152,5.44867,5.22152,5.27624,465597.52266215,0
HUM.US,D,20000530,000000,5.27624,5.39385,5.04919,5.04919,684191.43695587,0
HUM.US,D,20000531,000000,5.33894,5.33894,5.10331,5.10331,887039.42178184,0
HUM.US,D,20000601,000000,5.22152,5.44867,5.22152,5.39385,511520.97644051,0
HUM.US,D,20000602,000000,5.44867,5.50329,5.27624,5.27624,844640.59207767,0
HUM.US,D,20000605,000000,5.39385,5.44867,5.1668,5.1668,585082.57976952,0
HUM.US,D,20000606,000000,5.10331,5.10331,4.76713,4.88533,1972518.2891975,0
HUM.US,D,20000607,000000,4.94005,4.94005,4.71291,4.71291,1033278.7133219,0
HUM.US,D,20000608,000000,4.71291,4.71291,4.36765,4.54037,1563857.5418231,0
HUM.US,D,20000609,000000,4.5947,4.76713,4.36765,4.54037,1380942.2943959,0
HUM.US,D,20000612,000000,4.54037,4.76713,4.48616,4.64932,806097.47837607,0
HUM.US,D,20000613,000000,4.76713,4.76713,4.54037,4.71291,978329.49291351,0
HUM.US,D,20000614,000000,4.76713,4.76713,4.64932,4.71291,480355.19288906,0
HUM.US,D,20000615,000000,4.64932,4.76713,4.48616,4.54037,947936.257195,0
HUM.US,D,20000616,000000,4.54037,4.5947,4.31323,4.31323,1136573.3751304,0
HUM.US,D,20000619,000000,4.36765,4.54037,4.36765,4.36765,750264.34284973,0
HUM.US,D,20000620,000000,4.48616,4.54037,4.36765,4.43124,846073.31714966,0
HUM.US,D,20000621,000000,4.43124,4.48616,4.36765,4.48616,740576.39236288,0
HUM.US,D,20000622,000000,4.54037,4.71291,4.48616,4.54037,1275773.4516108,0
HUM.US,D,20000623,000000,4.54037,4.64932,4.48616,4.54037,866995.3170981,0
HUM.US,D,20000626,000000,4.5947,4.76713,4.54037,4.71291,1024913.1239309,0
HUM.US,D,20000627,000000,4.71291,4.76713,4.64932,4.71291,532001.52048441,0
HUM.US,D,20000628,000000,4.76713,4.76713,4.54037,4.64932,1946199.4908161,0
HUM.US,D,20000629,000000,4.71291,5.1668,4.64932,4.99448,3709043.2816094,0
HUM.US,D,20000630,000000,5.04919,5.1668,4.4133,4.43124,2456179.3848262,0
HUM.US,D,20000703,000000,4.71291,4.88533,4.54037,4.76713,550613.90340502,0
HUM.US,D,20000705,000000,4.88533,4.94005,4.71291,4.76713,755770.50194996,0
HUM.US,D,20000706,000000,4.88533,5.44867,4.64932,5.33894,2442631.7051014,0
HUM.US,D,20000707,000000,5.39385,5.39385,5.22152,5.22152,1423224.7402706,0
HUM.US,D,20000710,000000,5.22152,5.50329,5.22152,5.44867,757093.8663547,0
HUM.US,D,20000711,000000,5.39385,5.44867,5.27624,5.39385,568340.36458994,0
HUM.US,D,20000712,000000,5.39385,6.24752,5.39385,6.24752,3855066.8617415,0
HUM.US,D,20000713,000000,6.46521,6.63764,6.24752,6.24752,1751172.2986626,0
HUM.US,D,20000714,000000,6.41098,6.58322,6.35647,6.41098,1584997.2597972,0
HUM.US,D,20000717,000000,6.70153,6.9199,6.46521,6.52909,1875723.0622745,0
HUM.US,D,20000718,000000,6.30225,6.46521,6.12952,6.46521,1769009.1238236,0
HUM.US,D,20000719,000000,6.46521,6.52909,6.35647,6.41098,563388.03198813,0
HUM.US,D,20000720,000000,6.41098,6.75594,6.35647,6.75594,1310239.1180487,0
HUM.US,D,20000721,000000,6.75594,6.9199,6.75594,6.86519,974586.14750482,0
HUM.US,D,20000724,000000,6.81066,6.86519,6.35647,6.58322,593891.63168278,0
HUM.US,D,20000725,000000,6.41098,6.70153,6.35647,6.63764,562616.48746407,0
HUM.US,D,20000726,000000,6.63764,6.70153,6.41098,6.46521,603360.8608351,0
HUM.US,D,20000727,000000,6.52909,6.75594,6.46521,6.70153,541365.40220497,0
