<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBM.US,D,20000103,000000,73.6265,75.9296,73.2683,75.9296,15748817.922352,0
IBM.US,D,20000104,000000,74.658,74.985,72.6018,73.3981,12522412.742648,0
IBM.US,D,20000105,000000,73.9573,78.3978,73.4264,75.9296,19379463.502113,0
IBM.US,D,20000106,000000,77.2393,77.8522,74.3282,74.658,12132941.969305,0
IBM.US,D,20000107,000000,76.7533,77.209,72.4475,74.3282,18045467.210373,0
IBM.US,D,20000110,000000,76.7533,78.1576,75.5198,77.2393,12998324.872288,0
IBM.US,D,20000111,000000,77.1622,79.2917,76.3395,77.902,11982875.635096,0
IBM.US,D,20000112,000000,78.3089,79.8646,77.4023,78.2279,10355134.482136,0
IBM.US,D,20000113,000000,78.5217,79.2068,75.7716,77.4023,12921014.370969,0
IBM.US,D,20000114,000000,79.159,80.7292,76.9163,78.3089,16675543.858006,0
IBM.US,D,20000118,000000,78.349,78.3978,75.3158,75.7716,11633738.013325,0
IBM.US,D,20000119,000000,75.6369,79.8646,73.7856,78.2279,13141388.595912,0
IBM.US,D,20000120,000000,80.537,81.6661,77.902,77.902,27065677.047653,0
IBM.US,D,20000121,000000,79.7797,80.537,78.5217,79.5493,11975874.049184,0
IBM.US,D,20000124,000000,79.7797,80.4647,76.2888,79.5493,9891547.1110727,0
IBM.US,D,20000125,000000,76.4156,78.2279,75.9296,77.9781,10557704.000975,0
IBM.US,D,20000126,000000,77.9303,78.5217,75.9296,76.4156,7450162.8588855,0
IBM.US,D,20000127,000000,77.2393,77.5351,73.0916,74.3282,12669732.955058,0
IBM.US,D,20000128,000000,73.8324,74.783,72.0679,73.0478,10150586.321063,0
IBM.US,D,20000131,000000,72.9247,73.8753,71.78,73.5152,9440279.3752246,0
IBM.US,D,20000201,000000,73.5816,74.2901,71.4579,72.0211,11117489.658097,0
IBM.US,D,20000202,000000,73.3454,75.8174,72.2826,74.3282,11730836.986347,0
IBM.US,D,20000203,000000,75.3158,76.9163,74.6902,76.6664,9457177.246333,0
IBM.US,D,20000204,000000,77.3701,77.5351,75.187,75.6798,8226671.8335008,0
IBM.US,D,20000207,000000,75.9296,76.5152,74.0822,74.738,8796187.7789043,0
IBM.US,D,20000208,000000,76.5474,77.902,76.0487,77.7741,8316461.8189162,0
IBM.US,D,20000209,000000,77.902,78.3978,76.5903,76.8392,8180095.353528,0
IBM.US,D,20000210,000000,77.0315,77.9781,76.5152,77.9781,6767559.9783656,0
IBM.US,D,20000211,000000,77.9303,78.1801,75.0367,75.5198,8750380.8278383,0
IBM.US,D,20000214,000000,75.9296,76.1707,74.985,75.9668,6915803.42053,0
IBM.US,D,20000215,000000,75.8535,76.8763,74.5672,76.6664,7879965.7591276,0
IBM.US,D,20000216,000000,76.2536,76.7933,75.4758,75.7716,6037476.856893,0
IBM.US,D,20000217,000000,76.2536,77.8073,75.7716,76.4156,7971283.5309612,0
IBM.US,D,20000218,000000,75.4758,75.8935,73.0048,73.6625,11678631.981361,0
IBM.US,D,20000222,000000,73.3454,74.2901,71.214,72.6847,11650321.310034,0
IBM.US,D,20000223,000000,72.3607,72.3607,71.0432,71.214,11316258.667327,0
IBM.US,D,20000224,000000,71.2569,72.6847,70.8285,72.3607,13868133.33499,0
IBM.US,D,20000225,000000,71.9333,71.9333,68.702,70.7114,15694791.049994,0
IBM.US,D,20000228,000000,68.499,69.7247,68.0442,68.4121,12906092.06808,0
IBM.US,D,20000229,000000,69.1157,69.1157,66.0758,67.2694,15957636.917625,0
IBM.US,D,20000301,000000,66.7676,69.0679,65.5048,65.6229,16449075.906819,0
IBM.US,D,20000302,000000,65.782,69.0299,65.1281,67.5104,17035183.34631,0
IBM.US,D,20000303,000000,70.2244,72.0211,69.4408,70.7114,15467407.041759,0
IBM.US,D,20000306,000000,71.9801,72.6847,66.1099,67.4704,16357148.454959,0
IBM.US,D,20000307,000000,69.3978,70.0605,66.5656,67.4274,15273052.320852,0
IBM.US,D,20000308,000000,67.4274,69.9746,67.2694,69.5676,12748573.292141,0
IBM.US,D,20000309,000000,69.7247,70.7114,68.1672,70.7114,9640265.6951623,0
IBM.US,D,20000310,000000,70.4694,71.373,68.739,68.9118,10795585.777052,0
IBM.US,D,20000313,000000,68.0823,71.373,67.0956,70.5153,11979374.329804,0
IBM.US,D,20000314,000000,70.5533,72.0211,70.3005,71.1262,12135676.819708,0
IBM.US,D,20000315,000000,70.3834,70.8812,69.4827,70.0605,8623286.6222077,0
IBM.US,D,20000316,000000,71.373,71.9059,70.6324,71.373,10079199.450383,0
IBM.US,D,20000317,000000,70.8812,73.1365,70.5153,72.0211,13480491.601726,0
IBM.US,D,20000320,000000,72.0211,74.254,71.9801,73.8324,9989408.440295,0
IBM.US,D,20000321,000000,73.8753,75.1109,73.3034,74.3282,10306128.50411,0
IBM.US,D,20000322,000000,74.985,75.5198,74.5672,74.8278,9341501.9889547,0
IBM.US,D,20000323,000000,75.8535,75.8535,73.0916,75.4758,9881196.8960423,0
IBM.US,D,20000324,000000,75.5198,80.0207,75.3471,78.9706,18454716.208696,0
IBM.US,D,20000327,000000,81.8515,83.9732,81.5861,83.0715,18054902.393029,0
IBM.US,D,20000328,000000,82.32,83.1466,79.9085,80.1905,12403396.028859,0
IBM.US,D,20000329,000000,80.0714,80.1437,77.5819,77.902,11129056.159161,0
IBM.US,D,20000330,000000,77.8073,80.537,77.7048,80.3759,13938139.972065,0
IBM.US,D,20000331,000000,80.2872,81.0171,76.6323,77.5028,12198842.744423,0
IBM.US,D,20000403,000000,78.5549,80.1026,78.1801,79.8646,11742861.515936,0
IBM.US,D,20000404,000000,79.5493,83.1047,75.3471,79.3356,25366865.647758,0
IBM.US,D,20000405,000000,78.8994,82.32,78.3978,81.8515,13231187.803378,0
IBM.US,D,20000406,000000,80.8561,83.8141,80.2872,80.3759,13526297.528119,0
IBM.US,D,20000407,000000,80.8561,82.2868,79.5493,80.617,8188621.6518418,0
IBM.US,D,20000410,000000,81.6661,82.0985,79.5962,79.9573,8381908.6641992,0
IBM.US,D,20000411,000000,79.645,79.645,77.1242,78.1576,11778023.146346,0
IBM.US,D,20000412,000000,78.3089,78.3089,73.1365,74.4931,13522945.824984,0
IBM.US,D,20000413,000000,73.6625,74.8639,72.0211,72.4475,12535498.832753,0
IBM.US,D,20000414,000000,71.9059,73.8324,67.3483,68.739,17931773.669248,0
IBM.US,D,20000417,000000,68.0052,73.5152,67.6382,73.2683,15173211.324721,0
IBM.US,D,20000418,000000,73.5152,75.3919,72.0679,73.0048,12488471.496963,0
IBM.US,D,20000419,000000,71.8572,71.8572,67.3064,68.739,22334049.758744,0
IBM.US,D,20000420,000000,68.739,68.9118,66.8145,68.0823,16183493.139441,0
IBM.US,D,20000424,000000,66.7676,70.1795,66.2826,69.7247,12971845.290384,0
IBM.US,D,20000425,000000,69.7247,73.9964,69.6828,73.6625,14574928.728812,0
IBM.US,D,20000426,000000,73.6625,74.6092,71.373,72.3607,9409995.1850234,0
IBM.US,D,20000427,000000,71.6941,74.0822,71.171,72.4475,9615004.4486379,0
IBM.US,D,20000428,000000,73.3454,73.7856,72.1089,73.0048,7440269.6477066,0
IBM.US,D,20000501,000000,73.6625,74.1281,72.3197,73.3454,6386308.1016428,0
IBM.US,D,20000502,000000,72.6847,74.4179,72.4856,72.9247,6217222.8246384,0
IBM.US,D,20000503,000000,72.3607,72.7638,69.7755,70.7953,8437464.347648,0
IBM.US,D,20000504,000000,71.4579,71.5019,70.1795,70.4694,5526706.3998477,0
IBM.US,D,20000505,000000,69.8077,71.78,69.7247,70.6324,7145765.5043028,0
IBM.US,D,20000508,000000,70.7514,72.2826,70.4694,71.8572,7346363.5536112,0
IBM.US,D,20000509,000000,72.3607,72.4475,70.8812,71.373,7404205.2809896,0
IBM.US,D,20000510,000000,69.0679,69.1928,66.8145,67.4274,15238964.547027,0
IBM.US,D,20000511,000000,68.0823,70.3834,67.5514,68.3701,12337336.429532,0
IBM.US,D,20000512,000000,67.9251,69.2368,67.5923,68.3701,8522536.7417358,0
IBM.US,D,20000515,000000,68.0823,68.6629,66.7676,68.211,8991456.5075145,0
IBM.US,D,20000516,000000,68.8259,71.5361,68.739,71.373,11058278.968508,0
IBM.US,D,20000517,000000,70.3834,71.2999,69.4827,70.6324,8408085.9677713,0
IBM.US,D,20000518,000000,69.4827,70.2635,68.5351,69.4408,6966325.9135789,0
IBM.US,D,20000519,000000,69.4408,70.3834,68.739,69.6828,9769786.3248294,0
IBM.US,D,20000522,000000,69.3978,71.5361,67.7153,71.5361,10302774.75163,0
IBM.US,D,20000523,000000,71.373,72.0211,70.1404,70.3005,9099668.0517672,0
IBM.US,D,20000524,000000,69.7247,72.0211,68.211,71.78,12456051.889662,0
IBM.US,D,20000525,000000,72.3607,73.5152,69.6496,69.7247,9082467.9023266,0
IBM.US,D,20000526,000000,69.0679,70.1795,68.457,70.0195,6539726.1389862,0
IBM.US,D,20000530,000000,70.5533,72.6847,70.5153,72.6466,5505697.5434209,0
IBM.US,D,20000531,000000,72.3607,72.5295,70.1795,70.2635,5680726.944511,0
IBM.US,D,20000601,000000,70.4303,71.3272,69.0679,69.3978,8694214.4396912,0
IBM.US,D,20000602,000000,71.373,71.8572,70.4694,71.2569,8330165.7864259,0
IBM.US,D,20000605,000000,71.0003,74.783,71.0003,73.8753,11082025.749355,0
IBM.US,D,20000606,000000,73.5152,75.0767,72.8458,73.5816,8172029.1330826,0
IBM.US,D,20000607,000000,73.6625,79.7084,73.0048,79.2068,16917382.918555,0
IBM.US,D,20000608,000000,78.1576,80.0714,76.9163,78.3978,14193219.848238,0
IBM.US,D,20000609,000000,78.4895,79.0419,77.8073,78.349,7212736.0373148,0
IBM.US,D,20000612,000000,77.9781,78.8526,77.8073,77.8073,5540403.1946513,0
IBM.US,D,20000613,000000,77.8073,78.5217,76.4156,78.1108,6100944.035268,0
IBM.US,D,20000614,000000,77.8073,78.5549,75.5881,75.9296,8039924.2798429,0
IBM.US,D,20000615,000000,75.9296,77.902,75.8535,76.4694,8197748.4081309,0
IBM.US,D,20000616,000000,76.1355,77.0315,74.172,74.172,12246021.731715,0
IBM.US,D,20000619,000000,74.3282,78.8115,74.172,78.8115,9221880.7185003,0
IBM.US,D,20000620,000000,78.5549,79.0077,75.5617,76.1707,10811724.365976,0
IBM.US,D,20000621,000000,75.6369,75.8935,74.3282,74.985,9872977.9994223,0
IBM.US,D,20000622,000000,74.738,74.8639,72.8458,73.2244,7386237.6519867,0
IBM.US,D,20000623,000000,74.3282,74.4179,72.5578,73.2683,5115166.2342344,0
IBM.US,D,20000626,000000,73.9964,75.7716,73.9153,74.9039,5518485.4538831,0
IBM.US,D,20000627,000000,73.0916,73.8753,71.214,71.8572,10056988.653333,0
IBM.US,D,20000628,000000,72.0211,75.4231,71.9333,74.4931,9796270.0054229,0
IBM.US,D,20000629,000000,73.1795,74.9039,72.0679,74.658,11701615.381334,0
IBM.US,D,20000630,000000,73.7856,74.1281,71.1262,71.7479,13108060.10427,0
IBM.US,D,20000703,000000,71.214,71.9333,70.9202,71.6941,3507209.4542873,0
IBM.US,D,20000705,000000,69.1548,69.1548,66.1958,68.739,21824345.985576,0
IBM.US,D,20000706,000000,68.739,68.8259,65.4541,66.2826,19683097.475824,0
IBM.US,D,20000707,000000,67.2224,68.7879,66.5246,68.7879,13745914.520223,0
IBM.US,D,20000710,000000,68.5351,68.702,67.3483,67.6382,6410815.1893451,0
IBM.US,D,20000711,000000,67.5923,68.0823,66.1099,66.7676,8553132.4323201,0
IBM.US,D,20000712,000000,67.5514,69.3149,67.1825,68.499,8447657.7878145,0
IBM.US,D,20000713,000000,69.0299,69.3578,66.7676,68.0823,8629072.9467573,0
IBM.US,D,20000714,000000,67.9251,68.6629,67.5104,68.0442,6118292.762194,0
IBM.US,D,20000717,000000,68.3701,70.6324,68.211,69.0679,10094720.161903,0
IBM.US,D,20000718,000000,68.1672,68.62,67.1825,67.6382,9820771.9697637,0
IBM.US,D,20000719,000000,67.0185,71.6941,66.1099,71.214,11843002.741054,0
IBM.US,D,20000720,000000,73.3454,77.1242,73.1795,76.7533,35078819.467261,0
IBM.US,D,20000721,000000,76.5903,76.5903,74.4931,75.1645,13646534.626634,0
IBM.US,D,20000724,000000,74.738,75.6798,73.0916,73.6625,10371267.947699,0
IBM.US,D,20000725,000000,74.172,74.254,72.1957,73.3454,8472615.7313345,0
IBM.US,D,20000726,000000,72.6847,73.5816,71.2999,71.9333,10152101.811412,0
IBM.US,D,20000727,000000,71.9333,73.0048,71.5751,72.2387,6159991.8019585,0
IBM.US,D,20000728,000000,72.7638,73.6625,71.2999,73.2244,8151022.3260004,0
IBM.US,D,20000731,000000,72.3607,74.4472,72.0679,73.5152,7782564.5077737,0
IBM.US,D,20000801,000000,73.3454,73.6265,72.1957,72.3607,4560561.320325,0
IBM.US,D,20000802,000000,72.6847,75.2328,72.5295,74.8278,8945949.7854361,0
IBM.US,D,20000803,000000,73.9964,76.2536,73.5426,75.9296,8473373.9888458,0
IBM.US,D,20000804,000000,75.9296,76.2536,74.8639,75.8535,6788716.3876055,0
IBM.US,D,20000807,000000,76.3395,77.902,75.8174,76.1355,8995867.7218206,0
