<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFF.US,D,20000103,000000,26.6961,26.9226,24.8314,25.2392,400428.83829497,0
IFF.US,D,20000104,000000,24.8314,25.1889,24.527,24.9279,408127.87012602,0
IFF.US,D,20000105,000000,24.7496,25.3721,24.527,25.1436,327473.81158899,0
IFF.US,D,20000106,000000,24.9279,26.3444,24.8314,25.7189,272723.7872335,0
IFF.US,D,20000107,000000,25.8982,26.6961,25.8174,26.4754,196178.1123753,0
IFF.US,D,20000110,000000,26.0775,26.1652,25.3721,25.8174,237721.82013136,0
IFF.US,D,20000111,000000,25.7189,26.1179,25.4096,25.8558,180148.61440428,0
IFF.US,D,20000112,000000,26.0342,26.4301,25.5416,25.7691,235156.49135538,0
IFF.US,D,20000113,000000,25.7189,26.6566,25.7189,26.2124,268491.55309536,0
IFF.US,D,20000114,000000,25.8174,26.4301,25.5869,26.2124,520573.93550019,0
IFF.US,D,20000118,000000,25.5416,26.0775,25.3721,25.8558,237333.01090254,0
IFF.US,D,20000119,000000,25.7691,26.2981,25.6982,26.0342,318367.75732679,0
IFF.US,D,20000120,000000,26.0342,26.2981,25.9485,26.1179,302859.04038548,0
IFF.US,D,20000121,000000,26.6114,26.6114,25.9485,25.9888,315809.5347247,0
IFF.US,D,20000124,000000,25.8174,25.9485,25.4096,25.4096,363632.05470057,0
IFF.US,D,20000125,000000,25.2392,25.6746,24.7496,25.2746,518780.13417563,0
IFF.US,D,20000126,000000,25.2746,25.7189,24.66,25.6746,314910.09614318,0
IFF.US,D,20000127,000000,25.3721,25.8174,25.1042,25.5869,198613.49968578,0
IFF.US,D,20000128,000000,25.5869,25.6746,24.6137,25.4569,545063.84107669,0
IFF.US,D,20000131,000000,25.4569,25.6381,25.1889,25.3229,264132.42299483,0
IFF.US,D,20000201,000000,25.1436,25.2746,24.8314,25.1436,217336.23756289,0
IFF.US,D,20000202,000000,25.1042,25.2746,24.8314,25.0619,345297.11088457,0
