<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IP.US,D,20000103,000000,35.5228,35.6845,34.5641,34.5641,2931305,0
IP.US,D,20000104,000000,34.2845,35.0063,33.3228,33.7263,2973646,0
IP.US,D,20000105,000000,33.6827,35.1669,33.4051,34.8843,3954757,0
IP.US,D,20000106,000000,34.687,35.8044,34.3677,35.6022,8557712,0
IP.US,D,20000107,000000,36.1246,37.3698,35.8818,36.5223,9459926,0
IP.US,D,20000110,000000,37.0863,37.0863,36.0444,36.4468,4404386,0
IP.US,D,20000111,000000,36.4468,36.5223,34.687,34.7615,3334062,0
IP.US,D,20000112,000000,34.7615,35.3642,34.1685,34.2052,4294089,0
IP.US,D,20000113,000000,34.0465,34.8843,33.765,34.2052,2988335,0
IP.US,D,20000114,000000,34.2845,35.1669,34.2845,34.809,3401711,0
IP.US,D,20000118,000000,34.2845,34.4035,32.4434,32.5218,4900255,0
IP.US,D,20000119,000000,32.841,33.5289,32.1638,32.724,5039766,0
IP.US,D,20000120,000000,32.8894,33.2455,31.3657,31.563,4316898,0
IP.US,D,20000121,000000,31.7623,32.0429,30.8461,31.2427,4908375,0
IP.US,D,20000124,000000,31.4411,31.563,29.4461,30.2057,5062420,0
IP.US,D,20000125,000000,30.4417,30.6478,28.8019,29.7645,4988055,0
IP.US,D,20000126,000000,29.7645,30.8461,29.6039,30.0441,5054609,0
IP.US,D,20000127,000000,30.0858,30.8016,29.125,29.8012,2775862,0
IP.US,D,20000128,000000,30.1215,30.5656,29.6416,29.8429,2457470,0
IP.US,D,20000131,000000,29.125,29.8012,28.8802,29.6871,3455301,0
IP.US,D,20000201,000000,29.1608,30.5259,29.1608,29.9618,2659315,0
IP.US,D,20000202,000000,29.8012,29.9231,28.7264,29.7259,3256269,0
IP.US,D,20000203,000000,29.9231,30.0082,28.2407,28.8019,3996631,0
IP.US,D,20000204,000000,28.9634,29.2004,28.203,28.4477,3306570,0
IP.US,D,20000207,000000,28.8019,28.8019,27.4463,27.7675,2494340,0
IP.US,D,20000208,000000,28.2851,28.6828,27.7675,28.0434,3344689,0
IP.US,D,20000209,000000,28.0434,28.5619,26.8445,26.8824,3617778,0
IP.US,D,20000210,000000,26.8078,27.2423,25.883,27.2423,6306469,0
IP.US,D,20000211,000000,27.4029,27.844,25.8501,26.6009,6948716,0
IP.US,D,20000214,000000,26.6395,27.042,25.883,26.4412,4183795,0
