<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITW.US,D,20000103,000000,21.8957,23.4553,21.8425,23.114,8258152.6823756,0
ITW.US,D,20000104,000000,23.0242,23.0459,21.8957,22.0703,3699005.6807971,0
ITW.US,D,20000105,000000,22.0703,22.534,21.729,22.3436,3106021.0499635,0
ITW.US,D,20000106,000000,22.0339,22.3436,21.8957,22.1907,2693787.4636158,0
ITW.US,D,20000107,000000,22.5705,23.6487,22.534,23.6151,4246269.8206194,0
ITW.US,D,20000110,000000,23.6487,24.1122,23.6368,24.0678,2453316.9423013,0
ITW.US,D,20000111,000000,24.0462,24.4989,23.5855,23.8104,2243765.0297529,0
ITW.US,D,20000112,000000,23.8104,24.0146,23.4553,23.5194,1787667.1435036,0
ITW.US,D,20000113,000000,23.5194,24.9684,23.5194,24.7179,3529882.4418966,0
ITW.US,D,20000114,000000,24.8096,24.856,24.3618,24.4239,1625418.1983847,0
ITW.US,D,20000118,000000,23.9801,24.0462,23.3399,23.3626,1869845.4176242,0
ITW.US,D,20000119,000000,23.2038,23.478,22.9769,23.2974,1650522.9043581,0
ITW.US,D,20000120,000000,23.5194,23.5677,22.6168,22.7727,1168784.0340923,0
ITW.US,D,20000121,000000,23.2512,23.2974,22.4778,22.6001,3066389.1901943,0
ITW.US,D,20000124,000000,22.7076,22.7076,22.0703,22.1907,1442818.0590962,0
ITW.US,D,20000125,000000,22.1907,22.2055,21.1905,21.5772,3106021.0499635,0
ITW.US,D,20000126,000000,21.661,21.8425,21.2141,21.8287,2416851.049127,0
ITW.US,D,20000127,000000,21.8425,22.2726,21.5308,21.6244,1825984.1589969,0
ITW.US,D,20000128,000000,21.5308,21.6244,20.8048,20.8048,1465544.4885305,0
ITW.US,D,20000131,000000,20.9912,21.5772,20.6104,21.1677,2172157.2115032,0
ITW.US,D,20000201,000000,21.2595,21.5988,21.1027,21.4657,1632817.61887,0
ITW.US,D,20000202,000000,21.4657,21.6926,21.2397,21.4657,1989029.9179946,0
ITW.US,D,20000203,000000,21.7064,22.3436,21.5554,21.8425,2038180.9664688,0
ITW.US,D,20000204,000000,21.9323,21.9323,21.6926,21.8287,1661093.3602289,0
ITW.US,D,20000207,000000,21.7734,22.0339,21.729,21.9105,1348215.1655116,0
ITW.US,D,20000208,000000,22.0023,22.1907,21.512,21.5988,2003297.5497128,0
ITW.US,D,20000209,000000,21.5772,21.661,21.4164,21.44,1630964.4690348,0
ITW.US,D,20000210,000000,21.512,21.5772,20.2613,20.6233,1464223.561706,0
ITW.US,D,20000211,000000,20.717,20.717,19.8144,20.1478,1716585.4657158,0
ITW.US,D,20000214,000000,20.1478,20.2159,19.6329,19.7828,2220248.8827466,0
ITW.US,D,20000215,000000,19.7631,21.5988,19.7246,21.1677,2361624.5482664,0
ITW.US,D,20000216,000000,21.1461,21.5772,20.5167,20.9192,1791365.3331091,0
ITW.US,D,20000217,000000,20.9192,21.1027,20.7594,20.8304,1618016.7503831,0
ITW.US,D,20000218,000000,20.2613,21.078,20.2613,20.3815,2613456.2567818,0
ITW.US,D,20000222,000000,20.7594,21.1027,20.2849,20.9429,1407407.4881201,0
ITW.US,D,20000223,000000,20.5414,21.5554,20.4536,21.44,1724779.6725637,0
ITW.US,D,20000224,000000,20.9912,21.0109,19.7828,20.4713,2597869.7257553,0
ITW.US,D,20000225,000000,20.2613,20.2613,18.7697,19.0874,2645960.3832405,0
ITW.US,D,20000228,000000,18.5054,19.1544,18.5054,18.9029,3284129.227042,0
ITW.US,D,20000229,000000,18.9029,19.0874,18.4758,18.7027,2834103.7519049,0
ITW.US,D,20000301,000000,18.7964,19.3587,18.6781,19.1772,2090763.5861641,0
ITW.US,D,20000302,000000,19.1772,19.335,18.9532,19.1772,1560671.495061,0
ITW.US,D,20000303,000000,19.1772,20.2613,19.1772,19.9516,1347156.8020389,0
ITW.US,D,20000306,000000,20.2159,20.3973,19.2472,19.5165,1554066.8609382,0
ITW.US,D,20000307,000000,19.5165,19.7,18.8605,18.9976,2231877.70209,0
ITW.US,D,20000308,000000,19.0657,19.8302,18.9976,19.5668,2188273.9380242,0
ITW.US,D,20000309,000000,19.4721,19.8824,19.3587,19.8499,1957583.1412504,0
ITW.US,D,20000310,000000,19.7631,19.8499,19.3833,19.6743,1328925.3760889,0
ITW.US,D,20000313,000000,19.1772,19.7246,18.8161,19.6112,2068564.3109498,0
ITW.US,D,20000314,000000,19.6556,19.8824,19.407,19.5401,1533984.3126692,0
ITW.US,D,20000315,000000,19.6329,21.44,19.4967,21.1677,3302100.1171564,0
ITW.US,D,20000316,000000,21.2397,23.4316,21.1027,23.2974,3152796.863173,0
ITW.US,D,20000317,000000,23.2974,23.7532,22.7953,23.4553,3157547.3337024,0
ITW.US,D,20000320,000000,23.3626,23.3892,22.463,22.534,2303484.5065816,0
ITW.US,D,20000321,000000,22.5527,22.6376,21.9323,22.463,1433041.3758299,0
ITW.US,D,20000322,000000,22.4324,22.5014,21.9865,22.1384,1435682.2157209,0
ITW.US,D,20000323,000000,22.0703,22.097,21.1905,21.7961,2165547.5085898,0
ITW.US,D,20000324,000000,21.7961,21.9865,21.2141,21.5554,2633540.832567,0
ITW.US,D,20000327,000000,21.3522,21.5554,20.8521,21.1333,1722660.9181023,0
ITW.US,D,20000328,000000,21.0109,21.5554,20.5414,20.6233,2366116.5104764,0
ITW.US,D,20000329,000000,20.6233,21.1905,20.5572,20.8304,2252750.9816891,0
ITW.US,D,20000330,000000,20.8304,21.5554,20.2613,21.078,2956188.6142439,0
ITW.US,D,20000331,000000,21.078,21.8957,20.057,20.057,2533125.0499477,0
ITW.US,D,20000403,000000,20.3303,21.6926,20.3303,21.4874,1892579.9571233,0
ITW.US,D,20000404,000000,21.4164,22.2785,20.9656,21.7823,2256715.789679,0
ITW.US,D,20000405,000000,22.0535,22.1463,21.1677,21.44,2187743.7425297,0
ITW.US,D,20000406,000000,21.7142,22.097,21.1905,21.3266,1322055.1373399,0
ITW.US,D,20000407,000000,21.5988,21.7596,21.0287,21.1461,1067050.3659228,0
ITW.US,D,20000410,000000,21.1253,21.8287,20.9656,21.5308,1142101.920491,0
ITW.US,D,20000411,000000,21.8751,22.1236,21.6244,21.7823,1571510.5968324,0
ITW.US,D,20000412,000000,21.9639,23.4119,21.9639,23.2334,2696690.8668587,0
ITW.US,D,20000413,000000,22.8645,23.0459,22.4106,22.534,1707337.9641858,0
ITW.US,D,20000414,000000,22.5527,22.7362,21.44,21.4657,2271244.9709911,0
ITW.US,D,20000417,000000,21.512,22.238,21.1461,22.167,1584985.4697042,0
ITW.US,D,20000418,000000,22.1463,22.167,21.4164,21.4657,2795263.6372239,0
ITW.US,D,20000419,000000,21.512,22.0535,21.44,21.9639,1489590.8310313,0
ITW.US,D,20000420,000000,21.9639,22.238,21.7379,21.9391,1247269.1873979,0
ITW.US,D,20000424,000000,21.8504,22.5527,21.7823,22.4778,1788194.2977237,0
ITW.US,D,20000425,000000,22.4778,23.6023,22.1463,23.1219,2003036.000119,0
ITW.US,D,20000426,000000,23.0459,23.0676,22.4106,22.6662,2184837.2980124,0
ITW.US,D,20000427,000000,22.7076,22.9769,22.5527,22.7727,1241192.7212533,0
ITW.US,D,20000428,000000,22.8645,23.3399,22.534,23.259,1265503.6546222,0
ITW.US,D,20000501,000000,23.1672,23.5293,23.1219,23.1386,1898123.1864992,0
ITW.US,D,20000502,000000,23.1386,23.5677,22.7727,23.3704,1741160.9899528,0
ITW.US,D,20000503,000000,23.4622,23.4987,21.8957,22.8269,2159469.014929,0
ITW.US,D,20000504,000000,22.7362,22.9315,22.238,22.6908,924623.43323717,0
ITW.US,D,20000505,000000,22.7362,23.3951,22.5705,23.0676,589019.82284358,0
ITW.US,D,20000508,000000,23.0459,23.3034,22.7362,22.9621,1194155.35845,0
ITW.US,D,20000509,000000,22.8269,23.259,22.5705,22.7589,843760.00339248,0
ITW.US,D,20000510,000000,22.8407,23.0015,22.6662,22.7953,997288.60120143,0
ITW.US,D,20000511,000000,22.9108,23.4622,22.895,23.1672,1161125.0915292,0
ITW.US,D,20000512,000000,23.1672,23.4622,22.3268,22.8269,1535836.4487463,0
ITW.US,D,20000515,000000,22.8269,22.9621,22.6376,22.7953,955011.8465088,0
ITW.US,D,20000516,000000,22.7589,23.5677,22.6376,23.4987,1246214.8789576,0
ITW.US,D,20000517,000000,23.4119,23.4987,23.2038,23.4622,742544.36562008,0
ITW.US,D,20000518,000000,23.4622,23.7365,22.8645,22.9621,1299066.1445536,0
ITW.US,D,20000519,000000,22.7727,23.0459,22.5527,22.8269,842431.98026111,0
ITW.US,D,20000522,000000,22.895,22.9769,22.2134,22.2607,1047764.6315326,0
ITW.US,D,20000523,000000,22.2134,22.5014,22.1907,22.3042,700006.06133362,0
ITW.US,D,20000524,000000,22.3978,23.5677,22.3978,23.2334,2583596.0114883,0
ITW.US,D,20000525,000000,23.2748,23.3232,22.0111,22.1463,1894159.3922674,0
ITW.US,D,20000526,000000,22.0535,22.2785,21.6244,21.6452,1273963.4660964,0
ITW.US,D,20000530,000000,21.805,21.8504,21.1253,21.3976,2297146.4908432,0
ITW.US,D,20000531,000000,21.4657,21.5988,21.078,21.078,2275480.4523978,0
ITW.US,D,20000601,000000,21.078,21.4164,20.7396,21.3522,1001782.5909277,0
ITW.US,D,20000602,000000,21.8751,22.0111,21.3976,21.3976,1502800.0992768,0
ITW.US,D,20000605,000000,21.3976,21.5988,21.2812,21.3976,947342.76636469,0
ITW.US,D,20000606,000000,21.4874,21.4874,20.9656,21.2595,934663.69361355,0
ITW.US,D,20000607,000000,21.3522,21.3759,20.6914,20.6914,1034017.0577276,0
ITW.US,D,20000608,000000,20.717,20.9429,20.5069,20.8955,2168452.939349,0
ITW.US,D,20000609,000000,20.9429,21.3266,20.8521,21.2397,1466598.7969707,0
