<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JNJ.US,D,20000103,000000,32.4253,32.644,31.8928,32.1154,6550320.3274673,0
JNJ.US,D,20000104,000000,31.735,31.8928,30.922,30.9426,11036941.060966,0
JNJ.US,D,20000105,000000,30.9426,31.63,30.8073,31.2466,11611771.809501,0
JNJ.US,D,20000106,000000,31.4535,32.7146,31.3839,32.2507,7557757.3314639,0
JNJ.US,D,20000107,000000,32.7803,33.754,32.6028,33.6227,13917596.587984,0
JNJ.US,D,20000110,000000,33.6865,33.754,32.7588,32.7588,6954138.647888,0
JNJ.US,D,20000111,000000,32.4028,33.0696,32.3842,32.8695,8681740.043503,0
JNJ.US,D,20000112,000000,32.692,33.1138,32.443,32.5586,7285156.5624273,0
JNJ.US,D,20000113,000000,32.7146,33.4461,32.4028,32.5155,6574023.8997824,0
JNJ.US,D,20000114,000000,32.7146,32.8695,32.339,32.6224,7626048.5010889,0
JNJ.US,D,20000118,000000,32.0468,32.4028,31.7143,31.8095,6871458.0995175,0
JNJ.US,D,20000119,000000,31.6947,32.0683,31.5604,31.9154,7770812.1163419,0
JNJ.US,D,20000120,000000,32.1371,32.1605,31.3603,32.0282,6805700.9534331,0
JNJ.US,D,20000121,000000,31.9565,31.9565,31.2054,31.2995,12046917.187142,0
JNJ.US,D,20000124,000000,31.3839,31.4024,29.1009,29.1499,15949965.045822,0
JNJ.US,D,20000125,000000,29.2146,30.2768,29.1009,29.702,18281742.91611,0
JNJ.US,D,20000126,000000,30.0326,30.2551,28.9214,29.0794,13392145.137612,0
JNJ.US,D,20000127,000000,29.1705,29.2353,28.0359,28.0359,17505426.194395,0
JNJ.US,D,20000128,000000,28.1713,29.6834,28.1713,29.4314,17411450.121372,0
JNJ.US,D,20000131,000000,29.6834,30.214,28.8391,29.9669,12776673.138288,0
JNJ.US,D,20000201,000000,29.7658,29.7902,29.3921,29.5481,8577607.4817622,0
JNJ.US,D,20000202,000000,29.7902,30.057,29.5853,29.7452,8171810.8894427,0
JNJ.US,D,20000203,000000,29.6089,29.6089,28.5243,29.0156,14444449.144332,0
JNJ.US,D,20000204,000000,28.9431,29.1235,28.5046,28.592,9744205.6375793,0
JNJ.US,D,20000207,000000,28.4125,28.5694,28.2154,28.3723,8214707.7780887,0
