<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPM.US,D,20000103,000000,34.7892,35.1046,33.5681,33.9267,16670457.880013,0
JPM.US,D,20000104,000000,33.0779,33.348,32.4019,33.1682,16260181.268354,0
JPM.US,D,20000105,000000,32.8921,33.9758,32.3047,32.9825,12086951.963424,0
JPM.US,D,20000106,000000,32.8479,34.1605,32.6672,33.4374,11608030.082323,0
JPM.US,D,20000107,000000,34.0239,34.4277,33.2527,34.0672,9115200.1263997,0
JPM.US,D,20000110,000000,34.0672,34.3344,33.4807,33.4807,6551429.6002838,0
JPM.US,D,20000111,000000,32.7605,32.9825,31.9481,32.6672,11658377.071683,0
JPM.US,D,20000112,000000,32.6249,33.1682,32.5297,32.8921,10085953.555748,0
JPM.US,D,20000113,000000,33.3028,33.9267,33.0287,33.3883,9596413.236764,0
JPM.US,D,20000114,000000,34.6056,35.4662,34.0672,34.6056,13497933.897945,0
JPM.US,D,20000118,000000,34.6056,34.8806,32.8921,33.2527,7346372.1530116,0
JPM.US,D,20000119,000000,33.8441,35.2864,33.8441,34.694,21823800.962718,0
JPM.US,D,20000120,000000,35.2864,35.6018,34.0672,34.6527,10777295.088096,0
JPM.US,D,20000121,000000,34.6056,34.6527,34.0239,34.1605,7157676.0381665,0
JPM.US,D,20000124,000000,34.8325,34.9248,33.7999,34.1605,8958743.0628456,0
JPM.US,D,20000125,000000,34.1605,35.4662,34.1605,34.9248,10513281.55462,0
JPM.US,D,20000126,000000,35.2864,36.9919,35.1046,36.7276,11632159.749543,0
JPM.US,D,20000127,000000,37.1736,38.1689,36.7688,37.7621,11325915.73588,0
JPM.US,D,20000128,000000,37.269,37.269,35.868,35.9122,10402390.536913,0
JPM.US,D,20000131,000000,35.9642,38.1689,35.9642,37.7621,9931163.7660869,0
JPM.US,D,20000201,000000,38.5707,39.5669,38.0765,39.2093,13385794.969496,0
JPM.US,D,20000202,000000,38.8477,39.4313,38.0765,38.5707,9883934.5178343,0
JPM.US,D,20000203,000000,39.1149,39.7407,37.5774,38.9342,12760614.0817,0
JPM.US,D,20000204,000000,38.6178,39.0187,38.1689,38.2543,7094637.20621,0
JPM.US,D,20000207,000000,38.4852,39.0187,38.2543,38.4852,6496914.4261908,0
JPM.US,D,20000208,000000,39.337,40.3331,39.337,39.8351,8763803.3228112,0
JPM.US,D,20000209,000000,39.7407,40.4167,38.5707,38.7976,13618186.281949,0
JPM.US,D,20000210,000000,38.9342,39.2093,38.0765,38.9342,9543152.0806418,0
JPM.US,D,20000211,000000,38.9784,39.7919,38.3919,38.6591,9781783.9646686,0
JPM.US,D,20000214,000000,38.5294,39.0707,36.9919,36.9919,8189802.04345,0
JPM.US,D,20000215,000000,37.492,38.6178,37.269,37.938,12435016.25497,0
JPM.US,D,20000216,000000,37.938,38.4852,36.9919,37.2178,6698720.7289131,0
JPM.US,D,20000217,000000,37.7621,38.1689,36.4074,36.6834,7928286.3671988,0
JPM.US,D,20000218,000000,36.5448,36.7688,34.9248,35.0093,11264126.850408,0
JPM.US,D,20000222,000000,35.6018,36.9084,35.193,36.1882,9804047.8730097,0
JPM.US,D,20000223,000000,36.2296,37.0872,35.8258,36.2296,6176108.7395632,0
JPM.US,D,20000224,000000,36.1882,36.3228,34.9248,35.6018,7212181.0335422,0
JPM.US,D,20000225,000000,35.868,36.8534,35.0565,35.5094,6441571.7223817,0
JPM.US,D,20000228,000000,35.9122,37.5774,35.7314,36.4978,8392651.6646949,0
JPM.US,D,20000229,000000,36.367,37.938,36.367,37.269,8553471.326482,0
JPM.US,D,20000301,000000,37.4055,38.3919,36.9084,38.3919,6749487.0814259,0
JPM.US,D,20000302,000000,37.6688,37.9891,37.3554,37.7169,4970676.8399859,0
JPM.US,D,20000303,000000,38.3919,38.5707,37.1736,37.9891,8296112.6383745,0
JPM.US,D,20000306,000000,38.8477,39.5158,38.5294,39.0707,7893955.5895034,0
JPM.US,D,20000307,000000,39.0707,39.4313,37.938,38.2995,6334219.8446779,0
JPM.US,D,20000308,000000,37.8112,38.1256,36.816,36.9919,7278555.4311565,0
JPM.US,D,20000309,000000,36.8534,38.0323,36.5448,37.9891,5519508.1872181,0
JPM.US,D,20000310,000000,37.4487,38.1689,36.4074,36.8534,7366762.1594986,0
JPM.US,D,20000313,000000,36.3228,37.9891,36.094,37.492,6551221.9544509,0
JPM.US,D,20000314,000000,37.6688,37.8928,36.7688,36.9919,5727766.7788341,0
JPM.US,D,20000315,000000,36.4545,39.4313,36.1342,38.9342,12291053.566896,0
JPM.US,D,20000316,000000,39.7407,42.3167,39.4313,42.1782,21685448.783618,0
JPM.US,D,20000317,000000,41.7715,43.1734,41.4119,42.581,16490076.759327,0
JPM.US,D,20000320,000000,42.132,42.358,39.5669,40.5091,11201500.256501,0
JPM.US,D,20000321,000000,40.4639,43.3031,40.0139,43.0811,11575153.843328,0
JPM.US,D,20000322,000000,42.4513,43.1223,41.5435,42.8571,11933835.554885,0
JPM.US,D,20000323,000000,42.581,46.4184,42.581,46.1011,14468272.035627,0
JPM.US,D,20000324,000000,45.4212,47.1808,44.926,45.0194,13161104.87455,0
JPM.US,D,20000327,000000,44.926,45.3338,43.8002,44.3406,6697677.4103902,0
JPM.US,D,20000328,000000,43.8916,44.8366,43.6194,44.1176,10160640.911778,0
JPM.US,D,20000329,000000,44.1176,44.2532,41.8167,42.3167,12605412.053988,0
JPM.US,D,20000330,000000,41.8619,42.4945,40.2399,40.7359,11119742.763438,0
JPM.US,D,20000331,000000,41.182,41.3697,40.2399,40.8225,9438507.7417387,0
JPM.US,D,20000403,000000,41.182,43.533,41.0995,43.3031,11802550.459205,0
JPM.US,D,20000404,000000,43.0811,43.2599,39.0707,40.8225,17529691.246925,0
JPM.US,D,20000405,000000,39.6543,40.9167,39.6543,40.6485,10139835.613625,0
JPM.US,D,20000406,000000,40.9589,41.5435,40.8725,41.1369,6731591.8785482,0
JPM.US,D,20000407,000000,41.5435,41.5435,40.4639,40.6485,6815852.3181947,0
JPM.US,D,20000410,000000,40.2399,41.9031,40.0581,41.4591,10908573.058675,0
JPM.US,D,20000411,000000,40.9589,41.3697,40.0139,40.4639,11397065.987649,0
JPM.US,D,20000412,000000,41.3697,42.8129,40.6947,40.8725,12667822.859087,0
JPM.US,D,20000413,000000,40.4639,40.8225,39.6543,39.7407,9405221.3004379,0
JPM.US,D,20000414,000000,38.5707,38.7534,35.645,37.1304,18148010.661392,0
JPM.US,D,20000417,000000,36.4545,37.4055,35.2864,36.9919,12078839.525739,0
JPM.US,D,20000418,000000,36.816,38.0765,36.7276,37.8928,9477823.0372938,0
JPM.US,D,20000419,000000,37.9891,38.1256,35.6018,36.7276,12562135.201661,0
JPM.US,D,20000420,000000,36.7688,36.816,35.868,36.367,6297812.6086542,0
JPM.US,D,20000424,000000,35.7746,35.9642,35.0093,35.193,10808503.035324,0
JPM.US,D,20000425,000000,35.645,36.9516,35.416,36.7276,8775667.6356912,0
JPM.US,D,20000426,000000,37.045,37.045,35.868,35.9642,7629118.5977986,0
JPM.US,D,20000427,000000,35.3718,35.5094,34.5201,34.7892,12896474.510806,0
JPM.US,D,20000428,000000,34.9248,35.1468,33.7498,33.9267,11932582.554786,0
JPM.US,D,20000501,000000,34.1104,35.4662,33.6644,34.694,11705808.87641,0
JPM.US,D,20000502,000000,34.7411,36.2296,34.5201,35.8258,11666285.935022,0
JPM.US,D,20000503,000000,35.3718,36.1342,34.9248,34.9248,12927464.633485,0
JPM.US,D,20000504,000000,35.3718,35.5094,34.2902,34.471,8560749.1093485,0
JPM.US,D,20000505,000000,33.8864,34.246,33.1682,33.9758,20118436.273798,0
JPM.US,D,20000508,000000,33.7046,34.4277,33.5681,33.8864,7625160.0946422,0
JPM.US,D,20000509,000000,34.0239,34.2037,33.348,33.348,8846191.8963471,0
JPM.US,D,20000510,000000,33.2527,33.2527,32.3567,32.3567,9176363.0207586,0
JPM.US,D,20000511,000000,32.9825,33.2527,32.2241,32.9433,10892135.448114,0
JPM.US,D,20000512,000000,32.5297,34.2902,32.0394,33.7046,16951527.890061,0
JPM.US,D,20000515,000000,34.246,35.3718,33.9267,35.1046,9297240.3780051,0
JPM.US,D,20000516,000000,36.0468,36.094,34.694,34.9248,10991996.807759,0
JPM.US,D,20000517,000000,34.471,35.2864,34.3816,34.8325,6034218.4383311,0
JPM.US,D,20000518,000000,34.694,35.9642,34.694,35.3718,7151642.0945535,0
JPM.US,D,20000519,000000,35.1046,35.2864,34.0239,34.1104,7093801.53352,0
JPM.US,D,20000522,000000,34.471,34.471,33.1682,33.9758,5776237.8305967,0
JPM.US,D,20000523,000000,33.8441,35.1046,33.8441,34.4277,7224458.6023444,0
JPM.US,D,20000524,000000,34.1104,34.5652,33.1682,33.7046,11890765.33052,0
JPM.US,D,20000525,000000,33.8864,34.694,32.8037,33.0779,10709470.223267,0
JPM.US,D,20000526,000000,33.1211,33.5268,32.6672,33.1682,8549312.302595,0
JPM.US,D,20000530,000000,33.7046,34.6056,33.4807,34.6056,5822218.1502372,0
JPM.US,D,20000531,000000,34.3344,35.4662,34.3344,35.1468,6911554.6539535,0
JPM.US,D,20000601,000000,35.6912,36.816,35.5094,36.2728,12177248.382426,0
JPM.US,D,20000602,000000,38.7534,38.7534,37.6295,37.9891,12298951.233646,0
JPM.US,D,20000605,000000,37.8928,38.1689,37.3092,37.3554,6782983.204303,0
JPM.US,D,20000606,000000,37.3554,37.3554,36.0074,36.2296,7693400.2511368,0
JPM.US,D,20000607,000000,36.4545,36.9084,36.0468,36.1882,8184808.3647446,0
JPM.US,D,20000608,000000,36.5448,36.5448,35.4662,36.0074,5513475.2614768,0
JPM.US,D,20000609,000000,36.2296,36.9919,33.5681,34.5201,14278942.804566,0
JPM.US,D,20000612,000000,34.8325,35.1046,34.0239,34.2902,7132713.7518702,0
JPM.US,D,20000613,000000,34.1605,34.246,33.6093,34.0239,7836327.7636613,0
JPM.US,D,20000614,000000,34.5201,35.5506,34.0672,35.3256,8211789.0906806,0
JPM.US,D,20000615,000000,35.1468,35.193,32.8921,34.471,13747526.224755,0
JPM.US,D,20000616,000000,32.9825,33.1211,31.1385,32.0855,23051556.825068,0
JPM.US,D,20000619,000000,32.0394,33.4374,31.8606,33.0779,10722785.003361,0
JPM.US,D,20000620,000000,33.8864,34.2902,33.5268,33.8441,7827590.3527346,0
JPM.US,D,20000621,000000,33.6644,33.8441,32.7212,33.1682,5630191.5590929,0
JPM.US,D,20000622,000000,33.348,33.3883,32.4855,32.7212,4533499.9142585,0
JPM.US,D,20000623,000000,32.8921,33.9267,32.7605,33.0779,5079832.3863946,0
JPM.US,D,20000626,000000,32.8479,34.2037,32.8479,33.5681,4431415.5227553,0
JPM.US,D,20000627,000000,34.1605,34.4277,33.7498,33.8441,7137562.8927899,0
JPM.US,D,20000628,000000,33.9758,34.5652,32.9433,33.2105,6794011.8444931,0
JPM.US,D,20000629,000000,33.4807,34.5201,32.8921,33.6093,6490400.0471215,0
JPM.US,D,20000630,000000,33.6644,34.0672,32.2241,32.5297,9702379.7910439,0
JPM.US,D,20000703,000000,32.6249,34.1104,32.6249,33.7999,3808799.6717174,0
JPM.US,D,20000705,000000,34.4277,35.3256,33.6644,33.9267,7051293.1743492,0
JPM.US,D,20000706,000000,33.9758,34.246,33.1682,34.1104,4851117.6266292,0
JPM.US,D,20000707,000000,34.2902,36.0468,34.2902,35.6018,8661724.0206665,0
JPM.US,D,20000710,000000,35.6912,36.2728,35.3256,35.3718,4706868.9165996,0
JPM.US,D,20000711,000000,35.8258,36.9084,35.416,36.0468,6438249.3890564,0
JPM.US,D,20000712,000000,36.7276,37.0872,35.9122,35.9642,6284983.3533745,0
JPM.US,D,20000713,000000,36.4978,36.816,36.0074,36.094,6364181.9169098,0
JPM.US,D,20000714,000000,36.5448,37.492,36.2728,37.3092,6286235.3356019,0
JPM.US,D,20000717,000000,38.214,38.214,36.816,36.9919,7031879.3068509,0
JPM.US,D,20000718,000000,36.4074,36.592,35.645,36.2296,4539884.0057465,0
JPM.US,D,20000719,000000,36.2728,36.592,35.645,36.0468,5946148.1048008,0
JPM.US,D,20000720,000000,36.094,37.8535,35.9122,36.4545,8484741.5736855,0
JPM.US,D,20000721,000000,37.6688,38.214,36.6834,37.492,7586950.2077853,0
JPM.US,D,20000724,000000,37.269,37.4055,36.094,36.6333,4483569.2344356,0
JPM.US,D,20000725,000000,36.6834,36.7688,36.1882,36.4074,3740839.4299484,0
JPM.US,D,20000726,000000,36.2728,36.2728,34.5652,35.1046,6455030.0223902,0
JPM.US,D,20000727,000000,35.1046,35.8258,34.3816,35.4662,4932258.2894245,0
JPM.US,D,20000728,000000,35.6018,35.645,34.1605,34.3816,3995632.0634257,0
JPM.US,D,20000731,000000,34.8325,35.416,34.2902,35.416,5063470.0983415,0
JPM.US,D,20000801,000000,35.4662,37.938,35.2864,36.6834,14642126.562783,0
JPM.US,D,20000802,000000,36.9084,37.2178,36.0468,36.5448,9282954.5482805,0
JPM.US,D,20000803,000000,36.2728,36.9084,35.5506,35.7314,8202912.2313269,0
JPM.US,D,20000804,000000,36.8534,37.492,36.0074,37.269,11853874.605425,0
JPM.US,D,20000807,000000,37.7169,38.4852,37.3554,38.0765,9603488.4631563,0
JPM.US,D,20000808,000000,38.2543,38.2995,37.4055,38.0323,4796891.5281074,0
JPM.US,D,20000809,000000,37.9891,38.1256,37.045,37.1736,8745773.7608651,0
JPM.US,D,20000810,000000,37.1736,37.8112,36.7688,36.8534,6906076.4683049,0
JPM.US,D,20000811,000000,36.6333,37.269,36.4545,36.9516,6230617.8064258,0
JPM.US,D,20000814,000000,37.492,37.6688,36.6333,37.492,6893456.8946016,0
JPM.US,D,20000815,000000,37.6688,37.938,36.6834,36.816,10036503.311381,0
JPM.US,D,20000816,000000,36.4074,36.816,35.6018,35.8258,7358788.1523692,0
JPM.US,D,20000817,000000,35.6018,36.3228,35.6018,36.0468,6261408.4262457,0
JPM.US,D,20000818,000000,36.1342,36.4074,35.7314,36.094,5123668.0503008,0
JPM.US,D,20000821,000000,36.2728,36.6834,36.0074,36.2296,4857643.2022875,0
JPM.US,D,20000822,000000,36.5448,38.0323,36.2728,37.492,10342476.571166,0
JPM.US,D,20000823,000000,37.6295,38.6591,37.492,38.6178,9526093.5683258,0
JPM.US,D,20000824,000000,37.938,39.0187,37.6688,37.8535,6252809.4458741,0
JPM.US,D,20000825,000000,37.7621,38.1689,36.8534,36.9919,6583462.0236137,0
JPM.US,D,20000828,000000,36.9516,37.8928,36.9516,37.4487,7297763.6885655,0
JPM.US,D,20000829,000000,37.7169,37.8112,36.6834,36.8534,9737050.5378969,0
