<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KO.US,D,20000103,000000,19.7756,20.0153,19.0671,19.4546,15948516.437363,0
KO.US,D,20000104,000000,19.2354,19.6034,19.1953,19.4752,10595918.065844,0
KO.US,D,20000105,000000,19.4752,19.8226,19.345,19.6445,13717929.08232,0
KO.US,D,20000106,000000,19.6895,19.9077,19.5173,19.6689,10337716.269849,0
KO.US,D,20000107,000000,20.1857,20.9628,19.9724,20.9628,16637081.125881,0
KO.US,D,20000110,000000,20.8776,21.0284,20.2688,20.2924,12643936.636672,0
KO.US,D,20000111,000000,21.0284,21.136,20.7446,20.9833,13632441.157153,0
KO.US,D,20000112,000000,20.9833,21.3259,20.8561,21.2202,12164894.86561,0
KO.US,D,20000113,000000,21.2005,21.2005,20.8561,20.8972,8852495.5053403,0
KO.US,D,20000114,000000,21.3738,21.3738,20.9422,21.0695,10897310.846157,0
KO.US,D,20000118,000000,21.1566,22.4288,21.0695,22.4288,26598921.08809,0
KO.US,D,20000119,000000,22.4288,22.514,22.1049,22.514,18577572.322944,0
KO.US,D,20000120,000000,22.5375,22.7557,22.4709,22.7323,16737346.823189,0
KO.US,D,20000121,000000,23.0337,23.0787,22.6872,23.0787,16502608.81475,0
KO.US,D,20000124,000000,22.7764,23.0337,21.9327,22.3867,16387273.12081,0
KO.US,D,20000125,000000,22.0825,22.7948,21.6948,22.7323,14097285.518005,0
KO.US,D,20000126,000000,22.1715,22.5982,21.6527,21.7604,34378870.96555,0
KO.US,D,20000127,000000,21.6077,21.6351,20.1632,20.5331,25439732.941768,0
KO.US,D,20000128,000000,20.5116,20.5507,19.6445,19.6445,15770577.265647,0
KO.US,D,20000131,000000,19.6895,20.2688,19.5173,19.8226,15566268.409675,0
KO.US,D,20000201,000000,19.9283,20.1426,19.4311,20.0536,11769901.354296,0
KO.US,D,20000202,000000,19.8617,19.9724,19.345,19.4546,10383792.715586,0
KO.US,D,20000203,000000,19.4966,19.5828,18.9976,19.0671,13717354.850976,0
KO.US,D,20000204,000000,19.0671,19.9283,18.9976,19.4095,16667510.278348,0
KO.US,D,20000207,000000,19.345,19.8803,19.1737,19.6288,11221605.443848,0
KO.US,D,20000208,000000,19.8226,19.9724,19.5828,19.7355,11971316.574736,0
KO.US,D,20000209,000000,19.6689,19.9283,19.5828,19.6689,11524444.020161,0
