<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KR.US,D,20000103,000000,7.73581,7.78842,7.58617,7.66291,14012919.593384,0
KR.US,D,20000104,000000,7.61089,7.96585,7.58617,7.91453,22232688.23554,0
KR.US,D,20000105,000000,7.86516,8.1688,7.84084,8.04348,18896538.321755,0
KR.US,D,20000106,000000,8.04348,8.04348,7.50893,7.73581,21856763.218624,0
KR.US,D,20000107,000000,7.68734,7.78842,7.56193,7.66291,16508000.049676,0
KR.US,D,20000110,000000,7.66291,7.66291,7.46076,7.46076,10904654.421379,0
KR.US,D,20000111,000000,7.25889,7.48498,7.20638,7.40785,12101644.385946,0
KR.US,D,20000112,000000,7.3839,7.71109,7.3839,7.50893,8200486.8444621,0
KR.US,D,20000113,000000,7.53375,7.76468,7.40785,7.68734,13815937.901235,0
KR.US,D,20000114,000000,7.71109,7.73581,7.3839,7.46076,8473600.9831389,0
KR.US,D,20000118,000000,7.53375,7.53375,7.12845,7.28254,11680980.238942,0
KR.US,D,20000119,000000,7.28254,7.35967,7.18145,7.28254,7014620.7597083,0
KR.US,D,20000120,000000,7.30686,7.30686,6.95515,7.03151,8820858.0798462,0
KR.US,D,20000121,000000,7.05614,7.05614,6.75261,6.80078,10072963.981083,0
KR.US,D,20000124,000000,6.87772,6.92708,6.49734,6.59902,14335469.476064,0
KR.US,D,20000125,000000,6.55104,6.57507,6.39695,6.52208,9536135.0218306,0
KR.US,D,20000126,000000,6.49734,6.80078,6.49734,6.67596,16358222.017242,0
KR.US,D,20000127,000000,6.82994,7.15682,6.80078,6.85398,18459070.102272,0
KR.US,D,20000128,000000,6.80078,6.92708,6.70029,6.70029,10901194.132458,0
KR.US,D,20000131,000000,6.85398,7.12845,6.80078,7.03151,10797881.821915,0
KR.US,D,20000201,000000,7.05614,7.18145,6.95515,7.18145,8035145.1247236,0
KR.US,D,20000202,000000,7.15682,7.3839,7.00324,7.35967,9557884.3942873,0
KR.US,D,20000203,000000,7.3839,7.48498,7.12845,7.28254,14547285.038054,0
KR.US,D,20000204,000000,7.18145,7.20638,6.85398,7.12845,10532678.945147,0
KR.US,D,20000207,000000,6.85398,7.08096,6.82994,6.85398,6414025.6490068,0
KR.US,D,20000208,000000,6.92708,7.20638,6.87772,7.20638,8516357.7300466,0
KR.US,D,20000209,000000,7.12845,7.12845,6.85398,6.87772,6455302.4600839,0
KR.US,D,20000210,000000,6.87772,7.03151,6.44996,6.55104,12589530.913138,0
KR.US,D,20000211,000000,6.65123,6.85398,6.57507,6.77714,10288241.862084,0
KR.US,D,20000214,000000,6.65123,6.67596,6.42562,6.6264,9384875.0234759,0
KR.US,D,20000215,000000,6.59902,6.9791,6.52208,6.87772,9367326.9229004,0
KR.US,D,20000216,000000,6.80078,6.87772,6.55104,6.80078,6481006.44845,0
KR.US,D,20000217,000000,6.67596,6.72483,6.39695,6.44996,9509441.3644421,0
KR.US,D,20000218,000000,6.42562,6.44996,6.06939,6.06939,10816174.965631,0
KR.US,D,20000222,000000,6.09391,6.27174,6.06939,6.14544,9196541.5160154,0
KR.US,D,20000223,000000,6.09391,6.22307,6.02072,6.09391,11314693.075738,0
KR.US,D,20000224,000000,6.14544,6.17007,5.81758,5.96761,10331737.561862,0
KR.US,D,20000225,000000,5.81758,5.9154,5.68851,5.74181,17012198.35245,0
KR.US,D,20000228,000000,6.06939,6.22307,5.89097,6.11746,11187405.398721,0
KR.US,D,20000229,000000,6.11746,6.19451,5.96761,6.04476,12125123.39534,0
KR.US,D,20000301,000000,6.04476,6.09391,5.9154,5.99185,7534639.5562101,0
KR.US,D,20000302,000000,6.04476,6.04476,5.86683,5.89097,8131282.0810925,0
KR.US,D,20000303,000000,6.02072,6.09391,5.94308,5.96761,11210391.096172,0
KR.US,D,20000306,000000,6.04476,6.17007,5.9154,6.04476,7767219.8968603,0
KR.US,D,20000307,000000,6.02072,6.04476,5.86683,5.96761,9047500.4063614,0
KR.US,D,20000308,000000,5.94308,6.27174,5.76576,6.22307,14807292.913737,0
KR.US,D,20000309,000000,6.19451,6.19451,5.86683,5.99185,12037384.922553,0
KR.US,D,20000310,000000,5.99185,6.11746,5.89097,5.96761,11000801.528198,0
KR.US,D,20000313,000000,5.94308,6.06939,5.86683,6.04476,10345331.046529,0
KR.US,D,20000314,000000,6.02072,6.04476,5.81758,5.8423,21454391.200293,0
KR.US,D,20000315,000000,5.8423,6.06939,5.68851,6.02072,19827099.235011,0
KR.US,D,20000316,000000,6.06939,6.34779,6.02072,6.29539,24196862.521037,0
KR.US,D,20000317,000000,6.39695,7.08096,6.37213,6.75261,30787111.173806,0
KR.US,D,20000320,000000,6.75261,6.85398,6.44996,6.49734,7819618.5576602,0
KR.US,D,20000321,000000,6.47262,6.87772,6.39695,6.72483,8200981.1714509,0
KR.US,D,20000322,000000,6.80078,7.05614,6.77714,6.95515,7948139.5145357,0
KR.US,D,20000323,000000,6.9791,7.1055,6.6264,6.72483,7808498.7380277,0
KR.US,D,20000324,000000,6.72483,7.3839,6.72483,7.23426,13125877.725943,0
KR.US,D,20000327,000000,7.18145,7.20638,7.00324,7.05614,5462216.7955982,0
KR.US,D,20000328,000000,6.87772,7.35967,6.87772,6.9791,8295639.2070342,0
KR.US,D,20000329,000000,7.00324,7.18145,7.00324,7.15682,7995596.9355391,0
KR.US,D,20000330,000000,7.15682,7.3314,6.9791,7.05614,8877710.7587699,0
KR.US,D,20000331,000000,7.05614,7.30686,7.00324,7.1055,8173546.5311018,0
KR.US,D,20000403,000000,7.20638,7.78842,7.18145,7.63848,14251929.230022,0
KR.US,D,20000404,000000,7.78842,8.24574,7.71109,8.1688,26195895.487122,0
KR.US,D,20000405,000000,8.04348,8.29481,8.04348,8.19304,11428634.939105,0
KR.US,D,20000406,000000,8.39628,8.44781,7.81246,7.91453,7433799.8956554,0
KR.US,D,20000407,000000,7.96585,7.99059,7.71109,7.78842,6236317.63419,0
KR.US,D,20000410,000000,7.81246,7.86516,7.48498,7.78842,6072205.1341298,0
KR.US,D,20000411,000000,7.88971,8.54435,7.84084,8.34288,13219053.795606,0
KR.US,D,20000412,000000,8.24574,8.87625,8.21757,8.65115,17841417.157802,0
KR.US,D,20000413,000000,8.69705,8.72148,8.19304,8.21757,9522541.5371644,0
KR.US,D,20000414,000000,8.14032,8.14032,7.56193,7.71109,10523540.493649,0
KR.US,D,20000417,000000,7.61089,7.63848,7.20638,7.28254,12134766.324277,0
