<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KSS.US,D,20000103,000000,23.2221,23.2221,21.8954,22.3443,1912565.8513239,0
KSS.US,D,20000104,000000,22.2612,22.6709,22.0186,22.0778,1967034.7049616,0
KSS.US,D,20000105,000000,22.0969,22.6709,22.0578,22.3863,2310687.7658731,0
KSS.US,D,20000106,000000,22.5477,23.1428,22.5477,23.097,3087650.2049731,0
KSS.US,D,20000107,000000,23.097,24.7313,23.097,24.6911,2904656.5492299,0
KSS.US,D,20000110,000000,24.6721,24.9127,24.1267,24.758,2077506.1710658,0
KSS.US,D,20000111,000000,24.7934,24.9968,24.4714,24.5498,1869420.6396594,0
KSS.US,D,20000112,000000,24.5077,24.8354,23.6921,23.8744,1474664.6190584,0
KSS.US,D,20000113,000000,24.0359,24.3645,23.8563,24.0579,1866973.9540741,0
KSS.US,D,20000114,000000,24.6721,25.4486,24.4304,25.164,2772764.806242,0
KSS.US,D,20000118,000000,24.9404,25.3865,24.8354,25.0579,1392344.1708001,0
KSS.US,D,20000119,000000,25.0579,25.5689,25.0579,25.2872,2350464.9897205,0
KSS.US,D,20000120,000000,25.1993,25.3044,24.8354,25.0198,1674184.1335802,0
KSS.US,D,20000121,000000,25.6349,25.6349,24.7934,24.9404,2598949.6239808,0
KSS.US,D,20000124,000000,25.164,25.164,23.9786,23.9996,1876153.4744903,0
KSS.US,D,20000125,000000,24.0779,24.2231,22.9785,23.4714,2240301.3223164,0
KSS.US,D,20000126,000000,23.5287,24.2861,23.2814,23.9595,2509289.1189663,0
KSS.US,D,20000127,000000,23.8744,23.8744,22.8754,23.2011,2249485.0304701,0
KSS.US,D,20000128,000000,23.1227,23.2011,22.2612,22.4895,2753180.8522153,0
KSS.US,D,20000131,000000,22.5678,23.1227,22.5477,22.9135,1826575.8981546,0
KSS.US,D,20000201,000000,23.2814,24.1448,23.0005,23.8936,1899407.9803623,0
KSS.US,D,20000202,000000,23.8936,24.4304,23.6061,24.1018,3118558.8479075,0
KSS.US,D,20000203,000000,24.6721,25.4897,24.5861,25.3263,4875666.4639339,0
KSS.US,D,20000204,000000,25.5689,26.7371,25.5069,26.1821,3915407.8050625,0
KSS.US,D,20000207,000000,26.143,26.5079,25.9196,26.1221,3472607.9669544,0
KSS.US,D,20000208,000000,26.0389,26.4324,25.8364,26.3903,1678159.3433225,0
KSS.US,D,20000209,000000,26.4687,26.4687,25.6711,25.6711,2376784.9193812,0
KSS.US,D,20000210,000000,25.7572,26.143,25.4897,26.0197,1521180.959343,0
KSS.US,D,20000211,000000,25.9395,26.143,25.8172,25.9796,912217.98216747,0
KSS.US,D,20000214,000000,25.7361,25.8736,25.4113,25.4486,2252241.6086242,0
KSS.US,D,20000215,000000,25.4486,25.4486,24.6721,24.9615,2230205.7343404,0
KSS.US,D,20000216,000000,24.7934,24.7934,23.3644,23.5105,3733022.418179,0
KSS.US,D,20000217,000000,23.3644,23.6061,22.2612,22.6261,4049740.9989641,0
KSS.US,D,20000218,000000,22.7149,23.652,22.7149,23.2413,3245243.1394184,0
KSS.US,D,20000222,000000,23.1618,23.4485,23.0378,23.2221,2879253.7340635,0
KSS.US,D,20000223,000000,23.2221,24.0178,23.2221,23.652,2235102.2463143,0
KSS.US,D,20000224,000000,23.652,23.652,22.5105,22.5678,5714440.954231,0
KSS.US,D,20000225,000000,22.8754,23.4074,22.5678,22.733,5646202.8199688,0
KSS.US,D,20000228,000000,22.733,24.3062,22.733,24.2021,4123494.3834033,0
KSS.US,D,20000229,000000,24.1267,25.1993,24.0359,24.7742,3543910.478071,0
KSS.US,D,20000301,000000,25.3655,26.0638,24.9968,25.7112,4966552.929077,0
KSS.US,D,20000302,000000,25.4897,25.6531,24.9968,25.164,2335777.5476677,0
KSS.US,D,20000303,000000,25.164,25.4897,24.7934,24.8354,2473792.8096924,0
KSS.US,D,20000306,000000,24.8354,25.7973,24.3463,25.1009,2506842.4333808,0
KSS.US,D,20000307,000000,25.4486,25.8937,24.0779,24.6539,3923979.056619,0
KSS.US,D,20000308,000000,25.0865,26.3903,24.7934,26.143,3632649.6808539,0
KSS.US,D,20000309,000000,26.143,29.0849,25.4486,28.4306,5371710.2424854,0
KSS.US,D,20000310,000000,28.3714,28.3714,26.9176,28.2062,4495906.7310202,0
KSS.US,D,20000313,000000,25.7361,28.2864,25.7361,27.6712,4256606.851848,0
KSS.US,D,20000314,000000,27.7563,27.7563,27.0857,27.249,2677595.3326565,0
KSS.US,D,20000315,000000,27.1823,28.0256,26.9176,27.8384,3358163.3849767,0
KSS.US,D,20000316,000000,28.4306,31.0459,28.0448,30.9198,11697870.752046,0
KSS.US,D,20000317,000000,30.3916,30.6151,29.2062,29.3533,5101811.6129476,0
KSS.US,D,20000320,000000,29.6132,30.8787,29.574,30.3916,3542379.8600453,0
KSS.US,D,20000321,000000,30.0658,31.0459,29.9599,31.0459,2177878.9083909,0
KSS.US,D,20000322,000000,31.0039,31.0459,29.8137,30.3133,2831212.0104251,0
KSS.US,D,20000323,000000,30.3916,31.511,29.6599,30.7555,2862727.8752849,0
KSS.US,D,20000324,000000,30.7765,33.0842,30.6973,31.555,4934118.9027888,0
KSS.US,D,20000327,000000,31.5731,31.9466,31.2273,31.4958,1930925.9390907,0
KSS.US,D,20000328,000000,31.2923,32.025,30.8787,31.0831,3026442.2348983,0
KSS.US,D,20000329,000000,31.1232,31.4958,30.8787,31.3314,3692632.7377345,0
KSS.US,D,20000330,000000,31.3506,32.62,31.2092,32.5368,3815953.2291659,0
KSS.US,D,20000331,000000,32.6392,34.0633,32.6392,33.4979,5796147.8989578,0
KSS.US,D,20000403,000000,33.7375,34.2075,33.3708,34.0269,2577225.7361344,0
KSS.US,D,20000404,000000,34.2075,34.2944,32.0422,32.554,4535382.4377738,0
KSS.US,D,20000405,000000,32.3124,33.3325,31.0831,32.9657,2708193.0360878,0
KSS.US,D,20000406,000000,32.9657,34.6411,32.9657,33.9649,2561000.3475155,0
KSS.US,D,20000407,000000,34.0269,34.8627,33.7004,34.6976,2428499.2887335,0
KSS.US,D,20000410,000000,34.6976,35.8026,34.2075,35.5409,2583953.3362935,0
KSS.US,D,20000411,000000,35.4961,35.4961,34.39,34.6411,2342817.1342643,0
KSS.US,D,20000412,000000,34.6201,35.6584,34.1492,34.9879,3003187.7290263,0
KSS.US,D,20000413,000000,34.5982,34.7815,33.005,33.0231,3012369.3433113,0
KSS.US,D,20000414,000000,32.025,32.1032,28.4689,29.9379,4782943.6759338,0
