<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEG.US,D,20000103,000000,11.5583,11.6289,10.9123,11.1867,620775.67271283,0
LEG.US,D,20000104,000000,11.0517,11.0517,10.5759,10.6095,963722.60867988,0
LEG.US,D,20000105,000000,10.68,10.7455,10.3367,10.6095,1495321.0648713,0
LEG.US,D,20000106,000000,10.5036,10.68,10.3722,10.5759,1333983.7920828,0
LEG.US,D,20000107,000000,10.6095,10.7455,10.3722,10.7455,833998.34529523,0
LEG.US,D,20000110,000000,10.8153,10.8486,10.3722,10.7091,748089.9554157,0
LEG.US,D,20000111,000000,10.6095,10.9828,10.6095,10.7773,691049.21377808,0
LEG.US,D,20000112,000000,10.7773,10.8153,10.441,10.441,723516.53697348,0
LEG.US,D,20000113,000000,10.441,10.4709,10.1682,10.441,811315.97422391,0
LEG.US,D,20000114,000000,10.4709,10.5759,10.268,10.5036,586758.34783776,0
LEG.US,D,20000118,000000,10.4064,10.5036,10.3024,10.5036,633317.31642072,0
LEG.US,D,20000119,000000,10.4709,10.5036,10.3024,10.3367,570944.47836163,0
LEG.US,D,20000120,000000,10.3024,10.3722,9.99876,10.065,849297.81362911,0
LEG.US,D,20000121,000000,10.3367,10.4064,10.065,10.3722,1135887.2323832,0
LEG.US,D,20000124,000000,10.4064,10.5036,10.065,10.1682,504113.11938912,0
LEG.US,D,20000125,000000,10.0983,10.1682,9.69067,9.8248,803418.67034425,0
LEG.US,D,20000126,000000,9.93072,10.0341,9.59002,9.89382,908395.02679351,0
LEG.US,D,20000127,000000,9.79395,10.0983,9.65631,9.85936,615274.75300899,0
LEG.US,D,20000128,000000,9.85936,9.93072,9.65631,9.75956,610986.1884201,0
LEG.US,D,20000131,000000,9.69067,9.79395,9.55571,9.79395,855648.5149556,0
LEG.US,D,20000201,000000,9.72693,10.065,9.4523,9.93072,1202031.9678047,0
LEG.US,D,20000202,000000,9.79395,9.79395,9.55571,9.62178,803930.80540216,0
LEG.US,D,20000203,000000,9.65631,10.065,9.62178,9.89382,1023337.622113,0
LEG.US,D,20000204,000000,9.75956,9.99876,9.55571,9.59002,1001520.8952546,0
LEG.US,D,20000207,000000,9.55571,9.59002,9.24682,9.41979,894137.95725005,0
LEG.US,D,20000208,000000,9.55571,9.65631,9.38885,9.52215,523013.39571865,0
LEG.US,D,20000209,000000,9.38885,9.79395,9.283,9.41979,942755.66344412,0
LEG.US,D,20000210,000000,9.48425,9.48425,9.21411,9.283,741904.67824508,0
LEG.US,D,20000211,000000,9.21411,9.38885,9.07734,9.11529,660632.69689865,0
LEG.US,D,20000214,000000,9.24682,9.41979,9.07734,9.11529,793621.25475637,0
LEG.US,D,20000215,000000,9.11529,9.14973,8.87875,8.97495,1558897.1937082,0
LEG.US,D,20000216,000000,9.01023,9.24682,9.01023,9.14973,761837.15598557,0
LEG.US,D,20000217,000000,9.1761,9.283,9.0455,9.14973,536754.9310777,0
LEG.US,D,20000218,000000,9.01023,9.14973,8.74195,8.84168,948259.98227446,0
LEG.US,D,20000222,000000,8.97495,9.07734,8.80549,8.87875,575932.12996541,0
LEG.US,D,20000223,000000,8.80549,8.94672,8.7093,8.87875,667851.30852237,0
LEG.US,D,20000224,000000,8.87875,9.01023,8.74195,8.74195,1558037.2147062,0
LEG.US,D,20000225,000000,8.77195,8.94672,8.67134,8.74195,1193782.2878122,0
LEG.US,D,20000228,000000,8.87875,8.87875,8.63692,8.74195,1065954.7370091,0
LEG.US,D,20000229,000000,8.77195,9.21411,8.67134,9.14973,1231237.2626112,0
LEG.US,D,20000301,000000,9.11529,9.11529,8.80549,8.87875,2107672.5690987,0
LEG.US,D,20000302,000000,8.90877,9.14973,8.7093,8.80549,1983967.0256865,0
