<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LLY.US,D,20000103,000000,45.6197,47.3257,45.6197,46.0111,3732869.8374022,0
LLY.US,D,20000104,000000,45.0947,45.9179,44.0337,44.5577,5218516.7260461,0
LLY.US,D,20000105,000000,44.3022,45.8298,44.2121,45.1304,4809675.9860324,0
LLY.US,D,20000106,000000,45.6197,46.4538,45.1304,46.4538,3468389.0090648,0
LLY.US,D,20000107,000000,47.7219,49.8656,47.3662,49.8656,8268764.9009327,0
LLY.US,D,20000110,000000,49.8656,49.8656,47.6803,47.8001,3990864.9276514,0
LLY.US,D,20000111,000000,47.0205,48.6828,47.0205,48.0715,4673773.2749322,0
LLY.US,D,20000112,000000,47.4534,47.9349,46.9779,47.3662,5040879.1736201,0
LLY.US,D,20000113,000000,46.1408,47.9794,46.0487,46.8015,5138304.5495125,0
LLY.US,D,20000114,000000,48.3826,48.5956,47.7219,47.9349,5287458.3553805,0
LLY.US,D,20000118,000000,48.6828,48.6828,46.6668,47.2335,2938730.8295447,0
LLY.US,D,20000119,000000,46.3192,47.7219,46.1408,47.5475,3095637.2375168,0
LLY.US,D,20000120,000000,47.5059,47.8972,46.0111,46.864,3016970.5341369,0
LLY.US,D,20000121,000000,45.7,46.0487,44.9967,45.4413,5711946.6325314,0
LLY.US,D,20000124,000000,45.3483,45.483,43.1986,43.5999,5936386.4823461,0
LLY.US,D,20000125,000000,43.7822,44.3914,43.3343,43.7305,4445948.7278708,0
LLY.US,D,20000126,000000,44.1695,44.4815,43.5999,44.0337,3150620.1452504,0
LLY.US,D,20000127,000000,43.5107,45.171,43.16,45.0947,4304688.8475825,0
LLY.US,D,20000128,000000,45.6197,47.277,45.5207,45.8298,6043816.5508756,0
LLY.US,D,20000131,000000,46.2765,47.0205,43.7822,46.9284,4703664.1995284,0
LLY.US,D,20000201,000000,46.2261,46.6668,45.3959,46.0111,4204023.1262794,0
LLY.US,D,20000202,000000,45.9605,46.3627,44.8282,45.6603,2918006.7512644,0
LLY.US,D,20000203,000000,45.8298,46.1854,44.6538,45.7912,3729763.7492936,0
LLY.US,D,20000204,000000,45.5732,45.7912,45.2601,45.5207,2427539.5905051,0
LLY.US,D,20000207,000000,45.9179,45.9179,44.0337,44.432,2765464.2103361,0
LLY.US,D,20000208,000000,43.9505,44.7341,43.9505,44.432,3581598.1983032,0
LLY.US,D,20000209,000000,45.171,45.171,43.2917,43.3343,4527717.4815456,0
LLY.US,D,20000210,000000,43.4245,44.2121,43.374,43.7305,2932384.3960256,0
LLY.US,D,20000211,000000,43.8643,43.9,42.8479,43.2482,4613853.1306242,0
LLY.US,D,20000214,000000,43.0758,43.5107,42.416,42.631,3894574.1773793,0
LLY.US,D,20000215,000000,42.7241,43.2917,42.5527,42.941,4221931.8390302,0
LLY.US,D,20000216,000000,43.5107,43.8207,42.941,42.9847,4644447.6442395,0
LLY.US,D,20000217,000000,43.3343,43.468,42.2367,42.2367,4639374.1314564,0
LLY.US,D,20000218,000000,42.3268,42.3754,40.8786,41.0559,5196950.7636311,0
LLY.US,D,20000222,000000,41.9286,42.3754,40.4487,41.7562,3834941.72729,0
LLY.US,D,20000223,000000,41.9286,42.7241,40.9231,42.3268,3517878.4714015,0
LLY.US,D,20000224,000000,42.0654,42.2814,40.615,41.0966,3685499.2177499,0
LLY.US,D,20000225,000000,41.0113,41.2689,39.3867,39.7859,3604716.7000458,0
LLY.US,D,20000228,000000,39.9979,41.0113,39.9979,40.3555,5405882.3808778,0
LLY.US,D,20000229,000000,41.0559,42.4606,40.9677,41.7146,5841654.3281221,0
LLY.US,D,20000301,000000,41.7146,42.2814,40.7013,41.3193,5907767.4690326,0
LLY.US,D,20000302,000000,40.615,41.6711,40.1326,40.4893,2959314.5938027,0
LLY.US,D,20000303,000000,41.15,41.4006,40.3902,40.7013,2943806.3612346,0
LLY.US,D,20000306,000000,40.1772,41.1897,40.0911,40.4487,3602323.2860369,0
LLY.US,D,20000307,000000,40.615,40.6567,37.8997,38.2454,5643008.0315572,0
LLY.US,D,20000308,000000,38.5952,40.2644,38.2454,38.9489,6039730.2835166,0
LLY.US,D,20000309,000000,39.6075,42.1475,39.6075,42.1475,5435485.6112553,0
LLY.US,D,20000310,000000,42.1981,43.468,42.105,42.941,4989423.2960621,0
LLY.US,D,20000313,000000,42.8094,42.8094,40.4487,41.5799,2986802.0098559,0
LLY.US,D,20000314,000000,40.8786,41.1897,40.2644,40.3128,3009503.6073448,0
LLY.US,D,20000315,000000,40.3128,44.5577,40.2644,44.0337,6157023.7212071,0
LLY.US,D,20000316,000000,44.8282,46.2765,44.2121,45.4413,7500137.8088268,0
LLY.US,D,20000317,000000,44.8282,44.8698,42.8094,43.0758,6830763.2032654,0
LLY.US,D,20000320,000000,43.0758,43.1203,41.8494,42.631,3202642.3261651,0
LLY.US,D,20000321,000000,41.9286,43.5107,41.893,43.2917,4216573.6603886,0
LLY.US,D,20000322,000000,43.7822,45.1304,43.2482,44.6014,4724101.5930435,0
LLY.US,D,20000323,000000,45.0511,45.483,44.6014,45.1789,4462442.1869563,0
LLY.US,D,20000324,000000,44.9967,45.0511,42.9005,43.5999,2906867.433007,0
LLY.US,D,20000327,000000,43.5107,43.7305,42.0654,42.4606,2840322.2460418,0
LLY.US,D,20000328,000000,41.9702,42.8094,41.7562,42.2814,2983703.9973746,0
LLY.US,D,20000329,000000,42.1981,43.16,42.1981,42.8094,3999886.4126777,0
LLY.US,D,20000330,000000,42.9847,44.3022,42.631,42.631,4374752.9890966,0
LLY.US,D,20000331,000000,42.9847,45.2601,42.1981,43.9505,4576073.3277154,0
LLY.US,D,20000403,000000,45.0947,45.9605,44.9174,45.8733,3865670.4982073,0
LLY.US,D,20000404,000000,46.0487,48.6828,45.9179,48.4262,9446791.9702353,0
LLY.US,D,20000405,000000,47.807,48.4262,46.9284,47.3464,4893975.4393783,0
LLY.US,D,20000406,000000,46.3192,47.0205,45.6603,46.2261,3088311.6342005,0
LLY.US,D,20000407,000000,46.0487,46.1408,45.0511,45.1304,2271615.3806902,0
LLY.US,D,20000410,000000,44.9174,46.8431,44.7341,45.5207,4069526.5837641,0
LLY.US,D,20000411,000000,45.6197,46.9779,45.5207,46.9284,3348554.7771691,0
LLY.US,D,20000412,000000,46.4945,47.0205,45.4413,45.7,3697627.8003381,0
