<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LOW.US,D,20000103,000000,11.9023,12.0318,11.1259,11.2801,9998758.6002079,0
LOW.US,D,20000104,000000,11.1259,11.1407,10.398,10.669,9669468.2545863,0
LOW.US,D,20000105,000000,10.6473,10.9122,10.4732,10.6541,6074891.0871311,0
LOW.US,D,20000106,000000,10.5147,10.9192,10.4969,10.6314,5605884.5561056,0
LOW.US,D,20000107,000000,10.7076,11.0171,10.669,10.8747,4547405.6559475,0
LOW.US,D,20000110,000000,10.9192,11.2277,10.8886,11.2011,5540221.2352159,0
LOW.US,D,20000111,000000,11.0527,11.2801,10.8194,10.85,5195131.6104415,0
LOW.US,D,20000112,000000,10.8886,10.9628,10.4732,10.7076,11165855.648628,0
LOW.US,D,20000113,000000,10.7155,10.7155,10.5147,10.6027,6471822.5706039,0
LOW.US,D,20000114,000000,10.7155,11.1101,10.6987,10.9528,11232500.799921,0
LOW.US,D,20000118,000000,11.0784,11.0784,10.6987,10.7679,5718442.1598286,0
LOW.US,D,20000119,000000,10.8272,10.8588,10.669,10.6987,5573297.0893193,0
LOW.US,D,20000120,000000,10.6987,10.7076,9.91145,10.2734,14833004.340183,0
LOW.US,D,20000121,000000,10.2418,10.2576,9.44366,9.58608,19254022.840986,0
LOW.US,D,20000124,000000,9.60981,9.89562,9.35407,9.46147,10702273.958092,0
LOW.US,D,20000125,000000,9.503,9.55245,9.09951,9.30076,11282363.830504,0
LOW.US,D,20000126,000000,9.25833,9.503,8.95254,9.42883,13587908.904865,0
LOW.US,D,20000127,000000,9.46147,9.49509,9.11671,9.26515,11752362.303472,0
LOW.US,D,20000128,000000,9.22392,9.24182,8.75743,9.0102,8605068.0373901,0
LOW.US,D,20000131,000000,9.03957,9.16616,8.71736,9.02632,12320103.964876,0
LOW.US,D,20000201,000000,9.08112,9.60981,9.08112,9.51982,14576283.496355,0
LOW.US,D,20000202,000000,9.42883,9.78783,9.26515,9.56037,13137661.300357,0
LOW.US,D,20000203,000000,9.60981,9.76211,9.40905,9.53564,7383673.0375317,0
LOW.US,D,20000204,000000,9.51982,9.87684,9.51982,9.78783,12343806.422643,0
LOW.US,D,20000207,000000,9.63553,9.63553,9.44366,9.49509,8742314.9850538,0
LOW.US,D,20000208,000000,9.503,9.86892,9.14964,9.80366,8323171.4846115,0
LOW.US,D,20000209,000000,9.80366,9.80366,9.31935,9.38393,6143514.055386,0
LOW.US,D,20000210,000000,9.3603,9.3692,9.14964,9.31935,4706378.2555712,0
LOW.US,D,20000211,000000,9.33637,9.503,9.29236,9.30076,4133199.6198317,0
LOW.US,D,20000214,000000,9.31935,9.56828,9.22392,9.47037,5006539.2806275,0
LOW.US,D,20000215,000000,9.41301,9.46147,9.22392,9.30076,6851469.389895,0
LOW.US,D,20000216,000000,9.20255,9.24182,8.79204,8.85592,7958328.9690691,0
LOW.US,D,20000217,000000,9.14964,9.14964,8.3377,8.60403,13736017.667355,0
LOW.US,D,20000218,000000,8.61313,8.99339,8.60403,8.80657,14233166.632773,0
LOW.US,D,20000222,000000,8.92881,9.14964,8.54875,8.71736,12364538.110354,0
LOW.US,D,20000223,000000,8.65388,8.72578,8.29735,8.61313,11468981.376818,0
LOW.US,D,20000224,000000,8.81587,8.81587,8.24801,8.24801,8951146.5706452,0
LOW.US,D,20000225,000000,8.60403,8.67761,8.37785,8.44975,8911155.4352537,0
LOW.US,D,20000228,000000,8.58069,9.3603,8.44975,9.24182,12830582.971705,0
LOW.US,D,20000229,000000,9.63553,9.69883,9.3603,9.6741,11986863.0411,0
LOW.US,D,20000301,000000,9.81156,9.82046,9.22392,9.6741,12390213.329313,0
LOW.US,D,20000302,000000,9.48619,9.55245,9.25833,9.30076,7280490.8524522,0
LOW.US,D,20000303,000000,9.40905,9.6019,9.38393,9.503,9684279.6364121,0
LOW.US,D,20000306,000000,9.60981,9.60981,9.0018,9.09951,7701609.1363944,0
LOW.US,D,20000307,000000,9.20255,9.21808,8.31377,8.41642,16874423.890957,0
LOW.US,D,20000308,000000,8.5887,9.06341,8.48358,8.87995,10271776.210891,0
LOW.US,D,20000309,000000,8.87995,9.503,8.75743,9.40015,7464639.1610261,0
LOW.US,D,20000310,000000,9.38393,9.53564,9.09951,9.09951,4061614.981904,0
LOW.US,D,20000313,000000,8.70194,8.97609,8.70194,8.80657,6273848.7552231,0
