<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAS.US,D,20000103,000000,17.0731,17.1498,16.7366,17.0298,2258925.4152059,0
MAS.US,D,20000104,000000,16.479,16.9403,15.7214,16.6029,2233879.1395022,0
MAS.US,D,20000105,000000,16.6029,16.7288,15.7943,15.9261,1401544.3712976,0
MAS.US,D,20000106,000000,16.0895,16.2193,15.5808,16.0895,2111626.3139434,0
MAS.US,D,20000107,000000,16.3048,17.1124,16.1336,16.6855,1944205.2067846,0
MAS.US,D,20000110,000000,16.6029,16.6471,15.9704,16.2193,1487791.2694618,0
MAS.US,D,20000111,000000,16.0501,16.4376,15.8789,15.8789,791533.67551691,0
MAS.US,D,20000112,000000,15.9704,16.2193,15.5396,15.6221,1555827.3151643,0
MAS.US,D,20000113,000000,15.8789,16.1336,15.5022,15.5808,1864115.6790212,0
MAS.US,D,20000114,000000,15.5022,15.7943,14.8598,15.7146,1491898.2162044,0
MAS.US,D,20000118,000000,15.3663,15.7943,15.1135,15.7943,1739270.5974739,0
MAS.US,D,20000119,000000,16.472,16.472,15.7943,15.9261,2238803.4093093,0
MAS.US,D,20000120,000000,15.9261,16.1336,15.2022,15.3663,1266291.6360992,0
MAS.US,D,20000121,000000,15.3663,15.3663,14.5204,15.3241,2797749.7118298,0
MAS.US,D,20000124,000000,15.0319,15.1135,13.5416,13.5416,3069624.5033309,0
MAS.US,D,20000125,000000,14.0984,14.0984,13.1658,13.33,2871672.7200535,0
MAS.US,D,20000126,000000,13.5416,13.5839,13.2504,13.3773,3041157.4662935,0
MAS.US,D,20000127,000000,13.7551,14.0531,13.5013,13.9656,2271112.0680646,0
MAS.US,D,20000128,000000,13.6744,13.9322,13.2504,13.33,1320089.5887136,0
MAS.US,D,20000131,000000,13.33,13.7551,13.2082,13.5416,1064502.297388,0
MAS.US,D,20000201,000000,13.5013,13.7984,13.33,13.7551,1470813.5175938,0
MAS.US,D,20000202,000000,13.7551,13.7984,13.2504,13.5839,1324475.0759035,0
MAS.US,D,20000203,000000,13.6301,14.0079,12.9514,13.0753,2213068.9150551,0
MAS.US,D,20000204,000000,13.1658,13.2504,12.3169,12.5746,2769411.7793064,0
MAS.US,D,20000207,000000,12.5746,12.7821,12.2275,12.7399,1730371.5351511,0
MAS.US,D,20000208,000000,12.6957,13.0753,12.2275,12.4379,1834276.2711663,0
MAS.US,D,20000209,000000,12.1064,12.2726,12.016,12.1398,2659211.4192376,0
MAS.US,D,20000210,000000,12.1841,12.1841,11.7611,11.7611,2634706.9758641,0
MAS.US,D,20000211,000000,11.8949,11.9283,11.5939,11.7159,3317684.0865802,0
MAS.US,D,20000214,000000,12.0591,12.7399,11.7611,12.6533,2152833.0184506,0
MAS.US,D,20000215,000000,12.9081,13.4658,12.5294,13.33,2129836.1498343,0
MAS.US,D,20000216,000000,13.33,13.7984,13.2504,13.5839,2435522.0919929,0
MAS.US,D,20000217,000000,13.4207,14.307,13.33,14.0531,3120686.8634491,0
