<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBI.US,D,20000103,000000,33.01,33.05,32.01,32.93,665400,0
MBI.US,D,20000104,000000,32.49,32.73,31.02,31.29,807600,0
MBI.US,D,20000105,000000,31.45,31.73,31.09,31.57,466200,0
MBI.US,D,20000106,000000,31.61,33.05,31.41,32.41,370950,0
MBI.US,D,20000107,000000,32.65,33.13,32.49,32.73,638400,0
MBI.US,D,20000110,000000,32.89,32.97,31.85,32.05,548850,0
MBI.US,D,20000111,000000,31.53,32.13,31.06,32.09,606450,0
MBI.US,D,20000112,000000,32.21,32.89,31.81,32.09,663450,0
MBI.US,D,20000113,000000,32.73,32.77,31.85,32.09,610950,0
MBI.US,D,20000114,000000,32.53,32.93,32.01,32.21,626700,0
MBI.US,D,20000118,000000,32.05,32.73,31.77,32.41,556650,0
MBI.US,D,20000119,000000,32.57,33.36,32.41,32.65,523050,0
MBI.US,D,20000120,000000,32.65,32.97,31.37,31.89,412650,0
MBI.US,D,20000121,000000,32.17,32.17,31.29,31.53,681450,0
MBI.US,D,20000124,000000,31.69,32.09,31.25,31.45,322350,0
MBI.US,D,20000125,000000,31.49,31.57,30.74,31.09,766800,0
MBI.US,D,20000126,000000,31.21,31.69,30.54,30.98,895650,0
MBI.US,D,20000127,000000,31.06,31.65,30.7,31.02,453150,0
MBI.US,D,20000128,000000,30.94,30.94,30.22,30.66,942300,0
MBI.US,D,20000131,000000,30.5,31.89,30.34,31.89,645300,0
MBI.US,D,20000201,000000,31.06,31.49,30.66,30.98,534300,0
MBI.US,D,20000202,000000,30.82,30.9,30.46,30.54,433800,0
MBI.US,D,20000203,000000,30.82,31.53,29.94,31.21,504450,0
MBI.US,D,20000204,000000,30.5,30.82,30.02,30.5,354150,0
MBI.US,D,20000207,000000,30.34,30.5,28.03,28.39,955350,0
MBI.US,D,20000208,000000,28.35,28.35,25.48,26.12,2949150,0
MBI.US,D,20000209,000000,26.12,26.36,25.04,25.48,2101650,0
MBI.US,D,20000210,000000,25.48,25.72,24.88,25.32,1069650,0
MBI.US,D,20000211,000000,25.36,25.88,24.84,24.96,883650,0
MBI.US,D,20000214,000000,25.12,25.48,24.88,25,1076400,0
MBI.US,D,20000215,000000,24.88,25.84,24.76,25.24,976800,0
MBI.US,D,20000216,000000,25.16,25.8,25.16,25.32,514950,0
MBI.US,D,20000217,000000,25.24,25.8,25.2,25.28,829200,0
MBI.US,D,20000218,000000,25.28,25.4,24.8,25.04,813000,0
MBI.US,D,20000222,000000,25.04,25.44,24.92,25.12,692700,0
MBI.US,D,20000223,000000,24.96,25.24,24.57,24.76,549900,0
MBI.US,D,20000224,000000,24.76,24.84,23.69,23.85,881550,0
MBI.US,D,20000225,000000,23.85,24.13,23.13,23.41,704550,0
MBI.US,D,20000228,000000,23.57,24.01,23.49,23.81,1041450,0
MBI.US,D,20000229,000000,23.89,24.45,23.81,24.45,756450,0
MBI.US,D,20000301,000000,24.45,24.76,23.85,24.76,1068300,0
MBI.US,D,20000302,000000,24.49,24.49,23.77,24.41,933150,0
MBI.US,D,20000303,000000,24.13,24.84,23.89,24.53,824700,0
MBI.US,D,20000306,000000,24.21,24.25,23.61,23.69,591750,0
MBI.US,D,20000307,000000,23.69,24.17,23.25,23.33,814800,0
MBI.US,D,20000308,000000,23.49,23.65,23.29,23.49,736650,0
MBI.US,D,20000309,000000,23.49,26.32,23.45,25.68,1452150,0
MBI.US,D,20000310,000000,25.84,26.44,24.96,25.04,856350,0
MBI.US,D,20000313,000000,24.84,26.12,24.61,25.92,457800,0
MBI.US,D,20000314,000000,25.92,28.11,25.88,27.83,1871100,0
MBI.US,D,20000315,000000,27.83,30.42,27.75,29.9,1156500,0
MBI.US,D,20000316,000000,30.18,31.93,29.82,31.73,1070850,0
MBI.US,D,20000317,000000,31.81,31.85,30.14,30.22,1132200,0
MBI.US,D,20000320,000000,29.9,30.26,29.82,30.02,900300,0
MBI.US,D,20000321,000000,29.94,31.21,29.86,31.21,648150,0
MBI.US,D,20000322,000000,31.69,31.93,30.62,31.02,522600,0
MBI.US,D,20000323,000000,30.83,31.67,30.79,31.51,510150,0
MBI.US,D,20000324,000000,31.83,32.59,31.31,32.11,594000,0
MBI.US,D,20000327,000000,31.99,32.35,30.47,30.79,663150,0
MBI.US,D,20000328,000000,30.79,32.07,30.71,31.43,449250,0
MBI.US,D,20000329,000000,31.39,31.95,31.35,31.83,732450,0
MBI.US,D,20000330,000000,31.71,33.27,31.59,32.71,668850,0
MBI.US,D,20000331,000000,32.71,33.59,32.31,33.31,631200,0
MBI.US,D,20000403,000000,32.79,33.79,32.75,33.31,452100,0
MBI.US,D,20000404,000000,33.35,33.99,32.29,32.75,479400,0
MBI.US,D,20000405,000000,33.11,33.39,32.43,32.47,349350,0
MBI.US,D,20000406,000000,33.11,33.19,32.51,32.95,393450,0
MBI.US,D,20000407,000000,33.11,33.11,32.63,32.75,263250,0
MBI.US,D,20000410,000000,32.91,33.27,31.79,33.19,523650,0
MBI.US,D,20000411,000000,33.35,33.75,32.71,33.19,330000,0
MBI.US,D,20000412,000000,33.35,33.87,33.23,33.27,688050,0
MBI.US,D,20000413,000000,33.47,33.51,32.95,33.23,254550,0
MBI.US,D,20000414,000000,33.15,33.15,31.03,31.27,540750,0
MBI.US,D,20000417,000000,31.43,31.91,31.31,31.75,384000,0
MBI.US,D,20000418,000000,31.35,32.51,31.19,32.19,389550,0
MBI.US,D,20000419,000000,32.35,32.35,30.71,30.95,397050,0
MBI.US,D,20000420,000000,31.03,31.87,30.71,31.75,467100,0
MBI.US,D,20000424,000000,31.51,32.23,31.35,32.11,312150,0
MBI.US,D,20000425,000000,32.15,33.87,31.95,33.55,381150,0
MBI.US,D,20000426,000000,33.35,33.55,32.23,32.31,659250,0
MBI.US,D,20000427,000000,31.75,31.91,31.07,31.47,606750,0
MBI.US,D,20000428,000000,31.75,31.95,30.91,31.63,588300,0
MBI.US,D,20000501,000000,31.79,32.51,31.79,31.99,379950,0
MBI.US,D,20000502,000000,31.91,32.15,31.19,31.71,334650,0
MBI.US,D,20000503,000000,31.71,31.91,30.95,31.27,467550,0
MBI.US,D,20000504,000000,31.39,31.51,30.71,31.19,489450,0
MBI.US,D,20000505,000000,31.07,31.67,30.83,31.67,349500,0
MBI.US,D,20000508,000000,31.51,31.67,31.19,31.55,470550,0
MBI.US,D,20000509,000000,31.59,31.59,31.07,31.43,473100,0
MBI.US,D,20000510,000000,31.43,31.91,31.27,31.75,582900,0
MBI.US,D,20000511,000000,31.71,32.63,31.71,32.27,459000,0
MBI.US,D,20000512,000000,32.39,32.59,32.15,32.47,315450,0
MBI.US,D,20000515,000000,32.35,33.39,32.35,33.31,478050,0
MBI.US,D,20000516,000000,33.31,33.71,33.11,33.19,205200,0
MBI.US,D,20000517,000000,33.23,33.23,32.55,32.63,433950,0
MBI.US,D,20000518,000000,32.47,33.43,32.47,33.23,267300,0
MBI.US,D,20000519,000000,33.11,33.23,32.83,33.11,329550,0
MBI.US,D,20000522,000000,33.91,36.26,33.91,35.74,948000,0
MBI.US,D,20000523,000000,35.9,36.54,35.34,36.22,641850,0
MBI.US,D,20000524,000000,36.18,37.06,35.74,36.26,564300,0
MBI.US,D,20000525,000000,36.3,36.42,35.7,35.74,959100,0
MBI.US,D,20000526,000000,35.58,35.78,35.14,35.5,380550,0
MBI.US,D,20000530,000000,35.54,36.26,35.26,36.22,524100,0
MBI.US,D,20000531,000000,36.38,36.98,36.18,36.98,947250,0
MBI.US,D,20000601,000000,36.86,38.46,36.62,37.86,928050,0
MBI.US,D,20000602,000000,38.02,38.38,37.58,37.86,786750,0
MBI.US,D,20000605,000000,37.94,38.02,36.74,37.22,541950,0
MBI.US,D,20000606,000000,36.38,36.42,34.7,35.06,947400,0
MBI.US,D,20000607,000000,35.18,36.78,35.18,36.02,593400,0
MBI.US,D,20000608,000000,36.78,36.78,34.7,35.02,446700,0
MBI.US,D,20000609,000000,35.18,35.26,34.42,34.66,246900,0
MBI.US,D,20000612,000000,35.18,35.18,34.58,34.58,249000,0
MBI.US,D,20000613,000000,34.62,34.82,34.19,34.35,759900,0
MBI.US,D,20000614,000000,33.91,34.47,33.67,34.27,537300,0
MBI.US,D,20000615,000000,34.11,34.23,33.11,33.23,477450,0
MBI.US,D,20000616,000000,33.27,33.71,33.07,33.17,754800,0
MBI.US,D,20000619,000000,33.19,34.42,32.47,33.99,468150,0
MBI.US,D,20000620,000000,33.99,33.99,32.63,32.67,389250,0
MBI.US,D,20000621,000000,32.67,32.87,32.03,32.51,440100,0
MBI.US,D,20000622,000000,32.36,32.36,31.35,31.91,558300,0
MBI.US,D,20000623,000000,32.28,32.28,31.63,31.87,421650,0
MBI.US,D,20000626,000000,32,32.12,30.95,31.63,402750,0
MBI.US,D,20000627,000000,31.71,32.4,31.47,32.16,608100,0
MBI.US,D,20000628,000000,32.12,32.52,31.75,31.94,397650,0
MBI.US,D,20000629,000000,31.79,32.12,31.55,31.83,257700,0
MBI.US,D,20000630,000000,31.83,32.28,30.94,30.95,767400,0
MBI.US,D,20000703,000000,30.99,31.79,30.99,31.75,217950,0
MBI.US,D,20000705,000000,32.6,33.24,31.71,32.4,524400,0
MBI.US,D,20000706,000000,33,33,32.36,32.68,293700,0
MBI.US,D,20000707,000000,32.52,33.96,32.52,33.44,248250,0
MBI.US,D,20000710,000000,33.96,34.16,33.64,33.8,564750,0
MBI.US,D,20000711,000000,33.76,33.76,33.04,33.16,394350,0
MBI.US,D,20000712,000000,33.16,34.44,32.84,33.84,487650,0
MBI.US,D,20000713,000000,33.84,34.12,33.76,33.8,397650,0
MBI.US,D,20000714,000000,33.96,34.52,33.96,34.4,228750,0
MBI.US,D,20000717,000000,34.93,34.93,33.72,33.92,626100,0
MBI.US,D,20000718,000000,33.92,33.92,33.08,33.48,490500,0
MBI.US,D,20000719,000000,34.36,34.36,33.76,34.04,433800,0
MBI.US,D,20000720,000000,34.12,35.57,34.12,35.21,814950,0
MBI.US,D,20000721,000000,35.13,35.17,33.48,34.04,558300,0
MBI.US,D,20000724,000000,34.04,34.85,33.48,34.12,388050,0
MBI.US,D,20000725,000000,33.96,34.64,33.48,34.48,442950,0
MBI.US,D,20000726,000000,34.48,35.57,34.44,35.37,773550,0
MBI.US,D,20000727,000000,36.61,37.05,36.09,36.89,580350,0
MBI.US,D,20000728,000000,36.73,36.85,35.69,35.93,424650,0
MBI.US,D,20000731,000000,35.77,36.37,35.69,35.77,283200,0
MBI.US,D,20000801,000000,36.21,36.53,35.81,36.45,232650,0
MBI.US,D,20000802,000000,36.29,36.53,36.09,36.09,312600,0
MBI.US,D,20000803,000000,36.37,38.34,36.13,38.06,788250,0
MBI.US,D,20000804,000000,38.06,40.22,38.06,39.86,705450,0
