<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCD.US,D,20000103,000000,28.379,28.4655,27.6659,28.1546,6322271.0183369,0
MCD.US,D,20000104,000000,27.9285,28.1095,27.2578,27.5734,5896967.4744613,0
MCD.US,D,20000105,000000,27.5734,28.6857,27.5734,28.0229,7316635.0372653,0
MCD.US,D,20000106,000000,27.7976,27.9717,27.4839,27.6128,6726171.1591554,0
MCD.US,D,20000107,000000,27.7052,28.4231,27.6128,28.3307,7167128.4388849,0
MCD.US,D,20000110,000000,28.4231,29.1392,28.2431,28.4655,5753480.9962414,0
MCD.US,D,20000111,000000,28.5146,29.4942,28.5146,29.1392,7608378.5398619,0
MCD.US,D,20000112,000000,29.0949,30.6096,28.8727,30.3873,11314238.841591,0
MCD.US,D,20000113,000000,30.346,30.9666,29.7608,30.0736,7971994.4076045,0
MCD.US,D,20000114,000000,30.4336,30.4336,29.7608,30.2526,4706666.3881009,0
MCD.US,D,20000118,000000,30.1168,30.2113,29.272,29.4942,4756593.4275343,0
MCD.US,D,20000119,000000,29.1392,30.3037,29.1392,30.1168,4677717.7542196,0
MCD.US,D,20000120,000000,30.2526,30.2526,29.1392,30.2526,4628768.8190921,0
MCD.US,D,20000121,000000,29.5867,29.7608,28.734,29.1796,5206227.5702009,0
MCD.US,D,20000124,000000,29.3192,29.4539,28.0651,28.0651,5025678.8693677,0
MCD.US,D,20000125,000000,28.2431,28.6002,27.8439,28.2875,4621495.0579657,0
MCD.US,D,20000126,000000,28.1546,28.1546,24.6257,25.3841,23360201.37794,0
MCD.US,D,20000127,000000,25.5611,26.9508,25.4687,26.7276,16897518.504483,0
MCD.US,D,20000128,000000,26.3705,26.5918,25.8276,26.098,6215419.7317442,0
MCD.US,D,20000131,000000,26.4542,26.9921,26.3705,26.5407,6766588.6252291,0
MCD.US,D,20000201,000000,26.5918,26.6793,25.9181,26.0115,6544498.9601331,0
MCD.US,D,20000202,000000,26.0115,26.098,25.1137,25.2051,8068356.9997914,0
MCD.US,D,20000203,000000,25.2493,25.6978,24.4477,24.8461,12902569.409454,0
MCD.US,D,20000204,000000,25.4687,25.4687,24.5834,24.9414,10841811.411682,0
MCD.US,D,20000207,000000,25.0242,25.2994,24.1311,24.8048,13975535.598518,0
MCD.US,D,20000208,000000,25.5611,26.7276,25.2051,25.7844,16985069.007253,0
MCD.US,D,20000209,000000,26.0549,26.0549,25.1137,25.4687,8272960.7627559,0
MCD.US,D,20000210,000000,25.2051,25.7401,24.9414,25.2051,7486977.6975359,0
MCD.US,D,20000211,000000,24.8893,25.1588,24.7123,24.8048,5482999.5697804,0
MCD.US,D,20000214,000000,25.0703,25.0703,23.6835,24.0396,6190529.9257097,0
MCD.US,D,20000215,000000,23.953,24.2254,23.774,23.953,6530088.6978403,0
MCD.US,D,20000216,000000,23.953,24.4477,23.6373,23.7317,5321326.6552638,0
MCD.US,D,20000217,000000,23.8665,24.1743,23.7317,23.953,5974588.49007,0
MCD.US,D,20000218,000000,23.8665,23.9097,22.9666,23.1032,7684871.9903197,0
MCD.US,D,20000222,000000,22.9232,23.597,22.879,22.9666,6264787.5639341,0
MCD.US,D,20000223,000000,23.059,23.7317,23.0187,23.1957,6891197.2836515,0
MCD.US,D,20000224,000000,22.8387,23.0187,22.0272,22.3006,8607076.9232972,0
MCD.US,D,20000225,000000,22.3892,22.6085,21.8483,22.0272,6365067.6570463,0
MCD.US,D,20000228,000000,22.2073,22.5249,21.7656,22.1226,5427200.854291,0
MCD.US,D,20000229,000000,22.5662,23.059,22.4394,22.5662,6830358.5857883,0
MCD.US,D,20000301,000000,22.6627,22.7009,22.1226,22.2073,6950498.6699655,0
MCD.US,D,20000302,000000,22.1226,22.343,21.8483,21.9466,6831338.723575,0
MCD.US,D,20000303,000000,22.0272,22.9666,21.7244,22.9666,7263909.9281341,0
MCD.US,D,20000306,000000,23.1032,23.1032,22.1226,22.4394,5839072.2401794,0
MCD.US,D,20000307,000000,22.3892,22.4394,21.1794,21.2285,8647631.6493309,0
MCD.US,D,20000308,000000,21.5896,22.2073,21.3161,21.8483,5616422.3510996,0
MCD.US,D,20000309,000000,21.7656,22.7442,21.3161,22.7442,6683930.677468,0
MCD.US,D,20000310,000000,22.343,23.0187,22.0272,22.5662,6739879.8705427,0
MCD.US,D,20000313,000000,22.7442,23.059,22.2525,23.059,7915352.8142884,0
MCD.US,D,20000314,000000,23.059,23.1032,21.3644,21.6703,7322369.4533616,0
MCD.US,D,20000315,000000,21.8089,23.3766,21.6329,23.1032,9852201.6710624,0
MCD.US,D,20000316,000000,23.7317,24.3956,23.2812,24.1743,11526682.690108,0
MCD.US,D,20000317,000000,24.8461,24.9808,23.953,23.9992,7640258.4364393,0
MCD.US,D,20000320,000000,24.3081,24.7546,24.2254,24.5323,3826423.3499295,0
MCD.US,D,20000321,000000,24.6681,25.2051,24.4871,25.0242,5929698.3827892,0
MCD.US,D,20000322,000000,25.0242,25.3841,24.8461,25.0242,5250141.6066568,0
MCD.US,D,20000323,000000,24.1311,25.5188,24.0887,24.9808,5642992.8290857,0
MCD.US,D,20000324,000000,24.9414,25.5188,24.6257,24.7123,4458706.7791838,0
MCD.US,D,20000327,000000,24.2707,24.9808,24.2254,24.6681,3062677.4149293,0
MCD.US,D,20000328,000000,24.1311,25.1137,24.1311,24.9414,4144591.9366289,0
MCD.US,D,20000329,000000,24.7546,26.3204,24.7123,26.1424,7402228.3146844,0
MCD.US,D,20000330,000000,26.1424,27.1701,26.1424,26.7276,6907559.6875941,0
MCD.US,D,20000331,000000,26.8997,26.9508,26.1424,26.5407,5228183.0633182,0
MCD.US,D,20000403,000000,26.8584,27.4397,26.6793,27.3482,6236675.707437,0
MCD.US,D,20000404,000000,27.4839,27.9285,26.7698,27.3482,7196223.4833901,0
MCD.US,D,20000405,000000,26.9921,27.4397,26.4542,27.3934,5795016.876802,0
MCD.US,D,20000406,000000,26.8151,27.0364,26.1847,26.2762,5767749.9316127,0
MCD.US,D,20000407,000000,25.8276,26.4994,25.6585,26.2762,4412973.794076,0
MCD.US,D,20000410,000000,26.1847,26.2339,25.4687,25.8276,4523736.4811512,0
MCD.US,D,20000411,000000,25.6585,26.8151,25.4687,26.7698,4690868.275104,0
MCD.US,D,20000412,000000,26.4542,27.1279,25.7844,25.7844,6360870.5524992,0
MCD.US,D,20000413,000000,25.5611,25.5611,24.2254,24.2254,10349660.233927,0
MCD.US,D,20000414,000000,23.8665,24.7123,23.4583,23.8665,8034228.073355,0
MCD.US,D,20000417,000000,23.8183,24.2254,23.5124,23.9097,6613584.4397262,0
MCD.US,D,20000418,000000,23.953,23.9992,22.7009,23.1032,7608089.7855762,0
MCD.US,D,20000419,000000,23.416,23.597,23.1032,23.5124,4857151.0907873,0
MCD.US,D,20000420,000000,24.1311,25.5611,23.953,25.4263,9803388.9791542,0
MCD.US,D,20000424,000000,25.0242,27.7052,24.9414,27.7052,13428284.205958,0
MCD.US,D,20000425,000000,27.6659,28.0229,27.1279,27.5292,5559360.8439805,0
MCD.US,D,20000426,000000,27.2578,27.9717,27.2578,27.6128,4865965.2136841,0
MCD.US,D,20000427,000000,27.0846,27.7976,27.0364,27.5734,4062217.6594512,0
MCD.US,D,20000428,000000,27.3934,27.5292,26.6793,27.0364,4106833.2468125,0
MCD.US,D,20000501,000000,26.9921,27.9285,26.9921,27.6128,4320249.0991928,0
MCD.US,D,20000502,000000,27.2578,28.1546,27.2134,27.8439,4377171.3128711,0
MCD.US,D,20000503,000000,27.1701,27.4839,26.3204,26.4994,7333694.9251517,0
MCD.US,D,20000504,000000,26.0115,26.0549,25.2493,25.3841,9112086.817429,0
MCD.US,D,20000505,000000,25.2051,25.6978,24.8461,25.3378,6948117.463849,0
MCD.US,D,20000508,000000,25.3841,25.6585,24.9808,25.4263,4357312.3385466,0
MCD.US,D,20000509,000000,25.7401,26.4148,25.6978,26.2762,4427378.9726667,0
MCD.US,D,20000510,000000,26.4148,27.5734,26.3705,27.4397,8384985.2247204,0
MCD.US,D,20000511,000000,27.3482,27.5734,27.0846,27.1279,4454653.0350392,0
MCD.US,D,20000512,000000,27.1701,27.1701,26.4542,26.6793,3371199.1683095,0
MCD.US,D,20000515,000000,26.5918,27.3934,26.5407,27.1279,3972013.4641252,0
MCD.US,D,20000516,000000,27.5734,27.8861,27.3069,27.8439,3850761.0659038,0
MCD.US,D,20000517,000000,27.4839,27.9285,27.2134,27.7534,2822127.8103578,0
MCD.US,D,20000518,000000,27.5734,27.7534,27.3934,27.4397,2704371.9825184,0
MCD.US,D,20000519,000000,26.8584,27.5292,26.7276,26.8584,4175077.8820595,0
MCD.US,D,20000522,000000,26.8997,27.7976,26.8584,27.6128,4398427.2885639,0
MCD.US,D,20000523,000000,27.2578,27.8861,26.8151,27.7976,3855935.2580161,0
MCD.US,D,20000524,000000,27.7976,28.379,27.0846,27.5292,7144335.1516429,0
MCD.US,D,20000525,000000,26.9921,27.3934,26.3705,26.4994,4829319.8546523,0
MCD.US,D,20000526,000000,26.4542,26.9508,26.4148,26.8151,4378428.0040582,0
MCD.US,D,20000530,000000,26.2762,26.3204,25.5188,25.9664,5888159.4520073,0
MCD.US,D,20000531,000000,25.5611,25.9664,25.0703,25.4263,5427340.1477316,0
MCD.US,D,20000601,000000,25.2493,25.4263,25.0242,25.2994,4166411.1865268,0
MCD.US,D,20000602,000000,25.6585,25.7844,24.9808,25.6585,5177135.5759171,0
MCD.US,D,20000605,000000,25.5611,25.5611,25.0242,25.2051,2738215.2048904,0
MCD.US,D,20000606,000000,24.9414,25.2994,24.7546,24.9414,5003443.7726287,0
MCD.US,D,20000607,000000,24.9414,25.0703,24.3552,24.7546,3521541.5273338,0
MCD.US,D,20000608,000000,24.4871,25.3841,24.4871,25.1588,4632408.7498765,0
MCD.US,D,20000609,000000,25.2051,25.5611,22.4797,24.0396,21399854.632798,0
MCD.US,D,20000612,000000,23.6373,23.6835,22.7442,23.1957,11392137.42734,0
MCD.US,D,20000613,000000,22.9232,23.597,22.7964,23.0187,8456871.8242326,0
MCD.US,D,20000614,000000,22.7442,23.4583,22.4797,22.5662,8309881.6584476,0
MCD.US,D,20000615,000000,22.5662,22.9666,22.4797,22.8387,8783009.6225211,0
MCD.US,D,20000616,000000,23.1032,23.1534,22.2525,22.2525,9591227.7844801,0
MCD.US,D,20000619,000000,22.6627,22.7964,22.0823,22.3892,6308141.3764062,0
MCD.US,D,20000620,000000,22.5249,22.5662,22.0272,22.3892,5496563.9040249,0
MCD.US,D,20000621,000000,22.2073,22.5662,22.0823,22.2525,6149127.238147,0
MCD.US,D,20000622,000000,22.2073,22.4394,22.1226,22.343,5494746.988854,0
MCD.US,D,20000623,000000,22.5249,23.597,22.3892,23.1957,11158584.013753,0
MCD.US,D,20000626,000000,23.416,23.9097,23.3766,23.774,6834977.637619,0
MCD.US,D,20000627,000000,23.6373,23.8183,23.1957,23.238,4785965.0254398,0
MCD.US,D,20000628,000000,23.1032,23.3235,22.7442,22.879,4447097.6368101,0
MCD.US,D,20000629,000000,22.7009,22.7009,22.0823,22.2073,7755083.0015827,0
MCD.US,D,20000630,000000,22.3892,23.4583,22.343,23.416,8597702.5764166,0
MCD.US,D,20000703,000000,23.597,23.7317,22.9232,23.1032,2351232.6082961,0
MCD.US,D,20000705,000000,23.1032,23.1534,22.4797,22.6085,7086432.8001779,0
MCD.US,D,20000706,000000,22.7964,23.1534,22.7964,22.879,5608591.4162107,0
MCD.US,D,20000707,000000,22.9232,23.8183,22.7442,23.1032,5267766.8022291,0
MCD.US,D,20000710,000000,23.7317,23.774,22.879,22.9232,4215080.5180327,0
MCD.US,D,20000711,000000,23.3766,23.5124,22.9232,23.1534,4327800.4304599,0
MCD.US,D,20000712,000000,23.1957,23.1957,22.7442,22.7442,4045992.5154683,0
MCD.US,D,20000713,000000,23.059,23.059,22.0272,22.3892,9414593.5343508,0
MCD.US,D,20000714,000000,22.2525,22.4394,22.1226,22.3006,4396889.9770147,0
MCD.US,D,20000717,000000,22.3892,22.4394,22.1226,22.2525,3733277.724503,0
MCD.US,D,20000718,000000,22.2525,22.4797,22.0272,22.2525,3708531.2788708,0
MCD.US,D,20000719,000000,22.2525,22.343,22.0272,22.3006,4434091.4930685,0
MCD.US,D,20000720,000000,22.3892,22.7442,22.2525,22.5249,4568070.4314099,0
MCD.US,D,20000721,000000,22.6627,22.6627,21.7244,21.9466,5638661.5148003,0
MCD.US,D,20000724,000000,21.9466,22.167,21.4056,21.4941,5863127.3023107,0
MCD.US,D,20000725,000000,22.0272,22.3006,21.3644,22.2525,9643960.0107945,0
MCD.US,D,20000726,000000,22.7442,23.6373,22.5249,22.5249,15798119.097392,0
MCD.US,D,20000727,000000,23.4583,23.953,22.7964,22.879,9176425.1358957,0
MCD.US,D,20000728,000000,22.9666,23.3235,22.7442,22.7442,4325560.5512649,0
MCD.US,D,20000731,000000,23.059,23.1957,22.343,22.5249,6812739.4906587,0
MCD.US,D,20000801,000000,22.6627,23.1957,22.6085,23.1957,4383321.5758084,0
MCD.US,D,20000802,000000,23.1534,23.8665,23.1534,23.774,6493590.7661726,0
MCD.US,D,20000803,000000,23.9097,24.0887,23.597,23.6373,5322449.1367124,0
MCD.US,D,20000804,000000,23.5528,23.9097,23.4583,23.7317,3547553.8148171,0
MCD.US,D,20000807,000000,23.8665,24.3081,23.8183,23.9097,4304863.7828156,0
MCD.US,D,20000808,000000,24.1311,24.2254,23.5124,23.8183,3671881.8528773,0
MCD.US,D,20000809,000000,23.3235,23.597,22.9232,23.238,4962459.9821285,0
MCD.US,D,20000810,000000,23.416,23.5124,23.1957,23.3235,3239034.0949179,0
MCD.US,D,20000811,000000,23.416,23.9097,23.3766,23.774,3110504.8853488,0
MCD.US,D,20000814,000000,23.774,23.774,23.4583,23.6835,3436791.1277418,0
MCD.US,D,20000815,000000,23.774,23.9097,22.9232,23.059,4017746.4492328,0
MCD.US,D,20000816,000000,23.059,23.1534,22.7964,23.0187,2919607.8002909,0
MCD.US,D,20000817,000000,22.8387,23.0187,22.0272,22.2073,6622395.5124016,0
MCD.US,D,20000818,000000,22.1226,22.7009,22.0272,22.4394,4664712.6272184,0
MCD.US,D,20000821,000000,22.6085,22.7009,22.2073,22.4394,4175782.4831862,0
MCD.US,D,20000822,000000,22.5249,22.6627,22.167,22.2525,4874773.2361383,0
MCD.US,D,20000823,000000,22.2525,22.5662,21.985,22.167,4775758.9848771,0
MCD.US,D,20000824,000000,22.167,22.2525,21.3161,21.5896,9237262.8170185,0
MCD.US,D,20000825,000000,21.6703,21.7244,21.2285,21.5896,6981682.0993398,0
MCD.US,D,20000828,000000,21.3161,21.6329,21.3161,21.5896,5672783.3240535,0
MCD.US,D,20000829,000000,21.8089,22.0272,21.4519,21.6329,6746306.6868804,0
MCD.US,D,20000830,000000,21.6329,21.6329,21.2719,21.5896,5727046.7614746,0
MCD.US,D,20000831,000000,21.4056,21.5896,21.0505,21.2285,9499765.8812264,0
MCD.US,D,20000901,000000,21.0919,21.3644,20.8214,21.0084,6596947.5158641,0
MCD.US,D,20000905,000000,21.0084,21.1794,20.8735,21.0919,7283769.9191992,0
MCD.US,D,20000906,000000,21.0084,21.5345,21.0084,21.4056,5607052.0711806,0
MCD.US,D,20000907,000000,21.4941,21.5896,20.6503,20.9543,9271660.1629317,0
MCD.US,D,20000908,000000,20.8214,21.0084,20.0642,20.4202,8766230.3549971,0
MCD.US,D,20000911,000000,20.4202,20.4653,19.9353,20.1595,6313876.8092427,0
MCD.US,D,20000912,000000,20.0218,21.0084,19.7474,20.5992,16405512.720612,0
MCD.US,D,20000913,000000,20.9149,20.9543,19.1681,19.3048,10931599.760166,0
MCD.US,D,20000914,000000,19.71,19.71,18.7245,19.3501,24932024.147978,0
MCD.US,D,20000915,000000,20.4653,20.4653,19.2203,19.8841,14231471.536207,0
MCD.US,D,20000918,000000,19.8448,20.2943,19.4848,20.2412,7731023.8724896,0
MCD.US,D,20000919,000000,20.2412,20.3346,19.5762,19.7976,7146850.5674979,0
MCD.US,D,20000920,000000,19.7976,19.8448,19.1681,19.6619,6703512.0816517,0
MCD.US,D,20000921,000000,19.7474,20.0642,19.1681,19.1681,5773340.9873065,0
MCD.US,D,20000922,000000,20.3778,20.7752,20.0218,20.3778,9631647.2840347,0
MCD.US,D,20000925,000000,20.7752,20.9149,20.5568,20.9149,6177098.784463,0
MCD.US,D,20000926,000000,20.9543,21.4056,20.9149,21.2285,7836196.5206115,0
MCD.US,D,20000927,000000,21.0505,21.2719,20.9543,21.2285,4954211.1669177,0
MCD.US,D,20000928,000000,21.2719,21.4941,21.1794,21.2285,4640240.7015058,0
MCD.US,D,20000929,000000,21.4519,21.5896,21.1371,21.4519,4299830.9176247,0
MCD.US,D,20001002,000000,21.6329,21.6329,21.3161,21.3644,3023377.346602,0
MCD.US,D,20001003,000000,21.4056,21.6703,21.2719,21.4941,4261795.6744079,0
