<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDT.US,D,20000103,000000,25.1326,26.8427,24.9376,26.0845,11969148.008693,0
MDT.US,D,20000104,000000,26.1299,27.0376,26.0845,26.2707,6599180.5632139,0
MDT.US,D,20000105,000000,26.6881,28.16,26.4006,27.9256,7544507.1383228,0
MDT.US,D,20000106,000000,27.8715,29.2133,27.6863,28.9712,7918166.303164,0
MDT.US,D,20000107,000000,30.3062,32.7802,29.9705,32.2171,14901988.149652,0
MDT.US,D,20000110,000000,31.7367,32.9722,31.5949,31.9749,8998206.6612441,0
MDT.US,D,20000111,000000,31.6923,32.8374,31.5949,32.1147,5700745.3585714,0
MDT.US,D,20000112,000000,31.7367,32.0704,31.4984,32.0704,4189052.4901116,0
MDT.US,D,20000113,000000,32.0251,33.6416,31.9749,33.1671,6495852.9677747,0
MDT.US,D,20000114,000000,34.1201,34.26,33.2617,33.4556,7439110.4922687,0
MDT.US,D,20000118,000000,33.9271,34.2156,33.4556,33.8337,7682189.9124318,0
MDT.US,D,20000119,000000,34.0207,34.7887,33.7411,34.26,5538518.3826657,0
MDT.US,D,20000120,000000,34.8772,35.1647,33.5482,33.5482,7857074.9682413,0
MDT.US,D,20000121,000000,34.3052,34.3052,33.0205,33.2153,7885488.1016986,0
MDT.US,D,20000124,000000,33.7411,34.26,32.3087,32.8374,7426451.3966308,0
MDT.US,D,20000125,000000,33.3542,34.3052,33.2617,33.9725,4834205.2243075,0
MDT.US,D,20000126,000000,34.1201,35.3153,33.9271,35.1647,8510748.6968451,0
MDT.US,D,20000127,000000,35.7377,36.2161,34.5494,35.4059,5863485.2802606,0
MDT.US,D,20000128,000000,35.21,35.21,33.7864,34.1654,5142125.0544153,0
MDT.US,D,20000131,000000,34.1654,34.8772,32.9722,34.8772,4801014.0770588,0
MDT.US,D,20000201,000000,34.6921,35.4512,34.2836,35.3597,3824046.3651275,0
MDT.US,D,20000202,000000,35.1647,35.4995,34.1201,34.3052,4002675.4172879,0
MDT.US,D,20000203,000000,34.5917,34.9265,33.5482,34.8772,4231158.7366472,0
MDT.US,D,20000204,000000,35.0722,37.8367,35.023,36.6424,7384216.1518486,0
MDT.US,D,20000207,000000,36.4968,37.5512,36.2161,37.5512,5649079.0215163,0
MDT.US,D,20000208,000000,37.3572,37.8819,37.116,37.8367,4299228.1656912,0
MDT.US,D,20000209,000000,37.7451,37.8819,37.1721,37.2627,4760071.8619442,0
MDT.US,D,20000210,000000,37.3572,37.5039,36.5992,36.5992,2697899.7991363,0
MDT.US,D,20000211,000000,37.1721,37.1721,34.3052,35.0722,7960531.561927,0
MDT.US,D,20000214,000000,35.3597,36.6424,35.21,35.3597,5974040.8404401,0
MDT.US,D,20000215,000000,35.5457,35.5457,34.2156,34.639,5981407.9607692,0
MDT.US,D,20000216,000000,34.639,35.0722,33.5934,33.7411,6159265.0549191,0
MDT.US,D,20000217,000000,35.2592,36.0272,35.21,35.4995,7301940.6639431,0
MDT.US,D,20000218,000000,36.2161,36.8856,36.1167,36.3569,7206109.1870795,0
MDT.US,D,20000222,000000,36.5992,38.0227,36.3569,37.5039,5362737.4492703,0
MDT.US,D,20000223,000000,37.5039,37.5512,36.2663,36.9762,4067120.7066194,0
MDT.US,D,20000224,000000,37.3572,38.0759,36.6898,37.7451,8148847.6713848,0
MDT.US,D,20000225,000000,37.9302,37.9765,35.3597,36.165,3897276.7397653,0
MDT.US,D,20000228,000000,36.165,37.7904,34.7413,36.5992,7352441.9538429,0
MDT.US,D,20000229,000000,36.6898,37.3572,35.9779,36.9309,4246530.8583984,0
MDT.US,D,20000301,000000,36.8856,37.5964,36.165,37.4566,3096487.1133111,0
MDT.US,D,20000302,000000,37.3572,38.5022,37.116,37.3572,4160764.2919638,0
MDT.US,D,20000303,000000,37.5512,39.2603,37.4566,39.1697,4037031.6116919,0
MDT.US,D,20000306,000000,39.8342,40.3619,37.4034,37.7451,7880322.0774337,0
MDT.US,D,20000307,000000,38.5022,38.5022,37.4034,37.7451,4524608.4169952,0
MDT.US,D,20000308,000000,37.3572,37.6427,36.738,37.31,4197056.4757993,0
MDT.US,D,20000309,000000,36.9762,38.263,36.9762,38.1222,4487669.2104587,0
MDT.US,D,20000310,000000,38.1222,39.787,37.9302,39.0732,3853368.5807157,0
MDT.US,D,20000313,000000,38.3092,39.6029,37.9765,38.263,2712750.8492303,0
MDT.US,D,20000314,000000,38.4087,38.5475,35.0722,35.7377,7075527.4109329,0
MDT.US,D,20000315,000000,36.2161,37.9302,35.4995,37.3572,5744401.6155335,0
MDT.US,D,20000316,000000,37.9302,40.9783,37.5964,40.1187,5450429.8477942,0
MDT.US,D,20000317,000000,40.2221,41.7915,39.787,40.1671,6552297.3186211,0
MDT.US,D,20000320,000000,40.3147,41.0757,40.0765,40.6957,3101910.1183349,0
MDT.US,D,20000321,000000,40.7863,40.7863,38.5022,40.6022,7824911.7440276,0
MDT.US,D,20000322,000000,40.4072,41.9332,39.9819,41.7481,3904641.828626,0
MDT.US,D,20000323,000000,41.5542,43.0319,40.4072,42.7464,5679303.2090957,0
MDT.US,D,20000324,000000,42.5505,43.1245,41.8387,41.9332,4648347.1916724,0
MDT.US,D,20000327,000000,41.5542,43.7457,40.7863,43.4572,4757231.8690529,0
MDT.US,D,20000328,000000,42.6972,44.1237,41.9775,42.5505,6102428.6306621,0
MDT.US,D,20000329,000000,42.9827,43.5527,41.7481,42.267,5874333.3217765,0
MDT.US,D,20000330,000000,41.5542,41.6437,37.9302,38.8812,10165681.421356,0
MDT.US,D,20000331,000000,39.4543,40.4988,38.7897,39.214,5797094.8598894,0
MDT.US,D,20000403,000000,40.4072,42.5043,40.3147,42.0258,4965559.9741988,0
MDT.US,D,20000404,000000,42.2197,43.2603,39.8342,42.5987,8777077.257669,0
MDT.US,D,20000405,000000,41.9598,43.2033,41.5867,42.6303,5630606.8789125,0
MDT.US,D,20000406,000000,42.5347,43.6364,42.3418,42.6726,3395879.8546056,0
MDT.US,D,20000407,000000,43.1077,43.7752,42.5839,42.7779,3148927.4398452,0
MDT.US,D,20000410,000000,42.9158,44.0155,42.6726,44.0155,3230036.8648612,0
MDT.US,D,20000411,000000,43.4878,43.536,42.3881,42.5347,3110304.1459648,0
MDT.US,D,20000412,000000,42.6726,42.96,41.1476,41.2539,3508893.4916081,0
MDT.US,D,20000413,000000,41.1968,41.5365,38.5337,39.0062,6670476.9798886,0
MDT.US,D,20000414,000000,38.1468,38.6273,36.4357,37.0549,6273307.6306909,0
MDT.US,D,20000417,000000,36.4357,36.9535,34.5228,36.8118,8468003.5534824,0
MDT.US,D,20000418,000000,37.3414,40.3452,37.242,39.915,4930432.8375185,0
MDT.US,D,20000419,000000,39.8648,40.2457,39.0526,40.0607,3074144.0075783,0
MDT.US,D,20000420,000000,39.727,40.1533,39.2012,40.0046,2213676.9482417,0
MDT.US,D,20000424,000000,40.0046,41.3918,39.6718,41.1053,2658629.4825549,0
MDT.US,D,20000425,000000,41.1053,41.1053,40.1965,40.4378,3342922.5193514,0
MDT.US,D,20000426,000000,40.4378,41.0097,39.9573,40.4378,2561245.9637966,0
MDT.US,D,20000427,000000,40.4378,41.9598,40.4378,41.8722,3684037.5596448,0
MDT.US,D,20000428,000000,41.5867,41.7235,39.4877,39.6226,4780733.9275357,0
MDT.US,D,20000501,000000,40.4378,40.7252,38.2482,39.8648,3635341.2294616,0
MDT.US,D,20000502,000000,39.8648,41.7707,39.2012,41.2962,3428429.0578246,0
MDT.US,D,20000503,000000,41.2962,41.9165,40.6307,41.1476,3132651.3146344,0
MDT.US,D,20000504,000000,41.9598,42.1026,41.1968,41.5867,3150088.4240636,0
MDT.US,D,20000505,000000,41.0097,42.8694,40.9615,42.6726,2452235.3353723,0
MDT.US,D,20000508,000000,41.9598,42.7779,41.5867,42.6303,2435314.218929,0
MDT.US,D,20000509,000000,42.7297,43.3489,41.1968,41.4813,2980371.4239875,0
MDT.US,D,20000510,000000,41.5365,41.9598,41.1968,41.6309,2513975.7244643,0
MDT.US,D,20000511,000000,42.3418,42.5347,41.6309,42.205,2469415.4640426,0
MDT.US,D,20000512,000000,41.9598,42.01,40.8158,41.1249,1994880.6861798,0
MDT.US,D,20000515,000000,41.1968,43.1077,41.1968,42.8202,3207301.6857178,0
MDT.US,D,20000516,000000,43.3962,43.6798,42.5347,43.4878,2735997.9584227,0
MDT.US,D,20000517,000000,43.1077,43.3962,42.5839,43.2033,2393596.9986012,0
MDT.US,D,20000518,000000,43.3962,43.3962,41.7707,42.205,3746679.9207281,0
