<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMM.US,D,20000103,000000,33.4485,33.6025,32.7628,32.8683,3043698.5651409,0
MMM.US,D,20000104,000000,32.3337,33.003,31.5511,31.5511,3800496.1039783,0
MMM.US,D,20000105,000000,31.7341,33.5154,31.7341,32.4673,5180760.2201732,0
MMM.US,D,20000106,000000,32.8461,35.6802,32.8461,35.0835,8368706.5651262,0
MMM.US,D,20000107,000000,35.2104,36.1529,34.7901,35.7693,5743454.3751449,0
MMM.US,D,20000110,000000,34.9654,36.0386,34.8114,35.5902,5410998.3346635,0
MMM.US,D,20000111,000000,35.0835,35.6802,34.9876,34.9876,3301660.2773874,0
MMM.US,D,20000112,000000,35.504,36.0832,35.0835,35.0835,4017000.9559894,0
MMM.US,D,20000113,000000,35.285,35.4806,34.947,35.0835,3143133.0844531,0
MMM.US,D,20000114,000000,35.0835,35.1456,34.453,34.5896,3559621.9896339,0
MMM.US,D,20000118,000000,33.8514,34.5673,33.803,33.803,2961635.5594712,0
MMM.US,D,20000119,000000,34.0317,34.7901,34.0317,34.4132,3680616.5540785,0
MMM.US,D,20000120,000000,34.4966,34.6099,32.9129,33.1153,4347787.5719161,0
MMM.US,D,20000121,000000,33.1619,33.6249,32.9129,33.0485,6290467.0894466,0
MMM.US,D,20000124,000000,33.3624,33.3624,31.9134,32.2901,4160687.0988456,0
MMM.US,D,20000125,000000,33.0243,33.0243,31.4194,31.8175,5169281.7648849,0
MMM.US,D,20000126,000000,33.3827,33.9396,33.1832,33.5387,9832159.0257444,0
MMM.US,D,20000127,000000,33.8321,34.2312,33.4485,33.5154,4081979.4610197,0
MMM.US,D,20000128,000000,33.34,33.3624,32.1119,32.1119,5247983.2081856,0
MMM.US,D,20000131,000000,32.1119,33.899,32.048,32.6029,4597342.2809775,0
MMM.US,D,20000201,000000,32.8683,33.497,32.6475,32.7812,3700223.2589155,0
MMM.US,D,20000202,000000,32.448,32.7318,32.048,32.1971,4095147.9892802,0
MMM.US,D,20000203,000000,32.017,32.0693,31.3332,31.9328,4930365.1205195,0
MMM.US,D,20000204,000000,32.017,32.1767,31.0174,31.0174,4612184.3634764,0
MMM.US,D,20000207,000000,31.0861,31.1258,30.168,30.505,5511262.9203591,0
MMM.US,D,20000208,000000,30.505,31.3981,30.4402,30.5264,4038848.0141251,0
MMM.US,D,20000209,000000,30.8634,30.998,30.4624,30.505,3641688.0925661,0
MMM.US,D,20000210,000000,30.3674,30.3674,29.699,29.9471,5629739.4102898,0
MMM.US,D,20000211,000000,29.7263,30.1243,28.3189,28.8768,6290187.3033895,0
MMM.US,D,20000214,000000,28.9823,29.4976,28.6782,28.8564,4700414.0190324,0
MMM.US,D,20000215,000000,29.1635,31.5327,29.0763,31.0396,5232015.786933,0
MMM.US,D,20000216,000000,30.7694,31.46,30.4818,30.7472,3615638.0490483,0
MMM.US,D,20000217,000000,30.998,31.9976,30.9777,31.1995,4769035.9373305,0
MMM.US,D,20000218,000000,31.2828,31.5754,30.0855,30.4818,4011114.0921603,0
MMM.US,D,20000222,000000,30.5457,31.4842,30.1243,31.3767,4039690.4695591,0
MMM.US,D,20000223,000000,32.017,32.9129,31.8175,32.356,6247053.7916532,0
MMM.US,D,20000224,000000,32.1971,32.2901,31.3981,31.8901,5321926.2236735,0
MMM.US,D,20000225,000000,30.8847,31.3042,29.856,30.0547,5079651.1142016,0
MMM.US,D,20000228,000000,30.4624,31.153,29.7902,30.2852,4308571.0649796,0
MMM.US,D,20000229,000000,29.9054,31.2605,29.6556,30.906,3872759.3707024,0
MMM.US,D,20000301,000000,30.5457,30.7472,29.8105,30.1921,4049498.4678715,0
MMM.US,D,20000302,000000,30.1921,30.7472,30.0343,30.168,3061342.6378945,0
MMM.US,D,20000303,000000,30.7472,33.1619,30.661,31.3767,6415390.0153207,0
MMM.US,D,20000306,000000,31.3042,31.9753,30.5718,30.5718,2874531.2426689,0
MMM.US,D,20000307,000000,30.9244,31.153,28.7412,29.0144,7276094.5207008,0
MMM.US,D,20000308,000000,29.058,29.5209,28.3837,28.9397,6572512.083444,0
MMM.US,D,20000309,000000,28.3189,28.7199,28.2074,28.3615,4562893.4936417,0
MMM.US,D,20000310,000000,28.2481,28.9823,28.1619,28.5639,8054736.0204113,0
MMM.US,D,20000313,000000,27.6941,28.2074,27.6041,27.6941,5304562.9693979,0
MMM.US,D,20000314,000000,27.7628,28.0263,27.5323,27.7339,4420606.2810711,0
MMM.US,D,20000315,000000,27.4045,29.3379,27.4045,28.9194,5937833.4153841,0
MMM.US,D,20000316,000000,29.699,31.2828,29.4134,30.8634,6728800.9879212,0
MMM.US,D,20000317,000000,30.4624,31.2605,30.1059,30.1059,5697245.281622,0
MMM.US,D,20000320,000000,30.1243,30.7694,29.9268,30.4818,3819818.8930746,0
MMM.US,D,20000321,000000,30.4149,32.0693,30.3268,31.6896,5360300.275176,0
MMM.US,D,20000322,000000,31.1995,31.3332,29.7902,30.1486,6168630.0695678,0
MMM.US,D,20000323,000000,29.699,30.5718,29.699,30.4818,6962956.1072112,0
MMM.US,D,20000324,000000,31.5327,32.6669,31.4194,31.8397,8297569.6695766,0
MMM.US,D,20000327,000000,31.8697,32.2252,30.8847,31.061,4557290.5455531,0
MMM.US,D,20000328,000000,30.8392,31.7341,30.7074,31.153,3428261.9196041,0
MMM.US,D,20000329,000000,31.1995,31.1995,30.6183,30.7074,4594542.3555645,0
MMM.US,D,20000330,000000,30.8634,32.1536,30.7074,31.1995,4419489.2016844,0
MMM.US,D,20000331,000000,31.6586,32.2485,31.0396,31.0396,3443945.4251161,0
MMM.US,D,20000403,000000,31.3332,32.3754,31.2828,32.1971,4021207.0386341,0
MMM.US,D,20000404,000000,32.2485,33.497,31.3767,32.5846,6779498.0149878,0
MMM.US,D,20000405,000000,32.5555,33.2248,31.9134,31.9328,4027360.2670492,0
MMM.US,D,20000406,000000,31.9976,33.2461,31.9976,32.7125,2459723.1186728,0
MMM.US,D,20000407,000000,32.8045,33.34,32.1119,32.1119,3502764.5072063,0
MMM.US,D,20000410,000000,32.1971,33.2461,32.1536,32.511,2955757.9874298,0
MMM.US,D,20000411,000000,32.511,34.0123,32.511,33.4485,4134358.3016916,0
MMM.US,D,20000412,000000,34.0966,34.453,33.1619,33.1619,3437506.2161187,0
MMM.US,D,20000413,000000,33.1619,33.7827,32.1536,33.2064,5814878.2836978,0
MMM.US,D,20000414,000000,32.9623,33.0485,30.9448,31.8175,8600899.0523329,0
MMM.US,D,20000417,000000,31.2605,31.7341,30.8634,31.4842,4052293.2311801,0
MMM.US,D,20000418,000000,31.5754,31.5754,30.8392,31.4842,3387928.3332808,0
MMM.US,D,20000419,000000,31.4194,32.1971,31.2392,31.6896,2332002.3322275,0
MMM.US,D,20000420,000000,31.6896,32.356,31.5327,32.3337,2778179.5320894,0
MMM.US,D,20000424,000000,31.9753,34.2148,31.9753,34.1189,4983022.7148275,0
MMM.US,D,20000425,000000,33.6964,33.7625,31.0174,32.8683,12665801.239659,0
MMM.US,D,20000426,000000,32.7628,32.7628,30.6183,31.1762,9742253.7511084,0
MMM.US,D,20000427,000000,31.0174,31.4842,29.9054,30.6386,6771374.9275433,0
MMM.US,D,20000428,000000,30.6386,30.6842,30.1486,30.348,4127077.6696812,0
MMM.US,D,20000501,000000,30.3674,31.0396,29.8105,30.4624,4868466.3269593,0
MMM.US,D,20000502,000000,30.1486,30.6842,30.011,30.4624,3443945.4251161,0
MMM.US,D,20000503,000000,30.4624,30.9244,29.9054,30.0855,3424339.7527,0
MMM.US,D,20000504,000000,30.2114,30.7258,29.699,29.9471,3873881.6121935,0
MMM.US,D,20000505,000000,29.856,30.5718,29.7263,30.3674,3327991.1393831,0
MMM.US,D,20000508,000000,30.7472,30.7472,29.9703,30.5912,2464762.3649636,0
MMM.US,D,20000509,000000,30.4818,30.7966,29.9703,30.1486,2729724.9231633,0
MMM.US,D,20000510,000000,30.2338,30.3064,29.7263,30.1243,2798623.530256,0
MMM.US,D,20000511,000000,30.2338,30.4402,29.9896,30.1243,3287378.7994235,0
MMM.US,D,20000512,000000,29.8764,30.1486,29.611,29.7485,2574555.1629146,0
MMM.US,D,20000515,000000,29.9268,30.4624,29.9054,30.1243,3690143.7339129,0
MMM.US,D,20000516,000000,30.2114,31.9976,29.9896,31.5511,5673715.3774602,0
MMM.US,D,20000517,000000,31.1762,31.4398,30.906,31.0396,3071151.6686277,0
MMM.US,D,20000518,000000,31.1065,31.2605,30.6842,30.7074,2240136.4903498,0
MMM.US,D,20000519,000000,30.3907,30.5457,29.547,29.8105,3850346.5459273,0
MMM.US,D,20000522,000000,29.9054,30.1059,29.4134,29.699,3597150.4884398,0
MMM.US,D,20000523,000000,29.699,29.8764,29.3688,29.6759,2140422.1849803,0
MMM.US,D,20000524,000000,29.9896,31.3042,29.9896,31.1065,4538806.0822073,0
MMM.US,D,20000525,000000,30.7966,31.1258,29.6322,29.9703,3519006.5524116,0
MMM.US,D,20000526,000000,30.0343,30.4624,29.6322,29.6322,2499212.1847203,0
MMM.US,D,20000530,000000,29.856,30.5264,29.7902,30.011,2203162.4015537,0
MMM.US,D,20000531,000000,30.3674,30.7966,30.2338,30.2338,2992724.8492798,0
MMM.US,D,20000601,000000,30.348,30.348,29.7678,29.9471,2848482.231572,0
MMM.US,D,20000602,000000,30.505,30.5912,29.6322,29.7485,4665688.5429021,0
MMM.US,D,20000605,000000,29.856,30.011,29.6759,30.011,3787611.4914584,0
MMM.US,D,20000606,000000,29.9896,29.9896,28.9397,29.0346,4396244.2456839,0
MMM.US,D,20000607,000000,29.0346,29.3379,28.7412,28.8342,4448617.9242514,0
MMM.US,D,20000608,000000,28.8971,28.9194,28.3615,28.8342,3477553.8218598,0
MMM.US,D,20000609,000000,28.8971,28.9823,28.6249,28.8971,3005610.4942206,0
MMM.US,D,20000612,000000,28.9194,29.5704,28.8768,28.9194,2830836.0939767,0
MMM.US,D,20000613,000000,28.7829,29.394,28.7829,28.8768,3012614.4374366,0
