<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MO.US,D,20000103,000000,2.61808,2.6648,2.58161,2.60252,61679743.804022,0
MO.US,D,20000104,000000,2.59188,2.70068,2.59188,2.62834,87996297.332934,0
MO.US,D,20000105,000000,2.64935,2.68005,2.60252,2.61299,97675035.890455,0
MO.US,D,20000106,000000,2.61299,2.63362,2.56128,2.56655,59727461.96215,0
MO.US,D,20000107,000000,2.59188,2.64935,2.57653,2.63362,66568797.916282,0
MO.US,D,20000110,000000,2.64388,2.68005,2.64388,2.6695,64391055.397836,0
MO.US,D,20000111,000000,2.68543,2.73705,2.68005,2.68543,62220831.70946,0
MO.US,D,20000112,000000,2.70068,2.73196,2.6695,2.70068,80240606.397068,0
MO.US,D,20000113,000000,2.72669,2.73196,2.70068,2.72669,52304946.708419,0
MO.US,D,20000114,000000,2.73196,2.73705,2.64388,2.70068,65242772.917751,0
MO.US,D,20000118,000000,2.68005,2.69569,2.56128,2.56128,66790082.275683,0
MO.US,D,20000119,000000,2.57653,2.61299,2.56128,2.60252,72906614.058943,0
MO.US,D,20000120,000000,2.60252,2.60252,2.45267,2.51436,83315997.586298,0
MO.US,D,20000121,000000,2.46811,2.50927,2.42647,2.447,116705196.88293,0
MO.US,D,20000124,000000,2.53,2.56128,2.43165,2.447,128127452.49414,0
MO.US,D,20000125,000000,2.447,2.54582,2.37984,2.4422,92243215.841649,0
MO.US,D,20000126,000000,2.4164,2.42647,2.31796,2.34386,158397006.43952,0
MO.US,D,20000127,000000,2.39557,2.43165,2.31268,2.3335,123037997.69286,0
MO.US,D,20000128,000000,2.34885,2.37456,2.30749,2.30749,100380497.30501,0
MO.US,D,20000131,000000,2.32822,2.34885,2.31796,2.31796,96819965.43509,0
MO.US,D,20000201,000000,2.34885,2.34885,2.30749,2.3335,111072956.34225,0
MO.US,D,20000202,000000,2.32822,2.34885,2.29185,2.29713,116345290.47791,0
MO.US,D,20000203,000000,2.32822,2.38502,2.31796,2.3335,167156386.14738,0
MO.US,D,20000204,000000,2.34885,2.34885,2.26615,2.29713,139244109.45744,0
MO.US,D,20000207,000000,2.31796,2.32822,2.26615,2.29185,106485356.87064,0
MO.US,D,20000208,000000,2.2506,2.26106,2.12654,2.17308,222562613.66784,0
MO.US,D,20000209,000000,2.16281,2.22489,2.16281,2.18344,153428623.14606,0
MO.US,D,20000210,000000,2.22489,2.26106,2.20935,2.20935,127367586.85341,0
MO.US,D,20000211,000000,2.21434,2.24043,2.11628,2.11628,128305314.41128,0
MO.US,D,20000214,000000,2.14717,2.16281,2.09047,2.1111,176387545.86465,0
MO.US,D,20000215,000000,2.11628,2.12654,2.08001,2.12654,127073652.08507,0
MO.US,D,20000216,000000,2.11628,2.14199,2.09555,2.1111,115232212.83826,0
MO.US,D,20000217,000000,2.20935,2.22489,2.14717,2.17308,134107039.22064,0
MO.US,D,20000218,000000,2.17308,2.20935,2.15772,2.18344,92866981.694711,0
MO.US,D,20000222,000000,2.21434,2.3594,2.20935,2.31796,142027233.48688,0
MO.US,D,20000223,000000,2.36468,2.41112,2.2457,2.26106,123558209.2237,0
MO.US,D,20000224,000000,2.28169,2.29185,2.19879,2.22998,101018461.80266,0
MO.US,D,20000225,000000,2.24043,2.2457,2.18344,2.18344,95864708.184535,0
MO.US,D,20000228,000000,2.20935,2.26106,2.20935,2.22998,90888802.934243,0
MO.US,D,20000229,000000,2.22998,2.27651,2.22998,2.2457,112935052.87123,0
MO.US,D,20000301,000000,2.2457,2.39557,2.18344,2.27651,181259073.411,0
MO.US,D,20000302,000000,2.27651,2.31268,2.22489,2.24043,93231883.629595,0
MO.US,D,20000303,000000,2.22489,2.29713,2.19879,2.26106,111548925.17588,0
MO.US,D,20000306,000000,2.30749,2.31796,2.17807,2.20935,108946165.51867,0
MO.US,D,20000307,000000,2.20935,2.22489,2.17308,2.17807,100285309.16646,0
MO.US,D,20000308,000000,2.18344,2.19879,2.13163,2.14199,98616936.638745,0
MO.US,D,20000309,000000,2.14199,2.17308,2.12654,2.17308,72974255.388682,0
MO.US,D,20000310,000000,2.15772,2.16281,2.11628,2.11628,90584032.879324,0
MO.US,D,20000313,000000,2.14199,2.22489,2.12654,2.20935,91134302.01211,0
MO.US,D,20000314,000000,2.20935,2.20935,2.14199,2.16281,100065696.58463,0
MO.US,D,20000315,000000,2.14717,2.26615,2.14199,2.24043,109148239.02752,0
MO.US,D,20000316,000000,2.29713,2.3335,2.29185,2.30749,110665463.68488,0
MO.US,D,20000317,000000,2.31796,2.31796,2.22489,2.30749,135443927.64666,0
MO.US,D,20000320,000000,2.26615,2.30749,2.26106,2.27651,117228750.92666,0
MO.US,D,20000321,000000,2.22489,2.52491,2.16281,2.31268,288004945.13229,0
MO.US,D,20000322,000000,2.31268,2.34386,2.19879,2.21434,134255673.17111,0
MO.US,D,20000323,000000,2.22489,2.2457,2.19879,2.22489,115565387.47814,0
MO.US,D,20000324,000000,2.22998,2.26615,2.22489,2.26106,86078248.367922,0
MO.US,D,20000327,000000,2.26106,2.26615,2.22489,2.24043,74522378.748039,0
MO.US,D,20000328,000000,2.22489,2.2506,2.19879,2.22998,103988634.18789,0
MO.US,D,20000329,000000,2.22998,2.24043,2.17807,2.17807,97591531.434342,0
MO.US,D,20000330,000000,2.28169,2.45267,2.2506,2.447,229302900.88161,0
MO.US,D,20000331,000000,2.4991,2.51436,2.36468,2.36468,127207256.71344,0
MO.US,D,20000403,000000,2.47799,2.61808,2.447,2.59706,141454407.86389,0
MO.US,D,20000404,000000,2.61808,2.71105,2.4164,2.53,147130889.01726,0
MO.US,D,20000405,000000,2.51436,2.57653,2.50927,2.55081,83651675.723519,0
MO.US,D,20000406,000000,2.59706,2.68543,2.56655,2.61299,136721501.32088,0
MO.US,D,20000407,000000,2.64935,2.69569,2.4991,2.56655,204748243.53718,0
MO.US,D,20000410,000000,2.50927,2.53517,2.39557,2.50927,122065187.82001,0
MO.US,D,20000411,000000,2.47799,2.4991,2.447,2.47799,63335584.253449,0
MO.US,D,20000412,000000,2.49383,2.58161,2.46811,2.49383,75439227.846819,0
MO.US,D,20000413,000000,2.50927,2.57653,2.48356,2.54582,62825389.838739,0
MO.US,D,20000414,000000,2.49383,2.57653,2.38502,2.41112,103328135.08738,0
MO.US,D,20000417,000000,2.39557,2.43165,2.31796,2.42647,101906089.18828,0
MO.US,D,20000418,000000,2.4164,2.4422,2.32822,2.3594,69083874.715695,0
MO.US,D,20000419,000000,2.41112,2.4422,2.34386,2.37456,57206525.603179,0
MO.US,D,20000420,000000,2.37456,2.45267,2.37456,2.4422,53486503.651103,0
MO.US,D,20000424,000000,2.42647,2.50927,2.41112,2.45267,84672066.63745,0
MO.US,D,20000425,000000,2.4164,2.54582,2.40038,2.50927,128559167.16575,0
MO.US,D,20000426,000000,2.50927,2.56128,2.48356,2.54582,80882734.704827,0
MO.US,D,20000427,000000,2.51436,2.54582,2.49383,2.50927,105636966.22979,0
MO.US,D,20000428,000000,2.50927,2.51436,2.4164,2.49383,95384570.32951,0
MO.US,D,20000501,000000,2.50927,2.69569,2.50927,2.68543,109063064.87834,0
MO.US,D,20000502,000000,2.68543,2.79903,2.68005,2.71652,122171246.68183,0
MO.US,D,20000503,000000,2.73196,2.79903,2.64935,2.64935,103695541.56187,0
MO.US,D,20000504,000000,2.68005,2.71105,2.63362,2.65932,54298143.326176,0
MO.US,D,20000505,000000,2.65932,2.72669,2.61808,2.68005,68471802.967622,0
MO.US,D,20000508,000000,2.70068,2.76803,2.68543,2.75259,99153855.522797,0
MO.US,D,20000509,000000,2.76803,2.77811,2.68005,2.69569,56361484.771014,0
MO.US,D,20000510,000000,2.70068,2.76314,2.69569,2.71105,87635563.37718,0
MO.US,D,20000511,000000,2.73705,2.73705,2.59706,2.68005,118794412.31674,0
MO.US,D,20000512,000000,2.61808,2.79404,2.61808,2.76803,81347853.660306,0
