<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRK.US,D,20000103,000000,42.6149,42.6149,41.3134,42.0205,9461681.5894772,0
MRK.US,D,20000104,000000,41.6289,42.1418,40.2018,40.5175,11921418.803959,0
MRK.US,D,20000105,000000,40.4044,42.7719,40.4044,42.1418,12024605.507307,0
MRK.US,D,20000106,000000,42.1418,42.9685,42.0601,42.4583,7533671.9071955,0
MRK.US,D,20000107,000000,43.3599,46.7614,43.247,46.5653,16416145.603896,0
MRK.US,D,20000110,000000,46.4459,46.4828,44.789,45.1815,9062886.7506099,0
MRK.US,D,20000111,000000,44.7447,45.7777,44.3531,45.338,7949564.775245,0
MRK.US,D,20000112,000000,45.7352,46.7208,45.6137,46.2488,7897499.2992973,0
MRK.US,D,20000113,000000,46.4828,47.2734,45.8489,46.4459,8472123.1570795,0
MRK.US,D,20000114,000000,46.7614,47.1513,45.1419,46.0542,8767578.9595947,0
MRK.US,D,20000118,000000,45.4204,45.6924,43.842,43.9911,8386984.1333398,0
MRK.US,D,20000119,000000,44.5503,45.1419,44.2697,44.4298,7535416.7142932,0
MRK.US,D,20000120,000000,44.6696,45.4599,44.3891,45.3009,7891010.5615702,0
MRK.US,D,20000121,000000,46.2857,46.2857,44.4715,44.9834,12547793.748298,0
MRK.US,D,20000124,000000,45.338,45.338,42.8924,43.6413,8211945.9495925,0
MRK.US,D,20000125,000000,44.1921,44.7065,43.8794,44.0384,8618661.0242701,0
MRK.US,D,20000126,000000,44.1134,45.338,43.8794,45.2175,8478451.9991716,0
MRK.US,D,20000127,000000,45.4204,46.8364,45.338,46.0542,12260243.056329,0
MRK.US,D,20000128,000000,46.8808,48.7312,46.7614,47.4297,15545275.108432,0
MRK.US,D,20000131,000000,47.0004,49.0486,46.3246,48.8524,12670280.286937,0
MRK.US,D,20000201,000000,48.0621,48.4185,46.8808,47.7093,7954470.762261,0
MRK.US,D,20000202,000000,48.0221,48.6942,47.1513,47.7428,7347246.5613364,0
MRK.US,D,20000203,000000,47.3919,47.6306,46.7978,47.3557,6130749.7667578,0
MRK.US,D,20000204,000000,47.7428,47.7428,46.5653,46.6405,6744935.9100591,0
MRK.US,D,20000207,000000,46.1303,46.8364,45.8137,46.7614,6599506.5085542,0
MRK.US,D,20000208,000000,46.8808,47.1143,46.6405,46.8364,6233938.6308582,0
MRK.US,D,20000209,000000,46.0542,46.0906,44.0384,44.3531,10962725.630989,0
MRK.US,D,20000210,000000,43.4805,43.6413,42.2149,42.848,11108629.317519,0
MRK.US,D,20000211,000000,42.0205,42.2981,39.9296,40.5175,14580558.839752,0
MRK.US,D,20000214,000000,40.6812,41.2709,39.7714,41.0338,14136973.776327,0
MRK.US,D,20000215,000000,40.8341,41.3892,40.4414,40.7561,10092007.468527,0
MRK.US,D,20000216,000000,40.6812,41.7411,40.5175,40.6812,8130135.5640375,0
MRK.US,D,20000217,000000,41.2318,41.4263,39.217,39.2993,10977913.555559,0
MRK.US,D,20000218,000000,39.4188,39.9687,38.2311,38.5071,10471813.620366,0
MRK.US,D,20000222,000000,38.8254,40.6812,38.3846,40.6812,14558406.812054,0
MRK.US,D,20000223,000000,40.9985,40.9985,39.217,39.217,12230645.077846,0
MRK.US,D,20000224,000000,39.3343,39.3343,37.6739,38.5071,14348559.9968,0
MRK.US,D,20000225,000000,37.9137,38.1914,36.7686,37.4,12187600.740763,0
