<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRSH.US,D,20000103,000000,32.912,32.9555,32.4569,32.9364,2906920,0
MRSH.US,D,20000104,000000,32.7397,33.2379,30.9064,31.4501,5739237,0
MRSH.US,D,20000105,000000,31.4501,31.6505,29.9962,30.3214,5015188,0
MRSH.US,D,20000106,000000,30.8113,32.4731,30.2802,32.358,2464119,0
MRSH.US,D,20000107,000000,32.3355,33.5223,31.985,33.3887,2139399,0
MRSH.US,D,20000110,000000,33.4763,33.8503,32.7754,33.5223,3582658,0
MRSH.US,D,20000111,000000,33.3433,33.9417,33.3199,33.8277,2218298,0
MRSH.US,D,20000112,000000,33.9558,34.0876,33.0845,33.5449,3769170,0
MRSH.US,D,20000113,000000,33.6093,34.2676,33.5223,34.1347,3692694,0
MRSH.US,D,20000114,000000,34.3071,36.6725,34.3071,36.3616,3735091,0
MRSH.US,D,20000118,000000,36.2789,36.2789,35.1388,35.7259,2186363,0
MRSH.US,D,20000119,000000,35.6477,36.5426,35.6233,36.0123,3949514,0
MRSH.US,D,20000120,000000,36.1009,36.2789,34.7442,35.3773,3353212,0
MRSH.US,D,20000121,000000,36.0566,36.0566,35.026,35.5326,2813262,0
MRSH.US,D,20000124,000000,35.7955,36.1225,35.6233,35.818,2025883,0
MRSH.US,D,20000125,000000,35.7259,35.7955,35.0486,35.3313,2415544,0
MRSH.US,D,20000126,000000,35.3538,35.7043,34.8789,35.2737,2202463,0
MRSH.US,D,20000127,000000,35.5326,35.6636,34.0209,35.2737,3437206,0
MRSH.US,D,20000128,000000,33.6093,33.997,33.1275,33.6093,4425861,0
MRSH.US,D,20000131,000000,33.1692,33.1919,31.3322,32.912,3760856,0
MRSH.US,D,20000201,000000,32.8893,34.7442,32.6426,34.1546,2902627,0
MRSH.US,D,20000202,000000,34.1546,34.5462,32.8189,33.1493,3230027,0
MRSH.US,D,20000203,000000,33.3887,33.8277,33.0845,33.8277,2278680,0
MRSH.US,D,20000204,000000,33.3887,33.997,33.0845,33.8503,1434407,0
MRSH.US,D,20000207,000000,33.5449,33.5449,32.6879,33.3199,1940810,0
MRSH.US,D,20000208,000000,33.4763,33.997,33.06,33.2606,1869426,0
MRSH.US,D,20000209,000000,33.2975,33.3199,31.2408,32.1914,2642580,0
MRSH.US,D,20000210,000000,32.0529,32.0529,29.5358,30.5597,3640361,0
MRSH.US,D,20000211,000000,30.7414,30.7414,29.1843,29.5584,3041906,0
MRSH.US,D,20000214,000000,29.5584,29.7129,28.9016,29.1843,2423334,0
MRSH.US,D,20000215,000000,29.1702,29.8835,28.6436,29.5798,2941271,0
MRSH.US,D,20000216,000000,29.5358,30.0869,28.9016,28.9678,1906456,0
MRSH.US,D,20000217,000000,29.5798,30.1555,28.9678,30.1555,2753146,0
MRSH.US,D,20000218,000000,30.1555,30.3214,28.7529,29.0129,2686858,0
MRSH.US,D,20000222,000000,28.7972,29.3634,28.0737,28.5041,2083579,0
MRSH.US,D,20000223,000000,28.7039,28.7039,28.0079,28.3573,1758591,0
MRSH.US,D,20000224,000000,28.5268,28.7039,27.4775,27.9408,2337988,0
MRSH.US,D,20000225,000000,28.0247,28.4911,26.5156,27.1722,2652511,0
MRSH.US,D,20000228,000000,27.3493,27.612,26.7623,27.046,3516107,0
MRSH.US,D,20000229,000000,26.1641,27.2174,26.1641,27.0901,5081203,0
MRSH.US,D,20000301,000000,26.8668,27.499,26.7161,27.3268,2315713,0
MRSH.US,D,20000302,000000,27.6546,28.2208,27.3047,28.0079,2631307,0
MRSH.US,D,20000303,000000,27.9408,28.4004,27.567,27.8703,1943759,0
MRSH.US,D,20000306,000000,27.8703,27.8703,27.1487,27.3047,1232329,0
MRSH.US,D,20000307,000000,27.8268,27.8703,25.7347,25.7563,2059154,0
MRSH.US,D,20000308,000000,25.8138,26.121,25.0095,25.643,1841785,0
MRSH.US,D,20000309,000000,25.5567,26.345,24.6823,25.5567,2080895,0
MRSH.US,D,20000310,000000,25.643,26.494,25.5357,26.1086,1420721,0
MRSH.US,D,20000313,000000,25.5989,26.8668,25.5102,26.494,1912635,0
MRSH.US,D,20000314,000000,27.1279,27.9408,27.1279,27.8703,4977886,0
MRSH.US,D,20000315,000000,29.3208,32.2101,29.1843,31.7035,5715080,0
MRSH.US,D,20000316,000000,31.8586,34.9834,31.4168,34.8545,5404049,0
MRSH.US,D,20000317,000000,33.9558,34.0434,32.989,33.0354,4268867,0
MRSH.US,D,20000320,000000,32.6879,33.0354,31.5319,32.2348,1924975,0
MRSH.US,D,20000321,000000,31.7242,33.0107,31.6374,32.7754,2264723,0
MRSH.US,D,20000322,000000,32.3825,33.2153,32.358,33.2153,2236546,0
MRSH.US,D,20000323,000000,32.8659,33.9417,32.5372,33.9417,1992869,0
MRSH.US,D,20000324,000000,33.6093,34.2193,33.108,33.6093,2632656,0
MRSH.US,D,20000327,000000,33.6268,33.6268,31.9435,32.3825,1813070,0
MRSH.US,D,20000328,000000,32.2101,33.8719,32.0753,33.1275,2753146,0
MRSH.US,D,20000329,000000,33.1275,33.4339,32.4938,32.8659,1628972,0
MRSH.US,D,20000330,000000,32.8893,36.5831,32.7754,36.2789,6192504,0
MRSH.US,D,20000331,000000,36.2346,38.7442,35.2737,38.6191,6218263,0
MRSH.US,D,20000403,000000,37.3688,37.4114,36.7121,37.1736,6800080,0
MRSH.US,D,20000404,000000,36.7564,37.2604,35.7955,36.7564,6695682,0
MRSH.US,D,20000405,000000,35.8842,36.1893,35.2737,35.4904,4303753,0
MRSH.US,D,20000406,000000,35.8257,37.0128,35.8023,36.8743,2943415,0
MRSH.US,D,20000407,000000,36.57,36.6142,35.0788,35.2737,1929003,0
MRSH.US,D,20000410,000000,35.2069,35.8717,34.7224,35.6477,2817288,0
MRSH.US,D,20000411,000000,35.6477,36.2422,35.3171,35.7325,3428890,0
MRSH.US,D,20000412,000000,35.757,37.1898,35.757,36.1979,2682295,0
MRSH.US,D,20000413,000000,35.8717,36.2422,35.1843,35.9716,1807167,0
MRSH.US,D,20000414,000000,35.3378,35.3378,33.2765,33.6268,2840363,0
MRSH.US,D,20000417,000000,33.6034,33.6034,32.1282,32.2847,2729261,0
MRSH.US,D,20000418,000000,32.3286,33.5376,32.3052,33.3812,3458680,0
MRSH.US,D,20000419,000000,33.6695,33.7167,32.7452,33.0993,1164699,0
MRSH.US,D,20000420,000000,33.4904,34.1987,33.3199,33.997,1078015,0
MRSH.US,D,20000424,000000,33.9756,34.4625,33.3199,33.9078,1229112,0
MRSH.US,D,20000425,000000,34.2827,36.5031,34.1546,35.8717,2332352,0
MRSH.US,D,20000426,000000,35.7788,35.7788,34.9893,35.1614,1595695,0
MRSH.US,D,20000427,000000,34.4625,35.4754,34.1546,35.3171,1730952,0
MRSH.US,D,20000428,000000,35.0788,35.4754,34.0209,34.6632,1246283,0
MRSH.US,D,20000501,000000,34.5059,36.5031,34.5059,36.2422,2824796,0
MRSH.US,D,20000502,000000,36.0415,36.3325,34.9667,35.9124,1343162,0
MRSH.US,D,20000503,000000,35.6909,35.6909,34.2193,34.3286,817972,0
MRSH.US,D,20000504,000000,34.3704,35.1153,34.2193,34.9014,1541750,0
MRSH.US,D,20000505,000000,34.7224,34.8084,34.3704,34.5708,782551,0
MRSH.US,D,20000508,000000,34.5708,35.3378,34.3286,35.1614,1014956,0
MRSH.US,D,20000509,000000,35.0788,35.1388,34.1546,34.4381,853667,0
MRSH.US,D,20000510,000000,34.3911,34.7661,33.2765,33.4046,1784085,0
MRSH.US,D,20000511,000000,33.7607,34.2593,33.5593,34.1783,2073918,0
MRSH.US,D,20000512,000000,34.0876,34.1112,33.5809,33.7815,1594887,0
MRSH.US,D,20000515,000000,33.8201,37.268,33.7167,37.268,2517524,0
MRSH.US,D,20000516,000000,37.3622,38.4618,37.2925,37.8678,2941271,0
MRSH.US,D,20000517,000000,37.5402,37.9753,37.0128,37.6731,2080895,0
MRSH.US,D,20000518,000000,37.3622,38.5096,37.3622,37.7531,1516255,0
MRSH.US,D,20000519,000000,37.449,37.5402,36.309,36.7254,1550606,0
MRSH.US,D,20000522,000000,36.8743,37.5168,36.458,37.3622,1529407,0
MRSH.US,D,20000523,000000,36.8298,37.3622,36.57,36.8959,1355236,0
MRSH.US,D,20000524,000000,36.8959,38.5464,36.8743,37.7106,2036350,0
MRSH.US,D,20000525,000000,38.0689,39.1634,37.0993,37.8678,3249621,0
MRSH.US,D,20000526,000000,37.8678,38.3287,37.2312,37.9331,1428502,0
MRSH.US,D,20000530,000000,38.3287,39.1634,37.9556,39.0523,1721555,0
MRSH.US,D,20000531,000000,39.0305,39.5571,38.1725,38.7018,2464657,0
MRSH.US,D,20000601,000000,38.1499,38.5293,37.7768,38.3052,3105244,0
MRSH.US,D,20000602,000000,38.6762,39.2972,38.6762,38.9675,3126439,0
MRSH.US,D,20000605,000000,38.879,38.879,37.449,37.7106,1345842,0
MRSH.US,D,20000606,000000,37.449,37.6516,36.0415,36.4333,1883111,0
MRSH.US,D,20000607,000000,36.4333,37.2463,36.2647,36.8959,2253724,0
MRSH.US,D,20000608,000000,36.8959,37.0541,35.7099,36.1743,1544972,0
MRSH.US,D,20000609,000000,36.2647,36.3929,35.4067,35.497,1118278,0
MRSH.US,D,20000612,000000,35.6909,35.8257,35.3378,35.3378,1012000,0
MRSH.US,D,20000613,000000,35.3378,36.4796,35.0561,36.2647,1909143,0
MRSH.US,D,20000614,000000,36.2422,38.3287,36.1979,38.1499,2254259,0
MRSH.US,D,20000615,000000,38.2392,38.2392,37.0307,38.0463,2171869,0
