<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEM.US,D,20000103,000000,18.3542,19.014,18.156,18.3978,1164760.485823918,0
NEM.US,D,20000104,000000,17.7759,18.0659,16.966,17.0135,2290993.5717567815,0
NEM.US,D,20000105,000000,17.2021,17.7283,17.2021,17.2021,1515899.3180051204,0
NEM.US,D,20000106,000000,16.8645,17.1054,16.7707,17.0135,2168467.943007933,0
NEM.US,D,20000107,000000,17.2021,17.3462,16.2482,16.3905,1963492.5827595901,0
NEM.US,D,20000110,000000,16.435,16.5859,16.2985,16.3421,1570613.5804675238,0
NEM.US,D,20000111,000000,16.5298,17.3018,16.435,17.3018,2049154.050769097,0
NEM.US,D,20000112,000000,16.966,17.059,16.6768,16.911,2819369.1940196403,0
NEM.US,D,20000113,000000,16.911,16.911,16.2482,16.3421,5089301.961253247,0
NEM.US,D,20000114,000000,16.3421,16.3905,15.6747,15.9164,4457797.2419032045,0
NEM.US,D,20000118,000000,16.1022,16.911,16.0084,16.911,3964991.5756450794,0
NEM.US,D,20000119,000000,16.911,16.966,16.4815,16.7253,2259400.2975524245,0
NEM.US,D,20000120,000000,16.195,16.2482,15.8129,16.1022,2457317.48693177,0
NEM.US,D,20000121,000000,16.0084,16.3421,15.9164,16.195,1745789.153104511,0
NEM.US,D,20000124,000000,15.4772,15.8129,15.3834,15.6747,1592574.746271744,0
NEM.US,D,20000125,000000,15.6747,15.6747,14.6231,14.8098,1904024.2886881675,0
NEM.US,D,20000126,000000,15.246,15.246,14.8658,15.0042,1304622.4624994583,0
NEM.US,D,20000127,000000,15.3834,16.3905,15.0951,16.3905,2252592.284467623,0
NEM.US,D,20000128,000000,16.3905,16.5859,15.0951,15.3389,1866780.7564331382,0
NEM.US,D,20000131,000000,15.4772,15.6747,15.3389,15.5799,1174522.8416655464,0
NEM.US,D,20000201,000000,15.3834,15.3834,15.0042,15.1996,1189167.4091377866,0
NEM.US,D,20000202,000000,15.5799,16.1497,15.5247,15.96,2138417.9976124824,0
NEM.US,D,20000203,000000,15.9164,16.3421,15.5247,16.2482,2285473.5611475,0
NEM.US,D,20000204,000000,17.1528,18.8255,17.0135,18.3542,6666722.521095775,0
NEM.US,D,20000207,000000,19.4513,19.4513,17.3018,17.3946,6334209.073026683,0
NEM.US,D,20000208,000000,17.3018,17.3018,16.8181,16.8181,1943963.7362370414,0
NEM.US,D,20000209,000000,17.9151,18.6339,17.7283,18.2508,3288279.623340571,0
NEM.US,D,20000210,000000,18.4936,19.2104,17.8687,18.8255,3343634.7859112397,0
NEM.US,D,20000211,000000,18.4936,18.7344,18.0659,18.2992,1979417.9167383614,0
NEM.US,D,20000214,000000,18.2508,18.2508,17.5823,17.7283,1873585.668388344,0
NEM.US,D,20000215,000000,17.4411,18.4936,16.966,18.3542,2229986.083715846,0
NEM.US,D,20000216,000000,18.688,18.8728,17.7283,18.5409,1765447.213358652,0
NEM.US,D,20000217,000000,18.6339,18.7344,17.5823,17.6364,1455921.40497662,0
NEM.US,D,20000218,000000,18.0659,18.8728,17.9151,18.7344,1887971.8083976018,0
NEM.US,D,20000222,000000,18.5409,19.8315,18.2508,19.1601,2909657.547326271,0
NEM.US,D,20000223,000000,18.7344,18.8255,17.7759,17.7759,2184395.344406502,0
NEM.US,D,20000224,000000,17.8687,18.0146,17.4876,17.7283,2045943.3479689837,0
NEM.US,D,20000225,000000,17.2021,17.2476,16.8645,17.059,1286514.9670232122,0
NEM.US,D,20000228,000000,17.1528,17.6364,16.8645,16.911,1616848.321014627,0
NEM.US,D,20000229,000000,17.1054,17.3462,16.7253,16.911,1259801.8370297702,0
NEM.US,D,20000301,000000,16.8645,17.3018,16.8645,17.3018,875529.5029648286,0
NEM.US,D,20000302,000000,16.8181,17.059,16.195,16.5298,1581529.5565038882,0
NEM.US,D,20000303,000000,16.5056,16.9912,16.4138,16.5056,982517.4389293494,0
NEM.US,D,20000306,000000,16.5056,17.0358,16.4572,16.8393,596185.9548393746,0
NEM.US,D,20000307,000000,17.1286,19.043,17.1286,18.7112,3312166.590598879,0
NEM.US,D,20000308,000000,18.1792,18.896,17.7497,17.8464,2325544.2898475616,0
NEM.US,D,20000309,000000,17.9924,18.5187,17.947,18.3756,1427149.1249581045,0
NEM.US,D,20000310,000000,17.9924,18.2276,17.6586,17.7981,1347135.847579573,0
NEM.US,D,20000313,000000,18.0892,18.6184,17.9924,18.1309,1155647.2997694425,0
NEM.US,D,20000314,000000,18.3756,18.6184,17.9924,18.6184,1165277.340749883,0
NEM.US,D,20000315,000000,18.5633,18.7112,18.0892,18.2827,834559.4466935795,0
NEM.US,D,20000316,000000,18.1792,18.1792,17.2234,17.4178,1832099.7909010693,0
NEM.US,D,20000317,000000,17.5088,17.8464,17.085,17.4643,1804616.5470677696,0
NEM.US,D,20000320,000000,17.5571,17.8464,17.4178,17.6113,1436272.648111164,0
NEM.US,D,20000321,000000,17.6113,18.6184,17.5088,18.4704,2214963.1784377154,0
NEM.US,D,20000322,000000,17.8939,18.0892,17.7981,17.8464,1676567.806580145,0
NEM.US,D,20000323,000000,17.6113,17.7041,17.324,17.6113,1401848.0426223811,0
NEM.US,D,20000324,000000,17.6113,18.2276,17.6113,17.8939,1202908.514199386,0
NEM.US,D,20000327,000000,17.6586,17.7041,17.2234,17.3696,1542356.0879552765,0
NEM.US,D,20000328,000000,17.4643,17.5088,17.2698,17.324,1389907.6601227717,0
NEM.US,D,20000329,000000,17.324,17.947,16.8858,17.085,2364070.6560289194,0
NEM.US,D,20000330,000000,17.085,17.4643,17.085,17.1286,1175550.3492583865,0
NEM.US,D,20000331,000000,17.085,17.6586,17.085,17.1779,1379760.7642162652,0
NEM.US,D,20000403,000000,17.1286,17.4178,16.9322,17.1779,1365888.378003478,0
NEM.US,D,20000404,000000,17.0358,18.6184,16.8393,17.9924,3025503.3430120116,0
NEM.US,D,20000405,000000,17.9924,18.1792,17.5088,18.0892,1406604.1416509962,0
NEM.US,D,20000406,000000,17.8939,17.947,17.4643,17.6586,705227.8722796772,0
NEM.US,D,20000407,000000,17.6586,17.9924,17.4178,17.7497,918554.5744217075,0
