<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NKE.US,D,20000103,000000,5.19048,5.21606,5.02389,5.06365,9199858.0711676,0
NKE.US,D,20000104,000000,4.94574,4.97906,4.77658,4.78719,11261515.685397,0
NKE.US,D,20000105,000000,4.81584,5.09171,4.81584,5.06365,7510124.2783396,0
NKE.US,D,20000106,000000,5.03905,5.03905,4.90003,5.03905,5614681.2461839,0
NKE.US,D,20000107,000000,5.02012,5.05274,4.94574,5.03905,4584315.8185754,0
NKE.US,D,20000110,000000,5.06365,5.14894,5.05274,5.12275,4530133.1906636,0
NKE.US,D,20000111,000000,5.19663,5.49907,5.18373,5.37938,12599512.666548,0
NKE.US,D,20000112,000000,5.35518,5.3665,5.16994,5.19663,11537013.206325,0
NKE.US,D,20000113,000000,5.16103,5.30789,5.09795,5.26178,5905792.4883401,0
NKE.US,D,20000114,000000,5.32742,5.4602,5.30095,5.4005,8816910.9605596,0
NKE.US,D,20000118,000000,5.34001,5.43343,5.26802,5.32742,9591971.9276245,0
NKE.US,D,20000119,000000,5.44483,5.63067,5.41429,5.55808,11822605.240557,0
NKE.US,D,20000120,000000,5.60349,5.61688,5.39456,5.4249,5858038.6838372,0
NKE.US,D,20000121,000000,5.4249,5.4249,5.31424,5.33585,11784040.367647,0
NKE.US,D,20000124,000000,5.2227,5.28746,5.18373,5.22915,6581685.198717,0
NKE.US,D,20000125,000000,5.21606,5.27506,5.10282,5.14248,4388705.1263248,0
NKE.US,D,20000126,000000,4.85411,5.2356,4.85411,5.20872,14792499.798042,0
NKE.US,D,20000127,000000,5.05274,5.11798,4.8806,4.97282,7236462.1234689,0
NKE.US,D,20000128,000000,4.94574,4.94574,4.84162,4.93256,4081982.1798245,0
NKE.US,D,20000131,000000,4.84162,4.86047,4.78045,4.78719,5311629.0317947,0
NKE.US,D,20000201,000000,4.78045,4.95943,4.76061,4.91302,6854431.6874458,0
NKE.US,D,20000202,000000,4.90647,5.10282,4.86047,4.99196,6397103.8463289,0
NKE.US,D,20000203,000000,4.97906,5.03905,4.90003,5.03905,4561360.6331233,0
NKE.US,D,20000204,000000,5.03905,5.03905,4.90647,4.91302,14332414.87407,0
NKE.US,D,20000207,000000,4.90647,4.90647,4.7016,4.76061,7409109.5627243,0
NKE.US,D,20000208,000000,4.7366,4.7366,2.78766,3.89402,75426311.32291,0
NKE.US,D,20000209,000000,3.84186,3.84186,3.40615,3.55192,71826456.611696,0
NKE.US,D,20000210,000000,3.51066,3.66318,3.4584,3.55192,28735539.746537,0
NKE.US,D,20000211,000000,3.59128,3.63035,3.48468,3.57849,14515167.919503,0
NKE.US,D,20000214,000000,3.52365,3.58484,3.38215,3.40178,20500855.304061,0
NKE.US,D,20000215,000000,3.37361,3.38215,3.18412,3.20366,34499003.631039,0
NKE.US,D,20000216,000000,3.20366,3.23638,3.07712,3.10568,26032888.604943,0
NKE.US,D,20000217,000000,3.08376,3.14485,3.0317,3.05342,17193025.48426,0
NKE.US,D,20000218,000000,3.04023,3.06422,2.88138,2.94663,29945904.162052,0
NKE.US,D,20000222,000000,3.01187,3.02486,2.83992,2.83992,14747499.042622,0
NKE.US,D,20000223,000000,2.97289,2.99908,2.94028,2.95317,14492200.632735,0
NKE.US,D,20000224,000000,2.94663,2.95317,2.80273,2.84647,18546640.220413,0
NKE.US,D,20000225,000000,2.83992,2.84647,2.78766,2.79659,17024042.726459,0
NKE.US,D,20000228,000000,2.83536,2.97289,2.82277,2.93364,18809283.119849,0
NKE.US,D,20000229,000000,2.93364,3.06422,2.93364,2.99253,14435262.938855,0
NKE.US,D,20000301,000000,2.99253,3.01871,2.94028,2.95961,11346917.688227,0
NKE.US,D,20000302,000000,2.9858,3.14921,2.95961,3.09725,12926449.850732,0
NKE.US,D,20000303,000000,3.16438,3.18412,3.06422,3.09279,7935310.0192979,0
NKE.US,D,20000306,000000,3.10568,3.11638,2.96626,2.99908,8821498.3672557,0
NKE.US,D,20000307,000000,3.02486,3.0317,2.9138,2.93364,10941932.066751,0
NKE.US,D,20000308,000000,2.8661,2.90725,2.83992,2.8661,11479155.81253,0
NKE.US,D,20000309,000000,2.85519,2.8661,2.71587,2.81603,16138778.112186,0
NKE.US,D,20000310,000000,2.83536,2.88812,2.82277,2.82702,14425156.324234,0
NKE.US,D,20000313,000000,2.85519,3.07712,2.78766,3.02486,24066740.616604,0
NKE.US,D,20000314,000000,3.05342,3.16874,2.97289,3.04023,20942570.432391,0
NKE.US,D,20000315,000000,3.01187,3.52365,3.00552,3.47377,29745705.054662,0
NKE.US,D,20000316,000000,3.47833,4.01382,3.31253,3.77652,20004949.480276,0
NKE.US,D,20000317,000000,3.65673,3.81569,3.39305,3.59128,34462269.08197,0
NKE.US,D,20000320,000000,3.4124,3.52365,3.4124,3.48468,16514371.657256,0
NKE.US,D,20000321,000000,3.49976,3.53029,3.40615,3.49976,15852247.217625,0
NKE.US,D,20000322,000000,3.61736,3.64364,3.53029,3.56491,13522444.639562,0
NKE.US,D,20000323,000000,3.54982,3.65673,3.51066,3.59128,14393024.308504,0
NKE.US,D,20000324,000000,3.59128,3.64364,3.55866,3.57849,8386212.0623346,0
NKE.US,D,20000327,000000,3.80259,3.82848,3.69808,3.79615,19175698.8262,0
NKE.US,D,20000328,000000,3.82213,3.88946,3.77652,3.88946,10401041.622633,0
NKE.US,D,20000329,000000,3.88946,4.14678,3.88946,4.11843,19607318.432781,0
NKE.US,D,20000330,000000,4.12705,4.1336,3.97891,4.08571,15024829.912718,0
NKE.US,D,20000331,000000,4.09453,4.22503,4.05952,4.18358,17260974.366031,0
NKE.US,D,20000403,000000,4.33182,4.33182,4.22503,4.22503,16324275.130715,0
NKE.US,D,20000404,000000,4.22503,4.23782,3.84186,4.11387,13946719.756593,0
