<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NYT.US,D,20000103,000000,43.4991,44.1561,42.2874,42.5051,609552.37808309,0
NYT.US,D,20000104,000000,41.8352,42.34,40.6761,40.7298,654275.08586058,0
NYT.US,D,20000105,000000,40.4018,41.2805,39.5111,39.9595,771244.87632187,0
NYT.US,D,20000106,000000,39.7407,40.0688,39.2875,39.5718,566032.89967758,0
NYT.US,D,20000107,000000,39.4565,40.7298,39.0688,40.5121,662326.46099765,0
NYT.US,D,20000110,000000,40.9534,42.7247,40.9534,42.5627,817703.01107818,0
NYT.US,D,20000111,000000,42.3967,42.8351,41.2805,41.3382,517606.94163399,0
NYT.US,D,20000112,000000,41.3958,41.3958,40.5121,41.1721,719232.36918873,0
NYT.US,D,20000113,000000,41.0618,42.5051,41.0618,42.4474,483443.67824468,0
NYT.US,D,20000114,000000,41.5012,41.8908,41.0061,41.4504,980815.03828339,0
NYT.US,D,20000118,000000,40.8431,40.8431,40.1235,40.3461,986362.36834784,0
NYT.US,D,20000119,000000,40.0688,40.1791,39.0112,39.6841,996592.83614353,0
NYT.US,D,20000120,000000,40.0688,40.9534,39.8511,40.4018,1087341.0794884,0
NYT.US,D,20000121,000000,41.1721,42.0538,41.1721,41.2805,1039461.4036765,0
NYT.US,D,20000124,000000,41.0618,41.2258,39.0688,39.6841,802910.13090631,0
NYT.US,D,20000125,000000,39.1792,40.0688,38.9038,40.0688,587352.99737904,0
NYT.US,D,20000126,000000,40.3461,41.7824,40.0688,41.2805,815529.95468732,0
NYT.US,D,20000127,000000,41.8352,41.8352,40.5658,41.6114,760690.4621568,0
NYT.US,D,20000128,000000,41.1721,41.5012,40.6175,41.0061,556778.29516853,0
NYT.US,D,20000131,000000,41.0618,41.0618,39.5111,40.4585,1005946.0330259,0
NYT.US,D,20000201,000000,40.0131,41.1721,39.5111,41.0618,487038.27569123,0
NYT.US,D,20000202,000000,40.6761,41.5012,40.1791,40.6175,617388.45967033,0
NYT.US,D,20000203,000000,40.8431,42.9464,40.7298,42.173,807590.25050367,0
NYT.US,D,20000204,000000,41.9982,42.8351,41.6682,42.7794,665373.77016799,0
NYT.US,D,20000207,000000,42.3967,42.4474,40.0131,40.9534,395848.37875581,0
NYT.US,D,20000208,000000,41.5012,42.8351,41.5012,42.7247,440351.76880496,0
NYT.US,D,20000209,000000,42.7247,42.7794,41.8908,42.0538,435570.03870044,0
NYT.US,D,20000210,000000,41.9982,42.0538,40.7298,41.6682,679516.74551186,0
NYT.US,D,20000211,000000,41.7248,42.8351,41.7248,42.173,728590.5962942,0
NYT.US,D,20000214,000000,42.0538,42.5051,41.7824,42.1174,748830.20206797,0
NYT.US,D,20000215,000000,42.0538,42.0538,40.8978,41.6114,992891.59796669,0
NYT.US,D,20000216,000000,41.6114,41.6114,40.5121,40.6761,684305.51792875,0
