<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCG.US,D,20000103,000000,14.994,14.994,14.492,14.538,787798,0
PCG.US,D,20000104,000000,14.584,15.365,14.492,15.226,2073079,0
PCG.US,D,20000105,000000,15.273,16.471,15.273,16.238,3949464,0
PCG.US,D,20000106,000000,16.099,16.471,16.053,16.378,1368301,0
PCG.US,D,20000107,000000,16.378,16.649,16.238,16.378,1219972,0
PCG.US,D,20000110,000000,16.008,16.286,15.869,16.053,702448,0
PCG.US,D,20000111,000000,15.914,16.146,15.689,15.822,971943,0
PCG.US,D,20000112,000000,15.822,16.425,15.822,16.193,1102814,0
PCG.US,D,20000113,000000,16.146,16.238,16.053,16.193,1116782,0
PCG.US,D,20000114,000000,16.193,16.193,15.689,16.053,1752632,0
PCG.US,D,20000118,000000,16.193,16.193,15.869,16.099,3133602,0
PCG.US,D,20000119,000000,16.286,16.471,16.146,16.471,1556585,0
PCG.US,D,20000120,000000,16.425,16.425,16.053,16.193,1295233,0
PCG.US,D,20000121,000000,16.146,16.649,15.914,16.518,2347100,0
PCG.US,D,20000124,000000,16.564,16.696,16.378,16.471,1686289,0
PCG.US,D,20000125,000000,16.425,16.471,15.73,15.914,1335971,0
PCG.US,D,20000126,000000,15.775,16.238,15.645,16.193,2031566,0
PCG.US,D,20000127,000000,16.146,16.378,15.55,15.869,1873796,0
PCG.US,D,20000128,000000,15.869,15.914,15.505,15.55,1744222,0
PCG.US,D,20000131,000000,15.962,16.193,15.689,16.146,1451063,0
PCG.US,D,20000201,000000,16.193,16.378,16.053,16.333,1447572,0
PCG.US,D,20000202,000000,16.333,16.425,16.193,16.238,1958630,0
PCG.US,D,20000203,000000,16.286,16.88,16.286,16.742,1067900,0
PCG.US,D,20000204,000000,16.837,16.837,16.099,16.378,785467,0
PCG.US,D,20000207,000000,16.378,16.425,16.193,16.378,590587,0
PCG.US,D,20000208,000000,16.286,16.518,16.238,16.238,666628,0
PCG.US,D,20000209,000000,16.238,16.518,16.238,16.238,887372,0
PCG.US,D,20000210,000000,16.193,16.333,15.645,15.73,660418,0
PCG.US,D,20000211,000000,15.689,16.053,15.505,15.962,1048888,0
PCG.US,D,20000214,000000,15.869,16.378,15.73,16.099,775513,0
PCG.US,D,20000215,000000,16.333,16.378,15.914,16.053,1731809,0
PCG.US,D,20000216,000000,16.053,16.238,16.008,16.053,787672,0
PCG.US,D,20000217,000000,16.099,17.019,15.914,17.019,2220109,0
PCG.US,D,20000218,000000,16.837,16.928,16.425,16.564,1651113,0
PCG.US,D,20000222,000000,16.193,16.742,16.193,16.518,1098286,0
PCG.US,D,20000223,000000,16.378,16.378,16.008,16.099,839521,0
PCG.US,D,20000224,000000,16.099,16.099,15.088,15.318,1662236,0
PCG.US,D,20000225,000000,15.226,15.226,14.723,14.769,1078242,0
PCG.US,D,20000228,000000,14.901,15.365,14.63,15.273,1100743,0
PCG.US,D,20000229,000000,15.226,15.273,14.817,15.181,1044232,0
PCG.US,D,20000301,000000,15.132,15.181,14.538,14.678,1630553,0
PCG.US,D,20000302,000000,14.901,15.55,14.901,15.458,1234845,0
PCG.US,D,20000303,000000,15.458,16.099,15.365,16.008,2509649,0
PCG.US,D,20000306,000000,16.008,16.008,15.458,15.505,1802156,0
PCG.US,D,20000307,000000,15.505,15.775,14.901,14.901,2638703,0
PCG.US,D,20000308,000000,14.901,15.55,14.854,14.948,1952812,0
PCG.US,D,20000309,000000,15.088,15.413,14.948,15.181,2355116,0
PCG.US,D,20000310,000000,15.181,15.645,15.088,15.645,5190256,0
PCG.US,D,20000313,000000,15.489,15.629,15.209,15.581,3771777,0
PCG.US,D,20000314,000000,15.581,15.723,15.165,15.536,1390023,0
PCG.US,D,20000315,000000,15.489,16.611,15.351,16.378,1345025,0
PCG.US,D,20000316,000000,16.425,17.222,16.425,16.887,1589562,0
PCG.US,D,20000317,000000,16.887,16.936,15.869,16.611,2660304,0
PCG.US,D,20000320,000000,16.146,16.704,15.914,15.962,1032726,0
PCG.US,D,20000321,000000,15.629,16.099,15.629,15.869,1987723,0
PCG.US,D,20000322,000000,15.869,15.914,15.442,15.767,669214,0
PCG.US,D,20000323,000000,15.723,16.008,15.536,15.723,1278556,0
PCG.US,D,20000324,000000,15.767,16.238,15.442,15.914,843922,0
PCG.US,D,20000327,000000,15.869,16.193,15.767,15.822,1081863,0
PCG.US,D,20000328,000000,15.581,15.869,15.581,15.629,895908,0
PCG.US,D,20000329,000000,15.674,15.914,15.581,15.723,1372308,0
PCG.US,D,20000330,000000,15.822,15.914,15.723,15.869,1245191,0
PCG.US,D,20000331,000000,15.869,15.869,15.396,15.674,1132295,0
PCG.US,D,20000403,000000,15.723,16.008,15.581,15.914,1129452,0
PCG.US,D,20000404,000000,15.962,16.518,15.914,16.378,1983980,0
PCG.US,D,20000405,000000,16.193,16.748,16.099,16.146,1621501,0
PCG.US,D,20000406,000000,16.333,16.333,15.723,15.822,1090399,0
PCG.US,D,20000407,000000,15.674,16.008,15.536,15.767,912458,0
PCG.US,D,20000410,000000,15.396,16.518,15.396,16.518,993283,0
PCG.US,D,20000411,000000,16.146,16.887,16.146,16.794,1461018,0
PCG.US,D,20000412,000000,17.076,17.87,16.984,17.545,1882978,0
PCG.US,D,20000413,000000,17.165,18.056,17.165,17.963,2476289,0
PCG.US,D,20000414,000000,17.87,18.38,17.498,17.594,1518567,0
PCG.US,D,20000417,000000,17.684,18.103,17.076,18.103,1434639,0
PCG.US,D,20000418,000000,18.103,18.242,17.733,17.733,1117944,0
PCG.US,D,20000419,000000,1.7777,17.963,17.361,17.87,1320193,0
PCG.US,D,20000420,000000,17.918,18.573,17.918,18.334,1328083,0
PCG.US,D,20000424,000000,18.148,19.504,18.148,19.504,2160627,0
PCG.US,D,20000425,000000,19.504,20.346,19.41,20.207,2332742,0
PCG.US,D,20000426,000000,20.207,20.719,20.16,20.624,1716681,0
PCG.US,D,20000427,000000,20.531,20.577,20.022,20.253,2169673,0
PCG.US,D,20000428,000000,20.16,20.207,19.362,19.362,1123632,0
