<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFE.US,D,20000103,000000,20.1311,20.3252,19.8548,20.0091,18719142.101308,0
PFE.US,D,20000104,000000,19.6206,19.7748,18.8371,19.2684,20661276.569863,0
PFE.US,D,20000105,000000,19.3864,20.0091,19.3484,19.5787,18876541.981881,0
PFE.US,D,20000106,000000,19.6206,20.5605,19.5787,20.2871,16162726.133055,0
PFE.US,D,20000107,000000,21.3509,21.8945,20.2871,21.6632,26118793.218282,0
PFE.US,D,20000110,000000,21.9764,21.9764,21.387,21.6253,15142609.768632,0
PFE.US,D,20000111,000000,21.5052,21.9764,21.3509,21.3509,14173229.678927,0
PFE.US,D,20000112,000000,21.6632,22.1697,21.6253,22.0536,16610559.779774,0
PFE.US,D,20000113,000000,21.9365,23.3057,21.7423,23.2266,40287121.826764,0
PFE.US,D,20000114,000000,23.5019,23.618,23.2266,23.2266,24800893.019076,0
PFE.US,D,20000118,000000,23.3057,23.3858,22.4829,22.9134,16663436.622368,0
PFE.US,D,20000119,000000,23.0715,23.2686,22.7953,23.2266,15408213.357273,0
PFE.US,D,20000120,000000,23.0715,23.1505,22.4829,22.848,12230939.458186,0
PFE.US,D,20000121,000000,22.9534,22.9534,21.9764,22.0145,18936464.56154,0
PFE.US,D,20000124,000000,21.9764,22.1317,20.949,21.5832,19971293.359463,0
PFE.US,D,20000125,000000,21.6632,22.2478,21.5451,21.8945,14400822.56129,0
PFE.US,D,20000126,000000,21.8574,21.9764,21.5832,21.8945,11238406.601036,0
PFE.US,D,20000127,000000,21.6993,22.2478,21.6632,21.6632,13172271.858116,0
PFE.US,D,20000128,000000,21.6632,22.404,21.2709,22.0946,17208740.397206,0
PFE.US,D,20000131,000000,21.3509,22.9134,21.3509,22.7182,15463700.073675,0
PFE.US,D,20000201,000000,22.325,23.3437,22.2889,23.2266,17951909.905201,0
PFE.US,D,20000202,000000,23.1886,23.2266,22.4459,22.6021,10945219.505122,0
PFE.US,D,20000203,000000,22.641,22.9924,22.1697,22.3679,13477884.289637,0
PFE.US,D,20000204,000000,22.6801,22.6801,22.1697,22.4459,10129254.294326,0
PFE.US,D,20000207,000000,22.5249,23.2266,22.325,23.2266,19484839.318632,0
PFE.US,D,20000208,000000,23.2686,23.82,23.1505,23.7379,23542144.836079,0
PFE.US,D,20000209,000000,23.618,23.6599,22.6801,22.6801,17176401.324821,0
PFE.US,D,20000210,000000,22.9134,22.9134,21.9764,21.9764,16211312.617725,0
PFE.US,D,20000211,000000,22.325,22.325,21.3509,21.9764,15589828.604089,0
PFE.US,D,20000214,000000,21.0768,22.1697,21.0768,21.9764,12863910.195568,0
PFE.US,D,20000215,000000,22.0145,22.5249,21.8193,22.325,12004569.025548,0
PFE.US,D,20000216,000000,22.0262,22.0663,21.2445,21.2445,15132961.330559,0
PFE.US,D,20000217,000000,21.4788,21.637,21.1675,21.3987,13019779.196098,0
PFE.US,D,20000218,000000,21.3987,21.3987,20.6893,21.3987,15807619.345565,0
PFE.US,D,20000222,000000,21.0474,21.2836,20.8533,21.0903,13387914.858916,0
PFE.US,D,20000223,000000,21.2836,21.3987,20.7293,21.3987,13931839.407156,0
PFE.US,D,20000224,000000,20.6893,20.9723,20.4931,20.8074,14232849.976381,0
PFE.US,D,20000225,000000,20.7664,20.9313,20.1446,20.3779,12651793.137355,0
PFE.US,D,20000228,000000,20.2218,20.415,20.1008,20.257,12426961.782242,0
PFE.US,D,20000229,000000,20.6893,20.6893,19.9056,20.2218,18099653.150218,0
PFE.US,D,20000301,000000,20.2218,20.415,19.8304,20.0627,16848425.133642,0
PFE.US,D,20000302,000000,20.1446,20.1446,19.8304,20.1446,12800766.004896,0
PFE.US,D,20000303,000000,21.0903,21.0903,19.8304,20.5331,15396876.237601,0
PFE.US,D,20000306,000000,20.1798,20.4931,19.8304,19.9476,16216984.251617,0
PFE.US,D,20000307,000000,19.7504,19.8304,18.8829,18.8829,22277275.182282,0
PFE.US,D,20000308,000000,19.5162,20.8533,19,20.415,28823101.010942,0
PFE.US,D,20000309,000000,20.5331,21.637,20.3008,21.637,27892496.042849,0
PFE.US,D,20000310,000000,22.1063,22.1922,21.3987,22.0262,29847513.881401,0
PFE.US,D,20000313,000000,22.1063,22.1063,21.0903,21.5929,17887540.190748,0
PFE.US,D,20000314,000000,21.5178,21.5178,20.7664,20.9313,13243993.690578,0
PFE.US,D,20000315,000000,21.3226,22.4234,21.2445,22.1922,23776792.677675,0
PFE.US,D,20000316,000000,22.7807,23.0139,22.4234,22.9749,28126836.478816,0
PFE.US,D,20000317,000000,22.7015,22.8558,22.3464,22.5435,19580015.176056,0
PFE.US,D,20000320,000000,22.6587,22.7015,21.3987,22.0262,12051779.357677,0
PFE.US,D,20000321,000000,22.7015,23.2872,22.5435,23.092,20839676.353778,0
PFE.US,D,20000322,000000,22.5035,22.7386,21.7911,22.4234,26648010.456447,0
PFE.US,D,20000323,000000,21.9111,22.6235,21.9111,22.1922,15507990.05231,0
PFE.US,D,20000324,000000,22.1922,22.5806,21.9111,21.9472,13791454.42826,0
PFE.US,D,20000327,000000,21.9472,22.3464,21.833,21.871,14203263.209079,0
PFE.US,D,20000328,000000,21.5588,22.3893,21.5588,22.0663,13506693.320692,0
PFE.US,D,20000329,000000,22.1922,23.1281,22.0995,22.8938,21384214.688594,0
PFE.US,D,20000330,000000,22.9338,23.1691,22.7015,22.9749,15203769.143611,0
PFE.US,D,20000331,000000,23.0139,23.2091,22.4664,23.0139,13264999.742032,0
PFE.US,D,20000403,000000,23.2872,24.3138,23.1281,23.9195,29191086.045,0
PFE.US,D,20000404,000000,24.347,25.1775,23.9195,25.0204,51429123.972537,0
PFE.US,D,20000405,000000,24.2289,24.6642,24.1538,24.3138,15047893.994967,0
PFE.US,D,20000406,000000,23.9976,24.3138,23.7663,24.1538,14602210.138295,0
PFE.US,D,20000407,000000,24.2289,24.8194,24.1956,24.4259,14277137.905644,0
PFE.US,D,20000410,000000,24.5051,25.3726,24.3909,25.0624,23573262.483423,0
PFE.US,D,20000411,000000,25.0204,25.4937,24.9033,25.0624,20050988.269309,0
PFE.US,D,20000412,000000,24.8662,25.8079,24.7003,25.4156,25973195.664569,0
PFE.US,D,20000413,000000,25.2945,25.4156,24.5051,24.9442,19212948.260149,0
PFE.US,D,20000414,000000,24.5051,24.5841,23.2091,23.8824,21044285.541795,0
