<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PG.US,D,20000103,000000,37.7739,37.8124,37.0183,37.5441,6073253.3243184,0
PG.US,D,20000104,000000,37.2649,37.9703,36.3345,36.821,6067295.1783599,0
PG.US,D,20000105,000000,36.7371,36.9117,35.9015,36.1176,7243010.302066,0
PG.US,D,20000106,000000,36.821,38.3224,36.7992,37.7927,9268567.0645911,0
PG.US,D,20000107,000000,38.36,40.9823,38.2298,40.8056,13967776.446495,0
PG.US,D,20000110,000000,40.559,41.0947,40.0588,40.6093,9748459.332047,0
PG.US,D,20000111,000000,40.412,41.2407,40.0796,41.2407,6281805.6646556,0
PG.US,D,20000112,000000,40.85,41.4676,40.6725,40.9823,8852887.55459,0
PG.US,D,20000113,000000,40.9379,40.9823,40.1239,40.2788,7508389.0423215,0
PG.US,D,20000114,000000,40.4524,40.9823,40.412,40.9823,6967411.081086,0
PG.US,D,20000118,000000,40.9635,41.3335,40.6497,40.9635,6331524.4566357,0
PG.US,D,20000119,000000,39.9257,40.6291,39.7688,40.412,7889403.2522832,0
PG.US,D,20000120,000000,39.9257,40.0095,37.7009,39.4176,14535747.505191,0
PG.US,D,20000121,000000,39.4392,39.4392,34.8449,35.9607,34633600.635019,0
PG.US,D,20000124,000000,33.6334,38.1449,33.2181,36.1176,40565932.353347,0
PG.US,D,20000125,000000,36.2921,36.3139,33.962,34.1405,24289891.301772,0
PG.US,D,20000126,000000,34.6673,35.3125,34.6042,35.2345,14551943.363667,0
PG.US,D,20000127,000000,35.7229,36.5852,35.4368,36.448,12770169.849795,0
PG.US,D,20000128,000000,36.3139,36.3139,34.8005,35.133,13614602.732772,0
PG.US,D,20000131,000000,35.1112,35.4142,34.4483,35.3904,6418756.862732,0
PG.US,D,20000201,000000,35.2573,35.3313,34.5736,34.8449,5745367.7741495,0
PG.US,D,20000202,000000,34.9277,35.0205,34.4276,34.5341,5570060.6313529,0
PG.US,D,20000203,000000,34.9544,34.9544,33.8505,34.252,8892663.601809,0
PG.US,D,20000204,000000,34.1829,34.2027,32.931,33.1944,10864801.804959,0
PG.US,D,20000207,000000,32.931,33.2181,32.4239,32.6656,9183608.2415818,0
PG.US,D,20000208,000000,32.931,33.591,32.5117,33.5446,9643052.4521443,0
PG.US,D,20000209,000000,33.373,33.591,32.8422,32.931,8887268.0232217,0
PG.US,D,20000210,000000,32.8422,33.1697,31.54,32.0283,7483666.4870432,0
PG.US,D,20000211,000000,31.9859,32.9083,31.9859,32.8422,7579133.6630895,0
PG.US,D,20000214,000000,32.8146,32.8639,31.8734,32.1832,7461506.4007992,0
PG.US,D,20000215,000000,32.4003,33.5693,32.269,33.5446,9751300.5506794,0
PG.US,D,20000216,000000,33.5693,33.7025,32.5778,32.931,7550160.936664,0
PG.US,D,20000217,000000,32.931,33.2792,32.5778,32.9981,6652025.6765379,0
PG.US,D,20000218,000000,32.8639,33.0829,32.2246,32.7949,6608267.057786,0
PG.US,D,20000222,000000,32.3351,32.7317,31.54,32.5324,7425419.9846262,0
PG.US,D,20000223,000000,32.5324,32.5324,31.5626,31.7373,7610395.1771254,0
PG.US,D,20000224,000000,31.6553,31.832,30.3068,30.9905,10261596.797043,0
PG.US,D,20000225,000000,31.0852,31.171,29.8046,29.8046,10196247.754862,0
PG.US,D,20000228,000000,30.0502,31.5222,29.7612,30.9529,10060435.882417,0
PG.US,D,20000229,000000,31.3456,31.4808,30.5573,30.7754,9464046.5555876,0
PG.US,D,20000301,000000,30.8158,31.0575,30.4212,30.9085,5900789.427424,0
PG.US,D,20000302,000000,30.8158,30.9717,30.3522,30.5801,5065736.7218359,0
PG.US,D,20000303,000000,30.7546,31.458,30.4656,30.9717,6964287.0583157,0
PG.US,D,20000306,000000,30.9529,30.9717,30.3285,30.6165,5211774.1431807,0
PG.US,D,20000307,000000,20.3002,25.3405,20.0624,21.3578,195036265.9579,0
PG.US,D,20000308,000000,21.3578,21.6054,20.018,20.3002,105957609.03163,0
PG.US,D,20000309,000000,20.4788,20.828,19.7951,20.2153,48610470.400227,0
PG.US,D,20000310,000000,20.018,20.2153,18.4781,18.8253,68988758.803155,0
PG.US,D,20000313,000000,18.8253,20.0624,18.6526,20.0624,51138646.138362,0
