<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPG.US,D,20000103,000000,23.0382,23.0382,21.9335,22.0741,1344306.8887798,0
PPG.US,D,20000104,000000,21.9761,22.0493,21.2654,21.3118,1441586.4070051,0
PPG.US,D,20000105,000000,21.3356,22.1652,21.3356,22.1176,2029173.1237627,0
PPG.US,D,20000106,000000,22.1176,23.7054,22.1176,23.1709,2629221.0827295,0
PPG.US,D,20000107,000000,23.3362,23.7232,23.2659,23.5905,1985422.8994934,0
PPG.US,D,20000110,000000,23.4946,23.4946,22.7393,22.8551,1399789.9762043,0
PPG.US,D,20000111,000000,22.7591,22.8551,22.4156,22.7591,1367039.1848638,0
PPG.US,D,20000112,000000,22.7591,23.4064,22.7591,23.1085,1421548.4062575,0
PPG.US,D,20000113,000000,23.1709,23.934,23.1293,23.6817,2070724.0675868,0
PPG.US,D,20000114,000000,23.6371,23.7232,22.9432,23.1709,2341054.7303586,0
PPG.US,D,20000118,000000,22.8551,23.0818,22.6244,22.6244,1979557.4781503,0
PPG.US,D,20000119,000000,22.3919,22.6026,21.8415,22.187,1934095.9166858,0
PPG.US,D,20000120,000000,22.276,22.276,21.1535,21.2911,1063469.7875017,0
PPG.US,D,20000121,000000,21.3832,21.8197,21.0119,21.5653,1873479.8279102,0
PPG.US,D,20000124,000000,21.7474,21.887,21.197,21.3356,1379994.4317299,0
PPG.US,D,20000125,000000,21.4257,21.6366,20.417,20.809,2088076.8651085,0
PPG.US,D,20000126,000000,20.8734,21.3832,20.7843,21.1277,2105674.1393724,0
PPG.US,D,20000127,000000,21.3356,21.6366,21.2654,21.3832,1857101.9066538,0
PPG.US,D,20000128,000000,21.3118,21.3118,20.1429,20.8536,1376329.3010663,0
PPG.US,D,20000131,000000,20.8734,20.9427,20.1637,20.2557,1364840.9146532,0
PPG.US,D,20000201,000000,20.3458,20.6903,20.2775,20.6239,1442319.8372316,0
PPG.US,D,20000202,000000,20.5091,20.5309,20.0914,20.2557,661154.01146123,0
PPG.US,D,20000203,000000,20.2557,20.325,19.9102,20.1429,766499.24170918,0
PPG.US,D,20000204,000000,20.2557,20.2557,19.8181,19.8904,978652.52172021,0
PPG.US,D,20000207,000000,19.9102,19.9102,19.1252,19.2421,1622218.3510278,0
PPG.US,D,20000208,000000,19.3094,19.4054,18.9917,19.0817,1022893.7199427,0
PPG.US,D,20000209,000000,18.9431,19.0817,18.76,18.76,1445987.9985987,0
PPG.US,D,20000210,000000,18.9431,18.9917,18.4383,18.5759,1235052.0511262,0
PPG.US,D,20000211,000000,18.6699,18.7106,17.7236,17.8909,1713138.4432533,0
PPG.US,D,20000214,000000,18.0701,18.6254,17.7711,18.6254,1940200.7635988,0
PPG.US,D,20000215,000000,18.6254,19.4262,18.5293,19.3094,1703853.3782232,0
PPG.US,D,20000216,000000,19.6826,19.6826,19.1976,19.4262,1328178.495438,0
PPG.US,D,20000217,000000,19.6469,19.8321,19.1816,19.4598,1456495.4473397,0
PPG.US,D,20000218,000000,19.3895,19.3895,18.763,18.9283,1133380.0334175,0
PPG.US,D,20000222,000000,18.9283,19.8558,18.9283,19.5054,878449.3849336,0
