<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RTX.US,D,20000103,000000,14.3088,14.3205,13.6613,13.7723,4778424.0561534,0
RTX.US,D,20000104,000000,13.4657,13.7585,13.001,13.2142,7516794.4105623,0
RTX.US,D,20000105,000000,13.2142,13.2683,12.889,12.9499,8716977.5272033,0
RTX.US,D,20000106,000000,12.889,13.6249,12.5294,13.565,13726684.809423,0
RTX.US,D,20000107,000000,13.565,14.2498,13.3548,14.0965,8918800.5019928,0
RTX.US,D,20000110,000000,14.0965,14.3736,14.0386,14.2361,5492375.6283274,0
RTX.US,D,20000111,000000,14.183,14.1939,13.8744,13.9138,4933802.3025942,0
RTX.US,D,20000112,000000,13.9265,14.4327,13.9138,14.2203,5653113.429913,0
RTX.US,D,20000113,000000,14.1369,14.5162,14.0965,14.3736,4702516.0232299,0
RTX.US,D,20000114,000000,14.3736,14.3736,13.8864,14.0701,6788563.5830365,0
RTX.US,D,20000118,000000,13.8864,13.9846,13.2555,13.8313,10882497.336058,0
RTX.US,D,20000119,000000,13.7488,13.9973,13.3105,13.3665,8084296.5963954,0
RTX.US,D,20000120,000000,13.454,13.511,12.7918,13.0757,8573209.9539668,0
RTX.US,D,20000121,000000,13.115,13.4383,12.7918,13.3548,10118531.730581,0
RTX.US,D,20000124,000000,13.7723,14.0553,13.115,13.2279,12154568.310382,0
RTX.US,D,20000125,000000,13.0894,13.1405,12.3437,12.5294,11560281.579781,0
RTX.US,D,20000126,000000,12.5294,12.779,12.2081,12.554,9847962.7413938,0
RTX.US,D,20000127,000000,12.554,12.6405,11.8996,12.1669,8648218.2818489,0
RTX.US,D,20000128,000000,12.1099,12.1482,11.3523,11.5213,15996678.286267,0
RTX.US,D,20000131,000000,11.591,11.8416,11.5341,11.6608,9141595.5605872,0
RTX.US,D,20000201,000000,11.7857,11.8996,11.5733,11.8288,11764326.337494,0
RTX.US,D,20000202,000000,11.8682,12.0087,11.7159,11.8416,6840794.3104355,0
RTX.US,D,20000203,000000,11.9566,11.9821,11.3523,11.6608,9916712.8268554,0
RTX.US,D,20000204,000000,11.6736,11.7857,11.0153,11.3229,15075565.557242,0
RTX.US,D,20000207,000000,11.2835,11.4633,11.0851,11.2835,16503458.523931,0
RTX.US,D,20000208,000000,11.2374,11.3788,11.0016,11.2374,10759708.970988,0
RTX.US,D,20000209,000000,11.4368,11.5733,11.1282,11.1578,12320228.027782,0
RTX.US,D,20000210,000000,11.1853,11.3946,10.9603,11.0457,7777102.2841078,0
RTX.US,D,20000211,000000,11.0457,11.2521,10.4867,10.6635,8903165.5824834,0
RTX.US,D,20000214,000000,10.75,11.3523,10.75,11.0851,10431086.615779,0
RTX.US,D,20000215,000000,11.1578,11.6481,10.9347,11.5488,14493327.139175,0
RTX.US,D,20000216,000000,11.6608,11.9094,11.5065,11.5341,8631254.160095,0
RTX.US,D,20000217,000000,11.9438,12.0814,11.5065,11.9674,8899157.6204323,0
RTX.US,D,20000218,000000,11.9949,12.0538,11.4732,11.591,6556819.3090244,0
RTX.US,D,20000222,000000,11.8544,12.0411,11.3523,11.8288,6446989.1391886,0
RTX.US,D,20000223,000000,11.8288,12.0214,11.6736,11.6736,8124036.2831007,0
RTX.US,D,20000224,000000,11.6962,11.7591,11.0988,11.2521,10827574.617897,0
RTX.US,D,20000225,000000,11.1735,11.3091,11.028,11.0713,9710437.1263235,0
RTX.US,D,20000228,000000,11.2227,11.4516,11.0604,11.2963,15800671.843505,0
RTX.US,D,20000229,000000,11.5065,11.5065,11.1735,11.2718,7236837.5488612,0
RTX.US,D,20000302,000000,11.2227,11.369,10.975,11.2374,7393112.4470458,0
RTX.US,D,20000303,000000,11.1853,11.7159,11.0604,11.4633,7135040.6051475,0
RTX.US,D,20000306,000000,11.5733,11.6608,10.8895,11.0604,7381059.045682,0
RTX.US,D,20000307,000000,11.0851,11.4103,10.7786,11.1735,7415438.1594763,0
RTX.US,D,20000308,000000,11.1735,11.1735,10.8355,10.8895,7459648.8917098,0
RTX.US,D,20000309,000000,10.7235,10.8355,10.2902,10.637,9917163.697142,0
RTX.US,D,20000310,000000,10.582,10.9485,10.3875,10.8031,9000511.8359867,0
RTX.US,D,20000313,000000,10.7235,10.9347,10.6527,10.8355,6647910.3734049,0
RTX.US,D,20000314,000000,10.9603,11.198,10.9603,11.0457,10758369.591085,0
RTX.US,D,20000315,000000,11.0713,12.2789,10.919,11.9094,13827146.444298,0
RTX.US,D,20000316,000000,12.1363,12.8182,11.9949,12.6129,14882670.424787,0
