<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEE.US,D,20000103,000000,20.9048,21.3143,20.7009,21.2322,1213564.7752106,0
SEE.US,D,20000104,000000,21.0056,22.4283,21.0056,22.0436,2094616.9178895,0
SEE.US,D,20000105,000000,22.0683,22.2018,21.6656,22.0436,1270337.9858088,0
SEE.US,D,20000106,000000,22.1275,22.7351,22.0683,22.6341,1137630.3028032,0
SEE.US,D,20000107,000000,22.9903,23.5008,22.8834,23.4444,1471371.0269686,0
SEE.US,D,20000110,000000,23.6957,24.314,23.5344,24.1399,2161958.7919618,0
SEE.US,D,20000111,000000,24.0538,24.1043,23.7768,23.8262,1155566.505304,0
SEE.US,D,20000112,000000,23.9134,24.5682,23.7521,24.314,1513147.3687866,0
SEE.US,D,20000113,000000,24.3398,25.1786,24.2814,24.7226,4786927.3345205,0
SEE.US,D,20000114,000000,24.8186,24.872,23.9806,24.4871,2480955.3410988,0
SEE.US,D,20000118,000000,24.4871,24.4871,23.6957,24.0786,962889.5411277,0
SEE.US,D,20000119,000000,23.8035,23.9134,23.1436,23.4444,1203742.0636918,0
SEE.US,D,20000120,000000,23.3504,23.3949,22.1761,22.5569,1669450.5835578,0
SEE.US,D,20000121,000000,22.9903,23.0971,22.3057,22.3521,1128534.3385144,0
SEE.US,D,20000124,000000,22.3789,22.5807,21.7685,21.9732,1475792.1568497,0
SEE.US,D,20000125,000000,21.9732,22.283,21.5656,21.6983,576310.55346664,0
SEE.US,D,20000126,000000,22.3789,23.1911,22.283,22.8122,1743427.1847765,0
SEE.US,D,20000127,000000,22.7351,23.577,22.7351,23.2931,1125092.6496152,0
SEE.US,D,20000128,000000,23.2931,23.9134,22.7351,23.3257,1154088.7522436,0
SEE.US,D,20000131,000000,23.2178,23.2178,22.0683,22.836,1134188.613904,0
SEE.US,D,20000201,000000,22.7351,22.836,22.283,22.4283,668713.58306465,0
SEE.US,D,20000202,000000,22.5342,22.7865,21.9732,22.1275,742448.60905676,0
SEE.US,D,20000203,000000,22.2256,22.4283,21.5656,21.7437,996313.84906211,0
SEE.US,D,20000204,000000,21.8406,21.9505,21.158,21.3638,1056771.3345611,0
SEE.US,D,20000207,000000,21.2569,21.2569,20.5476,20.7504,946668.62381395,0
SEE.US,D,20000208,000000,20.139,21.0631,20.139,20.7999,1779065.0899765,0
SEE.US,D,20000209,000000,21.2075,21.5656,21.0056,21.0868,1242565.931714,0
SEE.US,D,20000210,000000,21.1818,21.72,20.7999,21.0868,2337676.973069,0
SEE.US,D,20000211,000000,21.158,21.158,20.5476,20.6228,963873.0252096,0
SEE.US,D,20000214,000000,20.4961,20.7009,20.3221,20.3448,493244.0526091,0
SEE.US,D,20000215,000000,20.6011,20.7999,20.3221,20.6555,750798.62139032,0
SEE.US,D,20000216,000000,20.5476,20.7009,19.9124,19.9381,1013520.2720078,0
SEE.US,D,20000217,000000,19.8402,20.4437,19.7354,20.0134,1544362.1225555,0
SEE.US,D,20000218,000000,19.9124,19.9381,18.9191,19.4336,1123376.3536532,0
SEE.US,D,20000222,000000,19.6285,20.2152,19.5326,20.1143,650285.13313542,0
SEE.US,D,20000223,000000,20.1143,20.4437,20.1143,20.3221,667732.12053278,0
SEE.US,D,20000224,000000,20.3221,20.3221,19.7107,19.7818,1245024.1365313,0
SEE.US,D,20000225,000000,19.7611,20.1885,19.6285,19.6285,596954.62221142,0
SEE.US,D,20000228,000000,19.4336,19.483,19.1981,19.2566,745638.61497913,0
SEE.US,D,20000229,000000,19.2566,20.4744,19.2566,20.2152,1520028.7250349,0
SEE.US,D,20000301,000000,20.5476,21.0868,20.4437,20.9305,1409929.0466128,0
SEE.US,D,20000302,000000,20.9305,21.2075,20.7009,20.7504,1375770.9160233,0
SEE.US,D,20000303,000000,20.7257,21.2075,20.6011,20.7999,1200295.3209176,0
SEE.US,D,20000306,000000,20.7999,20.7999,20.0134,20.1885,850329.63633833,0
SEE.US,D,20000307,000000,20.3448,20.3952,19.3999,19.5553,4062916.2723681,0
SEE.US,D,20000308,000000,19.2793,19.3297,18.002,18.0575,5764072.8463483,0
SEE.US,D,20000309,000000,18.3106,18.564,18.0575,18.2869,1996316.0161251,0
SEE.US,D,20000310,000000,18.2632,18.7153,18.1553,18.2157,1252153.1326564,0
SEE.US,D,20000313,000000,17.8071,18.564,17.6478,18.3592,1577296.2046115,0
