<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLB.US,D,20000103,000000,19.8957,19.9165,19.184,19.6555,9683731.984038,0
SLB.US,D,20000104,000000,19.2879,19.879,19.2206,19.3867,10651059.464566,0
SLB.US,D,20000105,000000,19.3353,19.6753,19.1326,19.3353,6455374.477947,0
SLB.US,D,20000106,000000,19.451,20.7685,19.3353,20.6548,10707241.507286,0
SLB.US,D,20000107,000000,20.9009,21.4792,20.7931,21.0403,9856011.3735764,0
SLB.US,D,20000110,000000,21.0176,21.3092,20.7033,21.244,7091256.1335263,0
SLB.US,D,20000111,000000,21.3092,21.7688,20.9009,21.666,7390870.0878065,0
SLB.US,D,20000112,000000,21.4792,21.838,21.1273,21.1727,6376996.2234675,0
SLB.US,D,20000113,000000,21.244,22.005,21.244,21.7688,5926770.971506,0
SLB.US,D,20000114,000000,21.8824,22.3114,21.5455,22.005,5805583.6414902,0
SLB.US,D,20000118,000000,22.175,23.8731,22.092,23.6557,13663534.302281,0
SLB.US,D,20000119,000000,23.6112,23.7861,23.2761,23.5658,9221469.2405082,0
SLB.US,D,20000120,000000,23.1833,23.3374,22.6208,23.0933,6790568.740134,0
SLB.US,D,20000121,000000,23.2297,24.1864,23.203,23.6112,12009496.154877,0
SLB.US,D,20000124,000000,23.6992,23.9404,22.8936,23.0053,7309011.5029357,0
SLB.US,D,20000125,000000,22.6465,23.1634,22.3599,22.7137,8206790.0439041,0
SLB.US,D,20000126,000000,22.9836,23.2514,22.0188,22.4854,9094936.9728595,0
SLB.US,D,20000127,000000,22.3984,23.0715,21.9358,22.3599,10965390.96716,0
SLB.US,D,20000128,000000,22.2274,22.6208,21.3744,21.4605,8833571.2425447,0
SLB.US,D,20000131,000000,21.5968,22.0188,21.3744,21.838,6424617.0581143,0
SLB.US,D,20000201,000000,22.1622,22.9153,22.092,22.8708,5201005.736677,0
SLB.US,D,20000202,000000,23.0715,23.2978,21.9052,22.005,8470824.7020016,0
SLB.US,D,20000203,000000,22.175,22.2729,21.7352,21.9358,6345965.638168,0
SLB.US,D,20000204,000000,21.7352,21.9358,21.0176,21.2845,8344559.529476,0
SLB.US,D,20000207,000000,21.149,22.005,21.149,21.7125,5960206.4246368,0
SLB.US,D,20000208,000000,21.8687,22.0693,21.0176,21.2845,4305104.9553615,0
SLB.US,D,20000209,000000,21.2845,21.5781,20.3672,20.4116,7933656.9523158,0
SLB.US,D,20000210,000000,20.7448,21.328,20.5709,21.1273,9513860.4975027,0
SLB.US,D,20000211,000000,21.2845,21.5315,20.8584,20.9009,6748037.8886843,0
SLB.US,D,20000214,000000,20.9009,21.6422,20.5709,21.6422,6354254.6924981,0
SLB.US,D,20000215,000000,22.005,23.3374,21.9358,23.2514,14609195.7144,0
SLB.US,D,20000216,000000,23.5419,23.7367,23.2761,23.6112,15391408.063624,0
SLB.US,D,20000217,000000,23.4322,24.2092,23.1634,23.9244,13786056.096188,0
SLB.US,D,20000218,000000,24.0342,24.2309,23.5658,23.7861,7723662.5173341,0
SLB.US,D,20000222,000000,23.6309,23.9404,23.0448,23.4322,6766759.8403965,0
SLB.US,D,20000223,000000,23.1367,23.3621,22.8708,23.1367,5396823.8956581,0
SLB.US,D,20000224,000000,23.1367,24.6332,23.0933,24.5531,16081329.942318,0
SLB.US,D,20000225,000000,24.48,24.8458,23.9927,24.0342,10138504.935159,0
SLB.US,D,20000228,000000,23.8948,25.1738,23.8731,24.8458,10086072.341401,0
SLB.US,D,20000229,000000,25.2905,26.5033,25.2183,26.4953,12806691.124092,0
SLB.US,D,20000301,000000,27.1981,29.4646,26.8987,27.6479,20796254.930213,0
SLB.US,D,20000302,000000,29.0583,30.2653,28.9239,29.2787,26716337.394679,0
SLB.US,D,20000303,000000,29.009,29.0386,27.4383,28.2063,17099483.398971,0
SLB.US,D,20000306,000000,27.8871,28.402,27.6854,27.7517,9805450.4691281,0
SLB.US,D,20000307,000000,27.9741,30.2653,27.9741,29.4863,13573650.723032,0
SLB.US,D,20000308,000000,27.6232,28.2893,27.2832,27.6479,12653936.995082,0
SLB.US,D,20000309,000000,27.2673,27.7299,26.6615,27.4887,10576158.505306,0
SLB.US,D,20000310,000000,27.3562,28.9644,27.3009,27.5125,8916236.1714044,0
SLB.US,D,20000313,000000,27.2673,28.8497,27.1092,27.9177,8935229.2651354,0
SLB.US,D,20000314,000000,27.5707,27.8614,26.7415,27.3562,8182440.8835768,0
SLB.US,D,20000315,000000,27.036,27.3266,26.3166,26.5033,7548973.2013445,0
SLB.US,D,20000316,000000,26.4123,27.2427,25.8884,27.0864,11201605.240054,0
SLB.US,D,20000317,000000,26.8185,27.4383,26.6111,26.6615,9129442.8299305,0
SLB.US,D,20000320,000000,26.6802,26.6802,24.903,25.1966,10695738.205964,0
SLB.US,D,20000321,000000,25.3053,26.6111,25.3053,25.8311,9124896.142495,0
SLB.US,D,20000322,000000,26.2779,28.2063,26.183,27.4887,11240661.831457,0
SLB.US,D,20000323,000000,27.8061,28.4771,27.1981,27.7299,8172279.1282135,0
SLB.US,D,20000324,000000,28.5206,28.9842,27.7814,28.0531,8044942.5400238,0
SLB.US,D,20000327,000000,27.7061,29.17,27.1981,28.5602,10259422.134881,0
SLB.US,D,20000328,000000,28.0739,28.8497,27.378,27.5707,8523530.461226,0
SLB.US,D,20000329,000000,27.1447,29.3875,27.1092,29.0949,10766627.679759,0
SLB.US,D,20000330,000000,29.6801,30.0843,27.8871,27.8871,8986591.454953,0
SLB.US,D,20000331,000000,28.3437,28.8053,27.4383,27.4383,6141583.2359421,0
SLB.US,D,20000403,000000,27.9741,29.3676,27.9741,29.1207,7703061.794245,0
SLB.US,D,20000404,000000,29.0583,29.6801,27.5342,28.402,13900015.670299,0
SLB.US,D,20000405,000000,28.3437,28.6728,26.183,26.4509,11681795.731996,0
SLB.US,D,20000406,000000,26.8759,27.3266,26.0011,26.8987,9413541.997423,0
SLB.US,D,20000407,000000,26.9323,27.9741,26.3392,26.4123,8082930.7509338,0
SLB.US,D,20000410,000000,25.8677,25.9666,25.2183,25.2183,8858986.7599163,0
SLB.US,D,20000411,000000,25.4892,26.2779,25.2905,26.1603,8842934.7477106,0
SLB.US,D,20000412,000000,26.3689,26.8759,25.9458,26.2779,8193680.1249478,0
SLB.US,D,20000413,000000,26.183,26.7039,25.7343,25.7343,6194819.1385168,0
SLB.US,D,20000414,000000,25.5999,26.7632,24.821,25.1738,7692355.7313961,0
SLB.US,D,20000417,000000,25.1738,25.247,23.9611,24.4998,7127103.5365561,0
SLB.US,D,20000418,000000,24.9782,26.5033,24.9258,26.5033,8505870.8196623,0
SLB.US,D,20000419,000000,26.4261,26.7039,25.6957,26.4509,6424076.7975246,0
SLB.US,D,20000420,000000,26.5448,26.7632,26.2937,26.3946,6883932.6497751,0
SLB.US,D,20000424,000000,26.7198,26.952,26.2779,26.6615,6717808.5887541,0
SLB.US,D,20000425,000000,26.8759,27.1684,26.4261,26.8759,7056743.1943878,0
SLB.US,D,20000426,000000,26.8403,27.8397,26.3392,27.7299,9089850.0248343,0
SLB.US,D,20000427,000000,27.8248,28.6561,27.2673,28.2063,10178633.953949,0
SLB.US,D,20000428,000000,27.8397,28.2449,27.3562,27.461,4586523.0543841,0
SLB.US,D,20000501,000000,27.378,27.4887,26.5033,26.8987,12344425.34539,0
SLB.US,D,20000502,000000,27.036,27.8871,26.9847,27.8248,10556365.13793,0
SLB.US,D,20000503,000000,27.461,27.7517,26.5606,27.036,9263736.0320069,0
SLB.US,D,20000504,000000,26.8987,27.7061,26.8987,27.2673,7199061.3908431,0
SLB.US,D,20000505,000000,27.1684,27.9591,26.9323,27.8397,4316603.198064,0
SLB.US,D,20000508,000000,27.7517,28.4771,27.1684,27.461,6153352.6206635,0
SLB.US,D,20000509,000000,27.4887,28.1322,27.2199,27.8614,5444175.6117342,0
SLB.US,D,20000510,000000,27.8397,27.9404,26.8987,27.5707,5667814.1559183,0
SLB.US,D,20000511,000000,27.4383,28.2063,27.4383,28.0215,4404351.0280533,0
SLB.US,D,20000512,000000,28.319,29.0386,27.8061,28.9041,6911485.939855,0
SLB.US,D,20000515,000000,28.6945,29.9736,28.6352,29.8391,7544156.3836139,0
SLB.US,D,20000516,000000,29.7551,29.8905,29.081,29.7028,7655174.8761989,0
SLB.US,D,20000517,000000,29.4409,30.2197,29.2787,29.7749,6924865.9891063,0
SLB.US,D,20000518,000000,28.9644,29.17,28.3655,28.9644,11125100.698333,0
SLB.US,D,20000519,000000,28.9041,29.2304,28.2676,28.402,9346395.9022467,0
SLB.US,D,20000522,000000,28.0531,28.1569,26.2779,26.3946,8522725.1289611,0
SLB.US,D,20000523,000000,26.5241,27.4166,26.2344,26.9727,8418925.2867661,0
SLB.US,D,20000524,000000,27.036,27.2199,26.1445,26.6318,5944157.447603,0
SLB.US,D,20000525,000000,26.6318,26.6318,24.8458,26.5606,15479689.072135,0
SLB.US,D,20000526,000000,26.7198,26.9727,25.3053,25.4892,5021501.6264048,0
SLB.US,D,20000530,000000,25.673,26.2779,25.3053,25.4655,8460927.0065896,0
SLB.US,D,20000531,000000,26.1445,26.8403,25.8677,26.3946,10677012.207355,0
SLB.US,D,20000601,000000,26.3946,26.6615,25.5574,26.2344,8534758.5736336,0
SLB.US,D,20000602,000000,26.1603,26.3166,24.9258,25.0217,10531218.739128,0
SLB.US,D,20000605,000000,26.0783,26.0783,24.8458,24.8458,9046246.7459964,0
