<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SO.US,D,20000103,000000,7.0273,7.10263,6.93157,6.93157,3837756.2294569,0
SO.US,D,20000104,000000,6.89123,7.04392,6.89123,7.00301,2383973.7278766,0
SO.US,D,20000105,000000,7.04392,7.42266,7.04392,7.36912,3176372.7942822,0
SO.US,D,20000106,000000,7.44434,7.52257,7.36912,7.38642,2661779.5061114,0
SO.US,D,20000107,000000,7.48176,7.55806,7.44434,7.52257,2841617.8347155,0
SO.US,D,20000110,000000,7.48176,7.55806,7.42266,7.46388,1841244.3667939,0
SO.US,D,20000111,000000,7.42266,7.48176,7.38642,7.40411,1407509.4911218,0
SO.US,D,20000112,000000,7.38642,7.59285,7.38642,7.54065,2091423.3921421,0
SO.US,D,20000113,000000,7.52257,7.54065,7.40411,7.44434,2187024.3042818,0
SO.US,D,20000114,000000,7.42266,7.46388,7.29312,7.34579,1735479.6905942,0
SO.US,D,20000118,000000,7.21556,7.25025,7.12119,7.12119,1544798.5045631,0
SO.US,D,20000119,000000,7.10263,7.34579,7.10263,7.29312,1450900.4704879,0
SO.US,D,20000120,000000,7.19719,7.29312,7.15695,7.25025,2033966.9486436,0
SO.US,D,20000121,000000,7.34579,7.54065,7.29312,7.46388,2614321.1690484,0
SO.US,D,20000124,000000,7.49886,7.69392,7.49886,7.65126,2623645.3267639,0
SO.US,D,20000125,000000,7.63435,7.72842,7.54065,7.72842,3637240.5367559,0
SO.US,D,20000126,000000,7.72842,7.80587,7.69392,7.76438,2496863.7397835,0
SO.US,D,20000127,000000,7.76438,7.88343,7.76438,7.78625,1991083.2314441,0
SO.US,D,20000128,000000,7.78625,7.84039,7.65126,7.71063,3252820.1866832,0
SO.US,D,20000131,000000,7.71063,7.84039,7.69392,7.82367,2153632.4602808,0
SO.US,D,20000201,000000,7.80587,7.88343,7.72842,7.72842,2349228.8417881,0
SO.US,D,20000202,000000,7.69392,7.74728,7.65126,7.66904,3603171.6572465,0
SO.US,D,20000203,000000,7.59984,7.81248,7.59984,7.68178,3450116.359467,0
SO.US,D,20000204,000000,7.75874,7.75874,7.50352,7.50352,2807209.4085226,0
SO.US,D,20000207,000000,7.46913,7.546,7.46913,7.50352,1309533.8100562,0
SO.US,D,20000208,000000,7.4872,7.69926,7.4872,7.546,1282073.7437233,0
SO.US,D,20000209,000000,7.52257,7.59984,7.46913,7.4872,2503645.4130899,0
SO.US,D,20000210,000000,7.4872,7.62317,7.4872,7.56427,2536694.6236193,0
SO.US,D,20000211,000000,7.58079,7.58079,7.4872,7.52257,2511268.7505996,0
SO.US,D,20000214,000000,7.52257,7.62317,7.4872,7.52257,1253603.2687748,0
SO.US,D,20000215,000000,7.52257,7.56427,7.46913,7.50352,2103632.6677382,0
SO.US,D,20000216,000000,7.50352,7.50352,7.35123,7.36912,4810837.3465288,0
SO.US,D,20000217,000000,7.36912,7.38642,7.21556,7.25637,5190510.2166082,0
SO.US,D,20000218,000000,7.21556,7.27552,7.07959,7.12119,2296350.1049411,0
SO.US,D,20000222,000000,7.13907,7.23354,7.12119,7.12119,3144514.0550038,0
SO.US,D,20000223,000000,7.09748,7.15695,7.02059,7.02059,3226549.562672,0
SO.US,D,20000224,000000,7.00301,7.06152,6.79065,6.80863,3724530.7865839,0
SO.US,D,20000225,000000,6.80863,6.92594,6.71417,6.71417,3651141.3721934,0
SO.US,D,20000228,000000,6.73215,7.04392,6.67287,7.00301,2542459.7147338,0
SO.US,D,20000229,000000,6.98542,6.98542,6.77307,6.85033,2385166.2569863,0
SO.US,D,20000301,000000,6.77307,6.80863,6.65498,6.77307,3566218.6887858,0
SO.US,D,20000302,000000,6.77307,6.86674,6.71417,6.80863,3231635.5604194,0
SO.US,D,20000303,000000,6.90921,6.90921,6.79065,6.80863,2611103.7069898,0
SO.US,D,20000306,000000,6.75479,6.75479,6.48393,6.54291,3131631.8596168,0
SO.US,D,20000307,000000,6.56109,6.59638,6.48393,6.57859,4098944.7987861,0
SO.US,D,20000308,000000,6.48393,6.63681,6.48393,6.51872,3335871.2476139,0
SO.US,D,20000309,000000,6.50181,6.54291,6.40724,6.50181,3839109.2715443,0
SO.US,D,20000310,000000,6.50181,6.56109,6.44291,6.51872,3108749.4999355,0
SO.US,D,20000313,000000,6.50181,6.57859,6.42513,6.57859,2343810.4998626,0
SO.US,D,20000314,000000,6.44291,6.46643,6.28936,6.34844,2675343.8816534,0
SO.US,D,20000315,000000,6.36603,6.77307,6.36603,6.73215,3324351.3546784,0
SO.US,D,20000316,000000,6.79065,7.19719,6.71417,7.02059,4190137.777616,0
SO.US,D,20000317,000000,7.02059,7.02059,6.73215,6.77307,3517065.7050933,0
SO.US,D,20000320,000000,6.69551,6.86674,6.69551,6.71417,2240587.2791427,0
SO.US,D,20000321,000000,6.69551,6.79065,6.56109,6.57859,1975829.3539192,0
SO.US,D,20000322,000000,6.6198,6.63681,6.34844,6.46643,2180241.6020461,0
SO.US,D,20000323,000000,6.46643,6.67287,6.44291,6.6198,1553614.3711826,0
SO.US,D,20000324,000000,6.56109,6.75479,6.56109,6.75479,2225157.4547,0
SO.US,D,20000327,000000,6.77307,6.9686,6.75479,6.80863,2001081.3378799,0
SO.US,D,20000328,000000,6.73215,6.85033,6.63681,6.73215,3631812.9344662,0
SO.US,D,20000329,000000,6.75479,6.88463,6.67287,6.71417,2064986.0815773,0
SO.US,D,20000330,000000,6.67287,6.75479,6.6198,6.69551,2449744.9494041,0
SO.US,D,20000331,000000,6.69551,6.73215,6.59638,6.71417,2074474.8679877,0
