<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STT.US,D,20000103,000000,27.0743,27.0743,25.386,25.8648,1694740.9459264,0
STT.US,D,20000104,000000,25.7735,25.7735,24.1569,24.4306,1721688.2608208,0
STT.US,D,20000105,000000,24.4306,25.2703,24.1971,24.872,1359817.4735432,0
STT.US,D,20000106,000000,24.8484,26.1011,24.7798,25.9148,1774284.2002681,0
STT.US,D,20000107,000000,26.1973,26.9595,26.0109,26.8457,1520735.8083991,0
STT.US,D,20000110,000000,26.6083,27.0056,26.5622,26.6858,1356158.9180995,0
STT.US,D,20000111,000000,26.7054,27.5167,26.6309,27.2117,1806729.0324398,0
STT.US,D,20000112,000000,26.8457,27.8159,26.8457,27.656,1684792.8148102,0
STT.US,D,20000113,000000,28.0984,28.4869,27.8827,28.3251,1852518.5704667,0
STT.US,D,20000114,000000,28.6488,29.4355,28.3251,29.3197,1598450.2947091,0
STT.US,D,20000118,000000,29.254,29.254,27.8159,28.3741,2583843.3141346,0
STT.US,D,20000119,000000,28.3741,28.739,28.1416,28.3251,1415552.0845457,0
STT.US,D,20000120,000000,28.3251,28.3251,27.6324,28.1671,1396187.9387643,0
STT.US,D,20000121,000000,28.3505,28.6488,27.8827,28.5321,1724569.0291919,0
STT.US,D,20000124,000000,28.5585,28.6939,27.7237,27.8827,1246521.5222668,0
STT.US,D,20000125,000000,27.8827,28.9323,27.8395,28.9098,1527020.2871706,0
STT.US,D,20000126,000000,28.739,29.9701,28.5801,29.9701,1058132.9304872,0
STT.US,D,20000127,000000,30.1998,30.6902,29.9467,30.6902,1652350.0213989,0
STT.US,D,20000128,000000,29.9947,30.084,29.0696,29.208,1669356.3408383,0
STT.US,D,20000131,000000,28.8822,29.8584,28.739,29.7406,1943567.5688303,0
STT.US,D,20000201,000000,29.6739,30.5735,29.3197,30.4617,1380231.5809037,0
STT.US,D,20000202,000000,30.3684,30.6225,29.7867,30.5048,1580392.9943104,0
STT.US,D,20000203,000000,30.5048,31.0414,29.8809,31.0414,1332866.0811282,0
STT.US,D,20000204,000000,31.063,31.318,29.6974,29.9701,1491432.7059231,0
STT.US,D,20000207,000000,30.0614,30.134,29.5602,29.6974,624570.15496662,0
STT.US,D,20000208,000000,30.0378,31.2219,29.9034,31.2219,1605252.6186089,0
STT.US,D,20000209,000000,30.6902,30.6902,29.8073,29.8584,843052.88823702,0
STT.US,D,20000210,000000,29.7642,29.9241,29.0245,29.3453,974141.10106702,0
STT.US,D,20000211,000000,29.4355,29.9467,28.9755,29.1363,776590.32028543,0
STT.US,D,20000214,000000,29.047,29.2963,28.5095,29.208,1205704.5207276,0
STT.US,D,20000215,000000,29.2963,29.8338,28.9755,29.7406,1264050.7837354,0
STT.US,D,20000216,000000,29.4817,29.6739,29.208,29.4355,750167.98618053,0
STT.US,D,20000217,000000,29.5366,29.7406,28.4869,28.8185,845929.57908749,0
STT.US,D,20000218,000000,28.5585,28.6252,27.2567,27.4726,1832368.4825713,0
STT.US,D,20000222,000000,27.447,28.4634,27.349,28.4212,1799925.6891599,0
STT.US,D,20000223,000000,27.9984,28.0671,27.4961,27.4961,1317170.6845921,0
STT.US,D,20000224,000000,27.0743,27.2567,26.3317,26.934,1813793.3370442,0
STT.US,D,20000225,000000,26.934,27.6324,26.3317,26.6083,2126992.7985435,0
STT.US,D,20000228,000000,26.6083,27.9748,26.6083,27.3254,1765380.9338301,0
STT.US,D,20000229,000000,27.2351,27.447,26.6083,27.0252,1267722.5911214,0
STT.US,D,20000301,000000,26.934,26.984,26.4249,26.8006,1098686.9319416,0
STT.US,D,20000302,000000,26.8457,26.934,26.4916,26.7761,546594.70733213,0
STT.US,D,20000303,000000,27.2117,27.4245,26.728,26.7505,1315075.858335,0
STT.US,D,20000306,000000,26.1473,26.7505,26.06,26.1237,1056041.1623707,0
STT.US,D,20000307,000000,25.6813,25.8216,24.4306,24.4306,2102395.1549497,0
STT.US,D,20000308,000000,24.3363,24.3609,23.1602,23.5045,3559810.1250928,0
STT.US,D,20000309,000000,23.5045,24.7346,23.5045,24.7121,1381275.4262018,0
STT.US,D,20000310,000000,24.8966,25.2164,24.5502,25.078,1556062.4283222,0
STT.US,D,20000313,000000,24.4306,26.06,24.3138,24.9642,1630107.1460065,0
STT.US,D,20000314,000000,24.8966,25.386,24.3609,24.5983,786013.47061204,0
