<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
T.US,D,20000103,000000,11.22,11.3196,10.7758,10.8585,25066598.523721,0
T.US,D,20000104,000000,10.8732,11.0326,10.0498,10.2247,31047865.998075,0
T.US,D,20000105,000000,10.3961,10.4538,10.2679,10.3806,39348171.957873,0
T.US,D,20000106,000000,10.3491,10.453,10.0176,10.1611,30801673.365641,0
T.US,D,20000107,000000,10.3507,10.3945,10.0761,10.2503,25337170.34411,0
T.US,D,20000110,000000,10.3953,10.4538,10.2789,10.3953,30644722.607637,0
T.US,D,20000111,000000,10.3806,10.4384,10.1778,10.2503,27865034.706411,0
T.US,D,20000112,000000,10.1084,10.1201,9.6429,9.71389,38391244.422915,0
T.US,D,20000113,000000,9.84484,9.97444,9.4658,9.48043,35515723.16633,0
T.US,D,20000114,000000,9.57997,9.75558,9.29161,9.75558,42574278.289424,0
T.US,D,20000118,000000,9.78341,9.9994,9.49287,9.55069,42303481.014153,0
T.US,D,20000119,000000,9.52288,9.52288,9.29235,9.42116,43965901.967216,0
T.US,D,20000120,000000,9.48116,9.65461,9.30699,9.52435,43391087.664541,0
T.US,D,20000121,000000,9.96127,10.0769,9.75635,9.98908,68659272.913807,0
T.US,D,20000124,000000,10.0901,10.1039,9.50825,9.75558,42970813.802219,0
T.US,D,20000125,000000,9.52215,9.55215,8.95497,9.29161,68643344.867962,0
T.US,D,20000126,000000,9.40652,9.40652,9.21843,9.29161,32989329.04314,0
T.US,D,20000127,000000,9.30699,9.36553,9.06108,9.06108,29787219.309439,0
T.US,D,20000128,000000,9.13427,9.39554,9.06108,9.11817,37233823.276994,0
T.US,D,20000131,000000,9.17745,10.1084,9.07425,9.96265,48445011.383694,0
T.US,D,20000201,000000,9.98908,9.98908,9.69925,9.84563,38525099.036205,0
T.US,D,20000202,000000,9.98829,10.0198,9.87196,9.87196,28736499.810603,0
T.US,D,20000203,000000,9.98682,10.0307,9.59533,9.75558,33168860.81561,0
T.US,D,20000204,000000,9.75558,9.84425,9.65096,9.75558,29161289.602541,0
T.US,D,20000207,000000,9.61217,9.82588,9.53752,9.72775,24989307.12445,0
T.US,D,20000208,000000,9.8698,9.98682,9.7549,9.76955,24412448.697509,0
T.US,D,20000209,000000,9.82735,9.94663,9.75635,9.9035,29311027.1707,0
T.US,D,20000210,000000,9.84484,9.85889,9.74317,9.78564,22175478.522058,0
T.US,D,20000211,000000,9.75635,9.77168,9.23234,9.39408,24002372.227838,0
T.US,D,20000214,000000,9.17745,9.64217,9.16427,9.49873,36409065.592476,0
T.US,D,20000215,000000,9.29454,9.52435,9.18842,9.45262,35262568.760404,0
T.US,D,20000216,000000,9.38017,9.45262,9.00033,9.07279,36482276.941571,0
T.US,D,20000217,000000,9.04425,9.29161,8.82469,9.29161,39927674.355708,0
T.US,D,20000218,000000,8.83933,8.88543,8.36069,8.88543,59939373.555514,0
T.US,D,20000222,000000,8.65198,8.66516,8.26116,8.47488,60510342.827647,0
T.US,D,20000223,000000,8.36069,8.47414,8.08552,8.30215,55442939.639312,0
T.US,D,20000224,000000,8.23116,8.33142,8.08478,8.24287,55497129.428296,0
T.US,D,20000225,000000,8.35997,8.51951,8.11334,8.23116,48903802.504689,0
T.US,D,20000228,000000,8.30508,8.71198,8.30508,8.59562,48488535.107149,0
T.US,D,20000229,000000,8.64026,8.8569,8.62196,8.76688,36939436.589054,0
T.US,D,20000301,000000,9.30406,9.75558,9.23088,9.75558,65760801.716584,0
T.US,D,20000302,000000,9.98987,10.6873,9.94663,10.5131,64467354.758536,0
T.US,D,20000303,000000,10.5702,10.688,10.2679,10.584,38268325.054621,0
T.US,D,20000306,000000,10.3491,10.3491,9.93052,10.0747,27703447.77619,0
T.US,D,20000307,000000,10.1172,10.336,9.72775,9.72775,29485616.698868,0
T.US,D,20000308,000000,9.72707,9.77023,9.6107,9.66999,29283674.711084,0
T.US,D,20000309,000000,9.61437,9.67145,9.44018,9.65461,25699045.926311,0
T.US,D,20000310,000000,9.65096,9.87049,9.6246,9.75558,31903475.475263,0
T.US,D,20000313,000000,9.57924,10.2181,9.53678,10.1457,27890733.830223,0
T.US,D,20000314,000000,10.1625,10.1625,9.75635,9.78564,28564406.68286,0
T.US,D,20000315,000000,9.90203,9.98829,9.82588,9.87196,30288464.267993,0
T.US,D,20000316,000000,10.2094,10.5716,9.97729,10.4853,40936054.794017,0
T.US,D,20000317,000000,10.5394,10.8724,10.4816,10.6259,39045394.249127,0
T.US,D,20000320,000000,10.4831,10.6294,10.2657,10.3242,19950540.805365,0
T.US,D,20000321,000000,10.3521,10.5431,10.1778,10.5131,18928447.244631,0
T.US,D,20000322,000000,10.3096,10.4399,9.98908,10.063,21723891.026155,0
T.US,D,20000323,000000,9.85948,10.2225,9.84632,10.1201,23803816.16247,0
T.US,D,20000324,000000,10.0029,10.1479,9.88876,9.98908,22081470.66805,0
T.US,D,20000327,000000,10.0213,10.137,9.86027,10.0353,25303158.083907,0
T.US,D,20000328,000000,9.91441,10.0754,9.85889,9.87196,26969286.061793,0
T.US,D,20000329,000000,9.97444,10.1911,9.74171,9.81706,29355070.12358,0
T.US,D,20000330,000000,9.98761,10.0754,9.65168,9.66999,38196732.881499,0
T.US,D,20000331,000000,9.87196,9.98829,9.75635,9.78564,32880512.219341,0
T.US,D,20000403,000000,9.87196,10.4252,9.85889,10.3953,33198776.628918,0
T.US,D,20000404,000000,10.453,10.9602,10.3938,10.6851,46446664.022202,0
T.US,D,20000405,000000,10.6851,10.9463,10.6551,10.7553,36776783.872115,0
T.US,D,20000406,000000,10.7575,11.0502,10.7429,10.887,24837902.556555,0
T.US,D,20000407,000000,10.9778,11.0224,10.5833,10.8322,22120956.69952,0
T.US,D,20000410,000000,10.7414,10.8454,10.6419,10.8022,18081717.957025,0
T.US,D,20000411,000000,10.8161,11.2705,10.7568,11.0356,27928104.684978,0
T.US,D,20000412,000000,11.1958,11.4462,10.977,10.977,33343700.393739,0
T.US,D,20000413,000000,11.0495,11.0495,10.7422,10.977,24602303.570807,0
T.US,D,20000414,000000,10.6565,10.8921,9.81347,9.95685,32052140.424738,0
T.US,D,20000417,000000,10.1611,10.175,9.5463,9.78118,32138758.824175,0
T.US,D,20000418,000000,9.60631,9.79369,9.44384,9.69121,28888804.831634,0
T.US,D,20000419,000000,9.67877,9.95538,9.60631,9.79437,30697890.334488,0
T.US,D,20000420,000000,9.81046,9.89829,9.56313,9.61949,16596112.386698,0
T.US,D,20000424,000000,9.61949,9.91077,9.57704,9.86685,21007541.613864,0
T.US,D,20000425,000000,9.99792,10.6097,9.91008,10.494,39946314.692109,0
T.US,D,20000426,000000,10.5116,10.5563,10.1611,10.2781,31881599.5197,0
T.US,D,20000427,000000,10.2181,10.3352,10.0433,10.1026,30662336.782725,0
T.US,D,20000428,000000,10.1611,10.3491,10.1026,10.2335,31024156.342803,0
T.US,D,20000501,000000,10.3074,10.5394,10.202,10.4216,30571408.77905,0
T.US,D,20000502,000000,10.3938,10.3938,9.75199,9.89829,30837041.087924,0
T.US,D,20000503,000000,9.88139,9.97071,9.73803,9.79437,20317261.617947,0
T.US,D,20000504,000000,9.8156,9.8156,9.53532,9.59241,19373950.191495,0
T.US,D,20000505,000000,9.58948,10.0871,9.58948,10.0425,19994348.73861,0
T.US,D,20000508,000000,9.95754,10.0293,9.78274,10.0169,17120760.928441,0
T.US,D,20000509,000000,9.89829,10.1589,9.78118,9.8808,20612496.836081,0
T.US,D,20000510,000000,9.9261,10.7414,9.86616,10.5394,35532741.593972,0
T.US,D,20000511,000000,10.5848,10.7341,10.5578,10.644,22093456.669437,0
