<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGNA.US,D,20000103,000000,36.3634,36.9613,35.6797,35.7665,1380192.403788,0
TGNA.US,D,20000104,000000,34.9991,35.6797,34.942,35.1146,1270361.8983104,0
TGNA.US,D,20000105,000000,35.1146,35.1708,34.431,34.4872,1122277.9535,0
TGNA.US,D,20000106,000000,34.4872,34.5444,33.7208,34.1458,1140871.9533474,0
TGNA.US,D,20000107,000000,34.5444,34.5444,33.7208,34.1154,1182902.5840134,0
TGNA.US,D,20000110,000000,35.1975,36.0201,34.7732,35.5959,2015380.9559854,0
TGNA.US,D,20000111,000000,35.5959,37.0727,34.9991,35.3957,2176754.0047104,0
TGNA.US,D,20000112,000000,35.1975,35.6493,34.5444,34.5444,1734861.1408191,0
TGNA.US,D,20000113,000000,34.7427,35.9086,34.7427,35.1392,1155023.7491095,0
TGNA.US,D,20000114,000000,34.347,34.8038,33.6644,33.6644,1126720.1575852,0
TGNA.US,D,20000118,000000,33.7208,33.7208,31.8178,33.0707,1888846.0600659,0
TGNA.US,D,20000119,000000,33.4662,33.4662,32.6149,32.8131,1337109.5120905,0
TGNA.US,D,20000120,000000,32.6968,33.2689,32.6416,33.0707,1572627.4277244,0
TGNA.US,D,20000121,000000,33.3203,33.8322,33.2108,33.3517,1540311.4574301,0
TGNA.US,D,20000124,000000,33.1209,33.1495,31.8178,32.0181,1843430.5550411,0
TGNA.US,D,20000125,000000,31.9579,32.0744,31.5358,31.6452,2355884.7186478,0
TGNA.US,D,20000126,000000,31.3641,31.9313,31.3069,31.3641,3184336.5195048,0
TGNA.US,D,20000127,000000,31.3641,31.8178,31.3641,31.7883,1648252.3535023,0
TGNA.US,D,20000128,000000,31.6738,31.7617,31.1095,31.1649,2478814.7588561,0
TGNA.US,D,20000131,000000,31.3641,31.592,31.1095,31.592,1917998.1510926,0
TGNA.US,D,20000201,000000,31.7617,32.7244,31.5358,31.8178,1998898.5743739,0
TGNA.US,D,20000202,000000,31.734,32.5577,31.7054,32.4422,1889909.472226,0
TGNA.US,D,20000203,000000,32.4422,32.6968,31.9876,32.6416,2189000.9849828,0
TGNA.US,D,20000204,000000,32.6416,32.7856,32.4186,32.756,1196217.0314016,0
TGNA.US,D,20000207,000000,32.9246,32.9246,31.6176,31.7054,3228063.1354366,0
TGNA.US,D,20000208,000000,31.7883,32.1878,31.7054,32.1038,1252825.2281894,0
TGNA.US,D,20000209,000000,32.3003,32.5261,31.592,31.592,1914404.4465098,0
TGNA.US,D,20000210,000000,31.592,31.878,31.1372,31.2506,2287862.8350058,0
TGNA.US,D,20000211,000000,31.1915,31.1915,30.5405,30.7417,3661100.9895869,0
TGNA.US,D,20000214,000000,30.71,30.9123,30.4546,30.5118,2221957.6382944,0
TGNA.US,D,20000215,000000,29.9979,29.9979,28.8062,29.3182,4077642.2697805,0
TGNA.US,D,20000216,000000,29.2333,29.3478,28.6356,28.9108,2375528.952049,0
TGNA.US,D,20000217,000000,29.2333,29.5185,29.2048,29.3478,1794208.4602536,0
TGNA.US,D,20000218,000000,29.0903,29.403,28.8359,29.0627,4545516.2492585,0
TGNA.US,D,20000222,000000,29.0627,29.6901,28.9779,29.1505,2210556.1163075,0
TGNA.US,D,20000223,000000,29.1179,29.1751,28.238,28.5793,1870896.7981916,0
TGNA.US,D,20000224,000000,28.6356,28.6623,28.0121,28.2115,2796304.6198428,0
TGNA.US,D,20000225,000000,28.4935,28.609,28.0684,28.0684,1698524.6818434,0
TGNA.US,D,20000228,000000,27.9529,29.1179,27.8701,29.0064,1682686.024466,0
TGNA.US,D,20000229,000000,29.0903,29.6596,29.0903,29.6289,1870038.1612997,0
TGNA.US,D,20000301,000000,29.6388,29.8075,29.5273,29.8075,2010520.0777133,0
TGNA.US,D,20000302,000000,29.5273,30.2977,29.4701,30.0678,1670428.9068041,0
TGNA.US,D,20000303,000000,29.6388,30.5285,29.6388,30.2977,2329475.8052237,0
TGNA.US,D,20000306,000000,30.2415,30.2977,29.8696,30.0374,1211427.1706291,0
TGNA.US,D,20000307,000000,29.9249,30.2415,29.8075,29.9249,1310701.6124054,0
TGNA.US,D,20000308,000000,29.8075,29.8075,29.41,29.7,1294221.2582717,0
TGNA.US,D,20000309,000000,29.5806,30.1252,29.5018,30.0678,863102.41195633,0
TGNA.US,D,20000310,000000,30.0678,30.1833,29.8696,29.8973,1901727.6409219,0
TGNA.US,D,20000313,000000,30.2119,30.6124,29.8075,30.0975,1997422.5704606,0
TGNA.US,D,20000314,000000,30.0975,30.7259,29.8696,30.0678,1971444.4960908,0
TGNA.US,D,20000315,000000,29.7267,30.2977,29.5018,30.2977,3027810.1567067,0
TGNA.US,D,20000316,000000,30.3559,32.6574,30.0975,32.2893,2210138.4558595,0
TGNA.US,D,20000317,000000,32.2893,32.2893,31.7242,32.0951,2112330.894346,0
TGNA.US,D,20000320,000000,32.0951,32.2055,31.7507,32.2055,1240992.8671481,0
TGNA.US,D,20000321,000000,32.0073,32.2361,31.809,32.1464,1322325.1432226,0
TGNA.US,D,20000322,000000,32.0359,32.4886,31.8929,32.4373,1799918.8517671,0
TGNA.US,D,20000323,000000,32.3467,33.0351,32.1769,32.8892,1400688.1779084,0
TGNA.US,D,20000324,000000,33.0924,33.7168,32.6327,33.631,2195556.8347818,0
TGNA.US,D,20000327,000000,33.2866,33.6861,32.5172,32.6574,1226207.4845412,0
TGNA.US,D,20000328,000000,32.5478,33.5175,32.4078,32.8892,1953907.8259697,0
TGNA.US,D,20000329,000000,32.8575,32.8575,31.7804,31.7804,2534376.7770459,0
TGNA.US,D,20000330,000000,31.8929,32.3761,31.7242,32.0951,1925596.1245337,0
TGNA.US,D,20000331,000000,32.4078,32.459,31.9205,32.0951,1452435.496424,0
TGNA.US,D,20000403,000000,32.2055,32.8024,32.0359,32.6899,1426033.6791725,0
TGNA.US,D,20000404,000000,32.8024,33.6861,31.4322,32.0654,1871312.4311617,0
TGNA.US,D,20000405,000000,32.1198,32.2055,31.664,31.948,1984533.8934319,0
TGNA.US,D,20000406,000000,31.948,32.0951,31.664,31.7507,2111911.2064202,0
TGNA.US,D,20000407,000000,31.8672,31.8672,31.2635,31.4607,1289578.3338741,0
TGNA.US,D,20000410,000000,31.809,31.809,30.8669,31.4894,1621001.0230095,0
TGNA.US,D,20000411,000000,31.1796,31.9205,31.0357,31.6383,1609174.7444018,0
TGNA.US,D,20000412,000000,31.664,32.0359,31.0671,31.0958,1809632.4983998,0
