<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGT.US,D,20000103,000000,25.671,25.847,24.9588,25.5991,3962828.3942235,0
TGT.US,D,20000104,000000,24.6904,25.1123,24.3795,24.4966,5326031.1861697,0
TGT.US,D,20000105,000000,24.4966,24.8487,23.8033,23.9379,5974971.9253237,0
TGT.US,D,20000106,000000,23.4521,23.5368,22.63,22.8069,11258834.286498,0
TGT.US,D,20000107,000000,22.7381,24.0451,22.6662,23.9803,6067836.0682115,0
TGT.US,D,20000110,000000,23.6252,23.9803,23.2888,23.5151,3541773.5815547,0
TGT.US,D,20000111,000000,23.4718,24.3372,23.4521,24.2251,5230404.5246554,0
TGT.US,D,20000112,000000,24.2714,24.4219,23.8425,23.9566,4405935.5685002,0
TGT.US,D,20000113,000000,24.5546,24.8634,24.3146,24.5153,6999780.9284546,0
TGT.US,D,20000114,000000,24.8634,25.0258,24.4671,24.6058,4031448.0554598,0
TGT.US,D,20000118,000000,23.9803,24.3372,23.8947,24.1632,2686712.553102,0
TGT.US,D,20000119,000000,24.1849,25.5126,23.8033,24.8487,4721173.8184128,0
TGT.US,D,20000120,000000,24.8487,24.9372,23.8033,24.0451,4144976.6917461,0
TGT.US,D,20000121,000000,24.4219,24.5153,22.9112,23.0223,7407059.7511088,0
TGT.US,D,20000124,000000,23.2673,23.5368,22.4725,22.5571,7763360.5984625,0
TGT.US,D,20000125,000000,22.9112,23.2466,22.3408,23.1384,6561362.003492,0
TGT.US,D,20000126,000000,23.095,24.3372,23.095,24.1976,7014385.5723818,0
TGT.US,D,20000127,000000,24.1395,24.1632,23.3784,23.9144,6485034.3357386,0
TGT.US,D,20000128,000000,23.9566,23.9566,22.383,22.5108,6435157.5042261,0
TGT.US,D,20000131,000000,22.6515,23.5368,22.5108,23.3999,4254096.6858667,0
TGT.US,D,20000201,000000,23.4521,24.1976,23.1384,23.9566,3776002.0149194,0
