<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TKO.US,D,20001025,000000,6.58373,6.80127,6.55645,6.61101,0,0
TKO.US,D,20001026,000000,6.69256,6.71973,6.55645,6.69256,204234,0
TKO.US,D,20001027,000000,6.7471,6.82852,6.71973,6.80127,184936,0
TKO.US,D,20001030,000000,6.82852,6.82852,6.55645,6.61101,264424,0
TKO.US,D,20001031,000000,6.61101,6.61101,6.55645,6.58373,316804,0
TKO.US,D,20001101,000000,6.55645,6.58373,6.47482,6.52936,95340,0
TKO.US,D,20001102,000000,6.52936,6.58373,6.50212,6.52936,79718,0
TKO.US,D,20001103,000000,6.52936,6.61101,6.44758,6.55645,82474.8,0
TKO.US,D,20001106,000000,6.61101,7.01899,6.58373,6.96459,25500.5,0
TKO.US,D,20001107,000000,7.01899,7.07337,6.80127,6.80127,90745.3,0
TKO.US,D,20001108,000000,6.82852,6.85566,6.77411,6.82852,55595.8,0
TKO.US,D,20001109,000000,6.52936,6.52936,6.31165,6.42038,35608.9,0
TKO.US,D,20001113,000000,6.09402,6.09402,5.90362,6.06677,91893.9,0
TKO.US,D,20001114,000000,6.12124,6.12124,6.03956,6.06677,43879.3,0
TKO.US,D,20001115,000000,6.06677,6.09402,6.03956,6.03956,192058,0
TKO.US,D,20001116,000000,6.01237,6.01237,5.76749,5.8492,129340,0
TKO.US,D,20001117,000000,5.90362,5.90362,5.79462,5.82195,121529,0
TKO.US,D,20001120,000000,5.8492,5.87628,5.68595,5.71294,36068.3,0
TKO.US,D,20001121,000000,5.71294,5.76749,5.68595,5.71294,78799.1,0
TKO.US,D,20001122,000000,5.76749,5.82195,5.65885,5.82195,70298.9,0
TKO.US,D,20001124,000000,5.82195,6.09402,5.79462,6.09402,455564,0
TKO.US,D,20001127,000000,6.09402,6.14831,5.98525,6.14831,38365.7,0
TKO.US,D,20001128,000000,6.09402,6.52936,6.09402,6.42038,120840,0
TKO.US,D,20001129,000000,6.44758,6.50212,6.25716,6.31165,299344,0
TKO.US,D,20001130,000000,6.25716,6.28444,5.8492,5.90362,64096,0
TKO.US,D,20001201,000000,5.95796,6.06677,5.63157,5.63157,97637.3,0
TKO.US,D,20001204,000000,5.68595,5.74032,5.68595,5.71294,96948.1,0
TKO.US,D,20001205,000000,5.76749,5.87628,5.74032,5.87628,66393.4,0
TKO.US,D,20001206,000000,5.8492,6.23004,5.82195,6.01237,43649.6,0
TKO.US,D,20001207,000000,6.03956,6.31165,6.03956,6.31165,79718,0
TKO.US,D,20001208,000000,6.36606,6.77411,6.36606,6.61101,88218.2,0
TKO.US,D,20001211,000000,6.6382,6.85566,6.6382,6.85566,163801,0
TKO.US,D,20001212,000000,6.85566,6.93737,6.7471,6.7471,52839,0
TKO.US,D,20001213,000000,6.77411,6.77411,6.6382,6.6382,108664,0
TKO.US,D,20001214,000000,6.69256,6.69256,6.47482,6.50212,58812.1,0
TKO.US,D,20001215,000000,6.55645,6.55645,6.36606,6.44758,26649.2,0
TKO.US,D,20001218,000000,6.39317,6.39317,6.12124,6.28444,95340,0
TKO.US,D,20001219,000000,6.3388,6.3388,6.09402,6.12124,62947.3,0
TKO.US,D,20001220,000000,5.87628,5.87628,5.71294,5.8492,39054.9,0
TKO.US,D,20001221,000000,5.82195,5.82195,5.577,5.60431,227667,0
TKO.US,D,20001222,000000,5.63157,5.93063,5.63157,5.87628,187693,0
TKO.US,D,20001226,000000,5.93063,6.31165,5.90362,6.28444,179193,0
TKO.US,D,20001227,000000,6.3388,6.58373,6.28444,6.47482,187234,0
TKO.US,D,20001228,000000,6.50212,6.66533,6.44758,6.66533,263046,0
TKO.US,D,20001229,000000,6.7471,7.04614,6.52936,6.96459,342305,0
TKO.US,D,20010102,000000,6.99168,7.12781,6.7471,6.96459,498065,0
TKO.US,D,20010103,000000,6.93737,7.50879,6.91023,7.50879,149557,0
TKO.US,D,20010104,000000,7.39984,7.45429,7.29092,7.42699,203545,0
TKO.US,D,20010105,000000,7.45429,7.83506,7.45429,7.7263,123367,0
TKO.US,D,20010108,000000,7.88943,8.05278,7.56304,7.80806,347359,0
TKO.US,D,20010109,000000,7.80806,7.80806,6.91023,7.50879,192747,0
TKO.US,D,20010110,000000,7.61739,7.61739,7.50879,7.59029,169084,0
TKO.US,D,20010111,000000,7.61739,7.75351,7.59029,7.75351,141057,0
TKO.US,D,20010112,000000,7.75351,7.80806,7.67202,7.80806,196193,0
