<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UIS.US,D,20000103,000000,320,324.4,309.4,313.8,149070,0
UIS.US,D,20000104,000000,304.4,310,295.6,298.8,220780,0
UIS.US,D,20000105,000000,298.1,301.9,278.8,290,314540,0
UIS.US,D,20000106,000000,294.4,296.9,283.1,291.9,169760,0
UIS.US,D,20000107,000000,287.5,293.1,285,286.9,182830,0
UIS.US,D,20000110,000000,295,305.6,289.4,300,193930,0
UIS.US,D,20000111,000000,296.2,301.9,295,299.4,164100,0
UIS.US,D,20000112,000000,300.6,305.6,295,302.5,147290,0
UIS.US,D,20000113,000000,306.2,306.9,293.8,296.2,161630,0
UIS.US,D,20000114,000000,295,308.8,291.2,307.5,271520,0
UIS.US,D,20000118,000000,302.5,302.5,287.5,294.4,291280,0
UIS.US,D,20000119,000000,305,306.9,295.6,301.2,244740,0
UIS.US,D,20000120,000000,306.2,336.2,304.4,333.8,453300,0
UIS.US,D,20000121,000000,334.4,342.5,328.8,338.8,327430,0
UIS.US,D,20000124,000000,335,360.6,334.4,350.6,316950,0
UIS.US,D,20000125,000000,349.4,349.4,327.5,336.2,198350,0
UIS.US,D,20000126,000000,333.8,338.1,322.5,326.2,152050,0
UIS.US,D,20000127,000000,330,333.1,308.8,327.5,182020,0
UIS.US,D,20000128,000000,325,325,308.8,310.6,132430,0
UIS.US,D,20000131,000000,308.1,323.1,301.9,318.8,109390,0
UIS.US,D,20000201,000000,322.5,334.4,320,333.8,106410,0
UIS.US,D,20000202,000000,333.8,334.4,320,330,150970,0
UIS.US,D,20000203,000000,330,334.4,317.5,330.6,99020,0
UIS.US,D,20000204,000000,327.5,329.4,320,322.5,140390,0
UIS.US,D,20000207,000000,321.9,331.9,320,322.5,89610,0
UIS.US,D,20000208,000000,328.8,337.5,321.9,337.5,170140,0
UIS.US,D,20000209,000000,335,335,320,320,139430,0
UIS.US,D,20000210,000000,321.2,325,311.9,315.6,128910,0
UIS.US,D,20000211,000000,315,315,302.5,309.4,214260,0
UIS.US,D,20000214,000000,309.4,310,305.6,308.1,63860,0
UIS.US,D,20000215,000000,305.6,306.9,296.2,302.5,90700,0
UIS.US,D,20000216,000000,310.6,343.1,310.6,342.5,493000,0
UIS.US,D,20000217,000000,332.5,351.2,331.2,348.1,271620,0
UIS.US,D,20000218,000000,345.6,346.2,324.4,327.5,174490,0
UIS.US,D,20000222,000000,326.2,334.4,315.6,328.1,159550,0
UIS.US,D,20000223,000000,327.5,330.6,322.5,325,117830,0
UIS.US,D,20000224,000000,325,326.2,308.8,312.5,186970,0
UIS.US,D,20000225,000000,312.5,314.4,307.5,310.6,220520,0
UIS.US,D,20000228,000000,311.2,313.1,305.6,311.9,143330,0
UIS.US,D,20000229,000000,316.2,316.2,298.8,298.8,212880,0
UIS.US,D,20000301,000000,298.8,309.4,298.1,300.6,172570,0
UIS.US,D,20000302,000000,275,300,255.6,295.6,612000,0
UIS.US,D,20000303,000000,295.6,295.6,278.1,280,373290,0
UIS.US,D,20000306,000000,280,282.5,266.9,268.1,251560,0
UIS.US,D,20000307,000000,272.5,277.5,266.9,271.9,241190,0
UIS.US,D,20000308,000000,270.6,277.5,266.2,267.5,161190,0
UIS.US,D,20000309,000000,265,294.4,261.2,288.8,227280,0
UIS.US,D,20000310,000000,285,285,268.1,269.4,220830,0
UIS.US,D,20000313,000000,265,278.8,262.5,277.5,171960,0
UIS.US,D,20000314,000000,275,280,259.4,261.2,239180,0
UIS.US,D,20000315,000000,260.6,263.8,251.2,260,172800,0
UIS.US,D,20000316,000000,258.1,268.8,251.9,267.5,215300,0
UIS.US,D,20000317,000000,265,269.4,263.1,265,217880,0
UIS.US,D,20000320,000000,260,263.8,249.4,250.6,274190,0
UIS.US,D,20000321,000000,250,263.8,242.5,261.9,317390,0
UIS.US,D,20000322,000000,266.2,277.5,265.6,277.5,304780,0
UIS.US,D,20000323,000000,272.5,274.4,265,266.2,188700,0
UIS.US,D,20000324,000000,260,265.6,253.1,253.1,176610,0
UIS.US,D,20000327,000000,299.4,325,275,278.8,755430,0
UIS.US,D,20000328,000000,285,286.2,273.1,278.1,523520,0
UIS.US,D,20000329,000000,280.6,281.2,268.1,269.4,303290,0
UIS.US,D,20000330,000000,266.2,281.2,257.5,261.2,291210,0
UIS.US,D,20000331,000000,267.5,269.4,255,256.9,185920,0
UIS.US,D,20000403,000000,260,266.2,251.9,254.4,208990,0
UIS.US,D,20000404,000000,220,241.9,215,232.5,1178780,0
UIS.US,D,20000405,000000,228.8,240,224.4,235.6,430060,0
UIS.US,D,20000406,000000,242.5,251.9,238.1,250,192400,0
UIS.US,D,20000407,000000,250,260,246.2,251.2,249670,0
UIS.US,D,20000410,000000,246.2,250,240,245.6,168100,0
UIS.US,D,20000411,000000,243.1,244.4,237.5,240.6,103640,0
UIS.US,D,20000412,000000,241.2,247.5,231.2,236.2,208720,0
UIS.US,D,20000413,000000,243.8,246.9,222.5,225,528430,0
UIS.US,D,20000414,000000,222.5,223.8,195,195,447380,0
UIS.US,D,20000417,000000,206.2,223.1,200,217.5,368660,0
UIS.US,D,20000418,000000,222.5,246.2,220,241.7,294140,0
UIS.US,D,20000419,000000,247.5,248.1,235,237.5,255090,0
UIS.US,D,20000420,000000,240,244.4,231.2,235.6,108280,0
UIS.US,D,20000424,000000,226.2,230.6,218.1,225,142780,0
UIS.US,D,20000425,000000,230,240,229.4,235,202230,0
UIS.US,D,20000426,000000,235.6,253.8,228.8,240.3,391910,0
UIS.US,D,20000427,000000,230,236.9,227.5,233.1,207450,0
UIS.US,D,20000428,000000,233.8,239.4,231.2,231.9,104530,0
UIS.US,D,20000501,000000,236.9,248.1,235.6,246.9,212110,0
UIS.US,D,20000502,000000,246.9,251.2,231.9,231.9,244160,0
UIS.US,D,20000503,000000,233.8,233.8,215,219.4,221340,0
UIS.US,D,20000504,000000,220,231.9,219.4,228.8,374130,0
UIS.US,D,20000505,000000,226.2,247.5,225.6,244.4,277170,0
UIS.US,D,20000508,000000,241.9,253.1,232.5,242.5,288950,0
UIS.US,D,20000509,000000,240,243.8,232.5,236.2,226360,0
UIS.US,D,20000510,000000,230,232.5,218.8,223.1,226550,0
UIS.US,D,20000511,000000,230,235,225.6,235,158960,0
UIS.US,D,20000512,000000,235,246.2,234.4,240.6,144500,0
UIS.US,D,20000515,000000,240.6,245.6,234.4,241.2,114260,0
UIS.US,D,20000516,000000,250,260,247.5,259.4,223590,0
