<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNH.US,D,20000103,000000,5.30418,5.40078,5.28833,5.36821,4288619,0
UNH.US,D,20000104,000000,5.32832,5.41635,5.28833,5.2966,7496332,0
UNH.US,D,20000105,000000,5.30418,5.40838,5.25652,5.28833,13201834,0
UNH.US,D,20000106,000000,5.2966,5.53638,5.28064,5.48044,19123308,0
UNH.US,D,20000107,000000,5.7368,6.13681,5.68038,6.12066,20199206,0
UNH.US,D,20000110,000000,6.16853,6.1767,5.96861,6.01656,11668963,0
UNH.US,D,20000111,000000,5.89654,6.12066,5.86453,6.03255,12483892,0
UNH.US,D,20000112,000000,5.97622,6.08856,5.93652,5.96861,7972294,0
UNH.US,D,20000113,000000,6.00041,6.18447,5.96861,6.16064,8726226,0
UNH.US,D,20000114,000000,6.19247,6.27263,6.13681,6.15238,11614972,0
UNH.US,D,20000118,000000,6.01656,6.08856,5.81676,5.89654,6892385,0
UNH.US,D,20000119,000000,5.84078,6.03255,5.84078,5.93652,9662141,0
UNH.US,D,20000120,000000,5.93652,6.08856,5.84078,6.08856,10571065,0
UNH.US,D,20000121,000000,6.08856,6.08856,5.76821,5.83234,16099571,0
UNH.US,D,20000124,000000,5.72843,5.80041,5.44835,5.50421,11877944,0
UNH.US,D,20000125,000000,5.53638,5.6085,5.44835,5.50421,10519066,0
UNH.US,D,20000126,000000,5.44064,5.62462,5.44064,5.49699,10996027,0
UNH.US,D,20000127,000000,5.49699,5.52834,5.37674,5.40838,11315991,0
UNH.US,D,20000128,000000,5.21614,5.4566,5.21614,5.25652,15941585,0
UNH.US,D,20000131,000000,5.25652,5.51254,5.24835,5.2966,5987467,0
UNH.US,D,20000201,000000,5.33639,5.53638,5.30418,5.43241,4979560,0
UNH.US,D,20000202,000000,5.48044,5.64039,5.48044,5.57647,8324262,0
UNH.US,D,20000203,000000,5.52834,5.59244,5.49699,5.52834,17149480,0
UNH.US,D,20000204,000000,5.55252,5.67241,5.55252,5.66463,8998200,0
UNH.US,D,20000207,000000,5.59244,5.84078,5.56841,5.80841,14519713,0
UNH.US,D,20000208,000000,5.59244,5.70469,5.56841,5.59244,10406076,0
UNH.US,D,20000209,000000,5.64039,5.66463,5.36821,5.3848,9407163,0
UNH.US,D,20000210,000000,5.77647,6.03255,5.69661,5.77647,26107690,0
UNH.US,D,20000211,000000,5.70469,5.90451,5.57647,5.59244,23617904,0
UNH.US,D,20000214,000000,5.65645,5.7368,5.63252,5.68038,9094193,0
UNH.US,D,20000215,000000,5.83234,6.13681,5.81676,5.92862,21105129,0
UNH.US,D,20000216,000000,5.96045,6.24072,5.92075,6.12066,20514179,0
UNH.US,D,20000217,000000,6.19247,6.45658,6.1767,6.27263,15522621,0
UNH.US,D,20000218,000000,6.20093,6.24072,5.71257,5.77647,18961323,0
UNH.US,D,20000222,000000,5.79255,5.95256,5.76089,5.87242,7285352,0
UNH.US,D,20000223,000000,5.81676,5.84078,5.68038,5.71257,12256912,0
UNH.US,D,20000224,000000,5.65645,5.66463,5.18445,5.25652,16263559,0
UNH.US,D,20000225,000000,5.25652,5.28064,5.04824,5.11244,12071931,0
UNH.US,D,20000228,000000,5.09638,5.23247,5.04037,5.13636,10666056,0
UNH.US,D,20000229,000000,5.11244,5.18445,5.09638,5.10427,9638144,0
UNH.US,D,20000301,000000,5.10427,5.52834,4.96836,5.4566,15704608,0
UNH.US,D,20000302,000000,5.46431,5.49699,5.19223,5.24037,9422165,0
UNH.US,D,20000303,000000,5.23247,5.52834,5.20038,5.43241,4742579,0
UNH.US,D,20000306,000000,5.42441,5.42441,5.21614,5.24037,5112548,0
UNH.US,D,20000307,000000,5.13636,5.16039,4.88051,4.89648,10762044,0
