<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNM.US,D,20000103,000000,20.9276,21.0042,19.8988,20.0629,839826.04758033,0
UNM.US,D,20000104,000000,19.8104,20.1395,19.4831,19.6875,630781.35031171,0
UNM.US,D,20000105,000000,19.6875,19.7366,18.9888,19.0331,952543.02487487,0
UNM.US,D,20000106,000000,19.1971,19.7366,18.8699,19.4418,1246720.2716871,0
UNM.US,D,20000107,000000,20.3047,20.3047,19.5686,19.7366,1192954.7558839,0
UNM.US,D,20000110,000000,19.8988,19.8988,19.2404,19.6472,1278363.088646,0
UNM.US,D,20000111,000000,19.4418,19.5244,19.1107,19.4045,1311828.5172075,0
UNM.US,D,20000112,000000,19.3612,19.4045,18.9122,19.152,1127430.2914101,0
UNM.US,D,20000113,000000,19.4831,19.4831,19.152,19.318,936161.90875644,0
UNM.US,D,20000114,000000,19.2748,19.8104,19.2748,19.3612,1346275.9782629,0
UNM.US,D,20000118,000000,19.5244,19.5244,19.152,19.318,714934.9203122,0
UNM.US,D,20000119,000000,19.152,19.2748,18.9888,19.1107,914876.73607002,0
UNM.US,D,20000120,000000,19.1971,19.1971,18.1251,18.1693,1281311.2214282,0
UNM.US,D,20000121,000000,18.2125,18.2125,17.4687,17.5906,1569041.6538893,0
UNM.US,D,20000124,000000,17.7566,17.962,17.512,17.5531,1081214.722832,0
UNM.US,D,20000125,000000,17.5531,17.8441,17.3921,17.512,734817.77095034,0
UNM.US,D,20000126,000000,17.3468,18.2558,17.1404,18.0897,1179653.0494302,0
UNM.US,D,20000127,000000,18.1409,18.1409,16.9842,17.4863,1133308.23927,0
UNM.US,D,20000128,000000,17.6495,17.6495,16.9479,17.1542,719273.16333966,0
UNM.US,D,20000131,000000,17.111,17.6917,16.9479,17.6917,826384.92304208,0
UNM.US,D,20000201,000000,17.5286,17.6917,17.3183,17.3969,941200.29515778,0
UNM.US,D,20000202,000000,17.5286,17.731,17.0275,17.1542,804684.54905254,0
UNM.US,D,20000203,000000,17.2338,17.8136,17.1689,17.4863,1140868.3629976,0
UNM.US,D,20000204,000000,17.6495,17.6917,17.3183,17.5286,768699.41846523,0
