<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VZ.US,D,20000103,000000,31.7477,32.2731,31.2242,31.3864,7211999.3798161,0
VZ.US,D,20000104,000000,31.2553,31.6495,29.981,30.3675,7740917.9862506,0
VZ.US,D,20000105,000000,30.894,31.8487,30.6307,31.3864,9848307.0641785,0
VZ.US,D,20000106,000000,31.4553,31.4553,30.7637,31.2242,7276825.2507566,0
VZ.US,D,20000107,000000,31.0251,31.1251,30.4675,31.0008,7799720.583339,0
VZ.US,D,20000110,000000,31.0008,31.2611,30.4675,30.8289,6940153.0717695,0
VZ.US,D,20000111,000000,30.4316,30.7637,30.1703,30.5434,5713132.9073997,0
VZ.US,D,20000112,000000,29.7129,30.3675,29.5148,29.5148,6631166.3304934,0
VZ.US,D,20000113,000000,30.0373,30.1383,29.2807,29.2807,5851212.0845762,0
VZ.US,D,20000114,000000,29.4808,29.8402,29.2807,29.6779,4918388.1779124,0
VZ.US,D,20000118,000000,30.0373,31.5922,29.9382,30.9609,7518243.2148458,0
VZ.US,D,20000119,000000,30.3044,30.8289,30.3044,30.3675,4581200.1595749,0
VZ.US,D,20000120,000000,30.5996,31.2242,30.4675,30.4675,4192603.241505,0
VZ.US,D,20000121,000000,31.5563,32.31,31.096,31.6553,8824529.6631092,0
VZ.US,D,20000124,000000,31.7874,32.0497,31.5922,31.6913,6043960.966321,0
VZ.US,D,20000125,000000,31.6553,31.7555,30.6667,30.8289,6835605.5116086,0
VZ.US,D,20000126,000000,30.9609,31.0629,30.3355,30.4316,6269210.8160001,0
VZ.US,D,20000127,000000,30.5695,30.9609,30.1063,30.7007,4832594.1066305,0
VZ.US,D,20000128,000000,30.5317,31.0251,30.0713,30.3675,5191960.1281771,0
VZ.US,D,20000131,000000,30.3355,33.2035,30.0713,32.6412,8308851.9629547,0
VZ.US,D,20000201,000000,32.0167,32.3479,31.2242,31.3951,7227993.4885372,0
VZ.US,D,20000202,000000,31.6553,31.6913,31.1611,31.2611,4559363.990027,0
VZ.US,D,20000203,000000,31.4942,31.6913,30.5695,30.7997,4005176.4627588,0
VZ.US,D,20000204,000000,30.9609,31.4553,30.7308,30.8619,5260743.8563291,0
VZ.US,D,20000207,000000,30.8619,31.5922,30.5317,31.4942,5124725.9773153,0
VZ.US,D,20000208,000000,31.5223,31.8866,30.9279,31.096,4746268.7517061,0
VZ.US,D,20000209,000000,31.096,31.197,30.3044,30.4675,4986656.0667139,0
VZ.US,D,20000210,000000,30.4073,30.4316,29.9781,30.0713,4409942.5248582,0
VZ.US,D,20000211,000000,30.0082,30.0373,28.6902,29.5148,5314558.976744,0
VZ.US,D,20000214,000000,29.5148,29.6779,28.9233,29.1496,4492997.8083716,0
VZ.US,D,20000215,000000,29.0544,29.0544,28.461,28.5931,6179113.9649868,0
VZ.US,D,20000216,000000,28.4921,29.1496,28.4921,29.0214,5794812.6193119,0
VZ.US,D,20000217,000000,29.4187,29.4808,28.1949,28.3309,5193684.7407758,0
VZ.US,D,20000218,000000,28.2279,28.3629,27.179,27.3411,6635807.8550276,0
VZ.US,D,20000222,000000,27.6704,27.8345,26.9789,27.5373,5550988.4345403,0
VZ.US,D,20000223,000000,26.9449,27.4383,26.3855,26.4855,6206793.224981,0
VZ.US,D,20000224,000000,26.3855,26.6137,25.2258,25.2987,9690625.9916864,0
VZ.US,D,20000225,000000,25.0354,26.0203,24.9665,25.0646,8148600.9602857,0
VZ.US,D,20000228,000000,25.1996,26.8449,25.1355,26.2844,6684295.7243467,0
VZ.US,D,20000229,000000,26.3515,26.4136,25.3958,25.7911,8040274.6966996,0
VZ.US,D,20000301,000000,27.9967,28.9855,27.4742,28.9544,12273110.318678,0
VZ.US,D,20000302,000000,28.5271,29.1827,28.4921,29.1175,7348700.9261527,0
VZ.US,D,20000303,000000,29.1827,29.5779,29.0544,29.1496,6821853.9140755,0
VZ.US,D,20000306,000000,29.6129,30.0373,28.8233,30.0373,6820129.3014768,0
VZ.US,D,20000307,000000,30.0373,30.4316,29.2807,29.3176,6016276.5582296,0
VZ.US,D,20000308,000000,28.8864,30.0713,28.8864,29.7761,5378350.0801252,0
VZ.US,D,20000309,000000,29.7129,30.8998,29.4187,30.8998,6269557.7977587,0
VZ.US,D,20000310,000000,30.7997,30.7997,29.9382,30.2083,6160889.7005112,0
VZ.US,D,20000313,000000,29.8402,30.2083,29.4808,30.1383,5780019.0468834,0
VZ.US,D,20000314,000000,29.7129,29.8722,29.4458,29.5458,5712791.0737384,0
VZ.US,D,20000315,000000,29.5779,29.81,28.9855,29.5458,6556194.5893755,0
VZ.US,D,20000316,000000,29.5458,30.6307,29.1496,30.5035,8077073.2962678,0
VZ.US,D,20000317,000000,30.5996,31.5223,30.4316,31.197,7791633.9520852,0
VZ.US,D,20000320,000000,31.096,31.5922,30.7007,31.1611,5226523.4238935,0
VZ.US,D,20000321,000000,31.1611,31.4553,30.7007,31.0251,5011586.2427449,0
VZ.US,D,20000322,000000,30.7637,31.0008,30.1703,30.5035,6714729.2164015,0
VZ.US,D,20000323,000000,30.9609,31.6913,30.7007,31.4242,9537079.8709533,0
VZ.US,D,20000324,000000,31.4942,31.8525,31.1251,31.3573,5570420.4426447,0
VZ.US,D,20000327,000000,31.3573,32.0856,31.1611,31.9535,5973466.0106234,0
VZ.US,D,20000328,000000,31.9166,32.1148,31.4553,31.8866,5661892.8652589,0
VZ.US,D,20000329,000000,31.8866,32.679,31.7555,32.679,5704192.721612,0
VZ.US,D,20000330,000000,32.612,32.8762,32.2857,32.2857,6737079.1660608,0
VZ.US,D,20000331,000000,32.9403,33.3007,32.2129,32.2129,7950002.8103778,0
VZ.US,D,20000403,000000,32.5479,33.2365,32.1857,33.2365,5696630.1666644,0
VZ.US,D,20000404,000000,34.2253,34.7827,32.9053,33.5979,12015529.388276,0
VZ.US,D,20000405,000000,33.661,34.1262,33.2035,33.3007,5519351.3173346,0
VZ.US,D,20000406,000000,33.6746,34.6002,33.5726,34.5681,4744897.2985829,0
VZ.US,D,20000407,000000,34.2039,34.437,34.0058,34.2651,7586849.8484503,0
VZ.US,D,20000410,000000,33.7377,34.0369,33.2706,33.5046,5774179.0452955,0
VZ.US,D,20000411,000000,33.9349,34.3,33.8076,33.9688,4779284.5293713,0
VZ.US,D,20000412,000000,34.0679,34.6002,33.8349,34.1359,7029220.3033209,0
VZ.US,D,20000413,000000,34.0679,34.0679,33.4425,33.4425,5061618.5412567,0
VZ.US,D,20000414,000000,33.3065,33.8076,32.0429,32.412,6761669.5676693,0
VZ.US,D,20000417,000000,32.375,32.612,31.3864,32.1478,6128900.4534496,0
VZ.US,D,20000418,000000,32.0167,32.679,31.9467,32.1798,5141407.8718369,0
VZ.US,D,20000419,000000,32.278,32.8112,32.1478,32.7412,3782677.7562818,0
VZ.US,D,20000420,000000,32.481,32.5479,31.7175,31.9467,3530085.3321728,0
VZ.US,D,20000424,000000,32.0808,32.8413,31.9798,32.8413,4131733.1685372,0
VZ.US,D,20000425,000000,32.9772,33.3716,32.31,33.3716,5275530.2214213,0
VZ.US,D,20000426,000000,32.679,33.118,32.2129,32.612,5237870.859983,0
VZ.US,D,20000427,000000,32.375,32.445,31.7477,31.8176,5805640.0975733,0
VZ.US,D,20000428,000000,32.0167,32.0429,31.0183,31.8176,7649951.1067921,0
VZ.US,D,20000501,000000,31.4184,31.6155,30.7541,30.7541,9887167.9915288,0
VZ.US,D,20000502,000000,30.4928,30.5559,28.5649,29.1681,11561937.741674,0
VZ.US,D,20000503,000000,29.1301,29.5275,28.9981,29.3972,10637890.311303,0
VZ.US,D,20000504,000000,29.3633,29.3633,28.5309,28.5309,7373805.1078726,0
VZ.US,D,20000505,000000,28.4066,28.797,28.3678,28.6028,3940867.4607882,0
VZ.US,D,20000508,000000,28.6679,29.0301,28.1988,28.8805,6372724.6382213,0
VZ.US,D,20000509,000000,28.5649,29.1681,28.4339,28.6193,7273045.517712,0
VZ.US,D,20000510,000000,28.5028,29.0972,28.1725,28.4339,6172578.9702622,0
VZ.US,D,20000511,000000,28.968,29.2312,28.6028,29.0263,5890068.8934488,0
VZ.US,D,20000512,000000,28.7009,28.766,27.9045,28.1016,9605514.5581077,0
VZ.US,D,20000515,000000,28.3046,29.1952,28.0365,29.1952,6456981.4876466,0
VZ.US,D,20000516,000000,29.6313,29.6313,29.0972,29.2992,4718932.3549927,0
VZ.US,D,20000517,000000,28.766,28.8621,28.6028,28.766,4340128.1476249,0
VZ.US,D,20000518,000000,28.5649,28.8349,28.4697,28.5649,4236106.723009,0
