<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WEC.US,D,20000103,000000,4.59546,4.59546,4.46167,4.49013,2467650.0044432,0
WEC.US,D,20000104,000000,4.4826,4.53902,4.46891,4.52514,2227269.3810094,0
WEC.US,D,20000105,000000,4.53902,4.77073,4.52514,4.72867,2946691.464291,0
WEC.US,D,20000106,000000,4.79214,4.79214,4.68642,4.71458,2830000.5408474,0
WEC.US,D,20000107,000000,4.72182,4.78491,4.70784,4.77073,1566009.226887,0
WEC.US,D,20000110,000000,4.82696,4.82696,4.74284,4.77073,3793896.177076,0
WEC.US,D,20000111,000000,4.80613,4.80613,4.71458,4.71458,3953841.482264,0
WEC.US,D,20000112,000000,4.73581,4.81307,4.73581,4.79899,2616238.7849991,0
WEC.US,D,20000113,000000,4.82696,4.82696,4.74284,4.75664,2019590.2725938,0
WEC.US,D,20000114,000000,4.79214,4.79214,4.68642,4.68642,2614960.7030877,0
WEC.US,D,20000118,000000,4.68642,4.7007,4.5534,4.59546,2518114.8130991,0
WEC.US,D,20000119,000000,4.62343,4.71458,4.59546,4.71458,1588855.19667,0
WEC.US,D,20000120,000000,4.68642,4.71458,4.65864,4.68642,1976192.7456752,0
WEC.US,D,20000121,000000,4.69375,4.81307,4.67938,4.78491,2584406.3656805,0
WEC.US,D,20000124,000000,4.79899,4.85522,4.78491,4.78491,3666791.4422183,0
WEC.US,D,20000125,000000,4.78491,4.81307,4.72867,4.75664,3131785.3316335,0
WEC.US,D,20000126,000000,4.74284,4.79214,4.72867,4.74284,1949361.2052597,0
WEC.US,D,20000127,000000,4.76387,4.77797,4.67263,4.71458,2356668.5285145,0
WEC.US,D,20000128,000000,4.77797,4.77797,4.60925,4.67263,3543716.2440108,0
WEC.US,D,20000131,000000,4.68642,4.7007,4.65864,4.65864,3271501.1563275,0
WEC.US,D,20000201,000000,4.68642,4.71458,4.64435,4.68642,1943752.9818324,0
WEC.US,D,20000202,000000,4.74284,4.81307,4.71458,4.75664,2086193.6771616,0
WEC.US,D,20000203,000000,4.77073,4.99576,4.75664,4.93259,3312240.2728703,0
WEC.US,D,20000204,000000,4.89015,4.90442,4.73581,4.79899,1974257.2184286,0
WEC.US,D,20000207,000000,4.80613,4.80613,4.65864,4.65864,3501024.2183074,0
WEC.US,D,20000208,000000,4.74284,4.82022,4.71458,4.72867,1750378.1661694,0
WEC.US,D,20000209,000000,4.71458,4.77073,4.7007,4.72867,23247407.13162,0
WEC.US,D,20000210,000000,4.81307,4.89015,4.68642,4.73581,4386525.3774863,0
WEC.US,D,20000211,000000,4.74999,4.78491,4.61659,4.63038,3637852.6003472,0
WEC.US,D,20000214,000000,4.64435,4.65864,4.63038,4.65864,2478952.3384022,0
WEC.US,D,20000215,000000,4.65864,4.65864,4.63038,4.63038,2373045.3588945,0
WEC.US,D,20000216,000000,4.61659,4.63038,4.59546,4.63038,1609755.414551,0
WEC.US,D,20000217,000000,4.63038,4.64435,4.58129,4.63038,1811993.9838861,0
WEC.US,D,20000218,000000,4.59546,4.63038,4.5179,4.58129,1402600.8309519,0
WEC.US,D,20000222,000000,4.61659,4.61659,4.5534,4.5534,2027568.5711176,0
WEC.US,D,20000224,000000,4.52514,4.53902,4.27877,4.32142,3590679.1082296,0
WEC.US,D,20000225,000000,4.29295,4.34225,4.26508,4.29295,4832834.6483498,0
WEC.US,D,20000228,000000,4.2863,4.34919,4.24396,4.33512,5601658.176137,0
WEC.US,D,20000229,000000,4.34919,4.36338,4.30009,4.33512,3049738.6077137,0
WEC.US,D,20000302,000000,4.33512,4.39858,4.30713,4.38431,2136884.4506995,0
WEC.US,D,20000303,000000,4.38431,4.39858,4.32142,4.33512,2157746.8373558,0
WEC.US,D,20000306,000000,4.34225,4.35653,4.17384,4.18762,3505910.5810712,0
WEC.US,D,20000307,000000,4.18762,4.251,4.18762,4.20161,3614853.2607349,0
WEC.US,D,20000308,000000,4.24396,4.26508,4.12465,4.12465,5072546.5793276,0
WEC.US,D,20000309,000000,4.13852,4.24396,4.13852,4.2157,2525586.9911861,0
WEC.US,D,20000310,000000,4.2157,4.251,4.17384,4.20161,1883211.7753868,0
WEC.US,D,20000313,000000,4.2157,4.22988,4.16659,4.2157,1740264.9596207,0
WEC.US,D,20000314,000000,4.2157,4.27877,4.18087,4.24396,2302859.2351126,0
WEC.US,D,20000315,000000,4.27233,4.50431,4.25814,4.41247,3087171.0707353,0
WEC.US,D,20000316,000000,4.53902,4.78491,4.51066,4.70784,3990706.4769169,0
WEC.US,D,20000317,000000,4.64435,4.73581,4.5534,4.65864,2736713.8533659,0
WEC.US,D,20000320,000000,4.67263,4.72182,4.65864,4.65864,1309219.054176,0
WEC.US,D,20000321,000000,4.67938,4.70784,4.66539,4.69375,1809494.0556674,0
WEC.US,D,20000322,000000,4.67938,4.69375,4.43351,4.52514,5141184.6902983,0
WEC.US,D,20000323,000000,4.54606,4.59546,4.53209,4.59546,2998191.0080623,0
WEC.US,D,20000324,000000,4.60231,4.64435,4.5671,4.5671,1410616.9607003,0
WEC.US,D,20000327,000000,4.54606,4.63038,4.54606,4.59546,2143778.9357623,0
WEC.US,D,20000328,000000,4.61659,4.6515,4.5534,4.61659,2025913.1994259,0
WEC.US,D,20000329,000000,4.65864,4.73581,4.65864,4.73581,2669101.2753208,0
WEC.US,D,20000330,000000,4.75664,4.89015,4.75664,4.81307,2556707.7744963,0
WEC.US,D,20000331,000000,4.85522,4.89015,4.79899,4.89015,3292090.5446877,0
