<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WFC.US,D,20000103,000000,13.5015,13.5242,12.722,13.1048,12556875.819728,0
WFC.US,D,20000104,000000,12.4802,12.6252,12.0559,12.4496,21172029.994838,0
WFC.US,D,20000105,000000,12.3914,12.644,12.0717,12.3292,11433050.614102,0
WFC.US,D,20000106,000000,12.415,13.0624,12.3706,12.8759,11570050.762004,0
WFC.US,D,20000107,000000,13.1462,13.2913,12.9183,13.1048,10714681.720394,0
WFC.US,D,20000110,000000,12.8532,12.9401,12.644,12.6805,12440430.811514,0
WFC.US,D,20000111,000000,12.6598,12.722,12.415,12.4802,8574301.2909928,0
WFC.US,D,20000112,000000,12.492,12.9401,12.492,12.8315,9768157.2616807,0
WFC.US,D,20000113,000000,13.3485,13.5618,13.2913,13.545,15391448.228879,0
WFC.US,D,20000114,000000,14.6521,14.6521,13.7759,13.9614,15975591.573998,0
WFC.US,D,20000118,000000,13.3141,13.4778,12.8907,13.0209,17707739.065435,0
WFC.US,D,20000119,000000,12.8532,13.0397,12.2207,12.3055,23816792.652723,0
WFC.US,D,20000120,000000,12.3292,12.492,11.9898,12.1841,20794085.588238,0
WFC.US,D,20000121,000000,12.2207,12.6005,12.0717,12.271,19476010.056403,0
WFC.US,D,20000124,000000,12.3914,12.5365,11.8654,12.0193,13255790.090493,0
WFC.US,D,20000125,000000,11.9898,12.722,11.9898,12.6005,14868994.623641,0
WFC.US,D,20000126,000000,12.5365,12.8907,12.3914,12.722,20268855.356951,0
WFC.US,D,20000127,000000,12.9401,13.3141,12.788,13.0624,14249277.023997,0
WFC.US,D,20000128,000000,13.0209,13.1048,12.788,12.9835,11239630.235606,0
WFC.US,D,20000131,000000,12.8315,13.3919,12.8315,13.3919,12877017.762914,0
WFC.US,D,20000201,000000,13.3919,13.6239,13.3298,13.545,13240228.82422,0
WFC.US,D,20000202,000000,13.615,13.6397,13.1344,13.1344,9222915.055509,0
WFC.US,D,20000203,000000,13.2351,13.3417,12.8176,13.09,15014338.836827,0
WFC.US,D,20000204,000000,13.169,13.169,12.9401,12.9923,9930455.1076316,0
WFC.US,D,20000207,000000,12.8828,13.0041,12.795,12.8601,12329271.526463,0
WFC.US,D,20000208,000000,12.9075,13.3209,12.9075,13.1118,11734292.246189,0
WFC.US,D,20000209,000000,12.9401,13.0041,12.7091,12.7536,12510469.683515,0
WFC.US,D,20000210,000000,12.7536,12.8176,12.349,12.3776,19801426.575713,0
