<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHR.US,D,20000103,000000,43.5259,43.6112,41.7468,41.8339,405069.32848941,0
WHR.US,D,20000104,000000,41.6665,42.0866,39.8854,40.2299,650257.00603836,0
WHR.US,D,20000105,000000,40.2299,41.1593,40.139,40.8166,577195.84880344,0
WHR.US,D,20000106,000000,40.7382,41.7033,40.3964,41.1593,366820.25327169,0
WHR.US,D,20000107,000000,41.2357,41.6665,40.8601,41.2841,410574.50936276,0
WHR.US,D,20000110,000000,41.4545,42.4215,41.3673,41.7903,292658.88631073,0
WHR.US,D,20000111,000000,41.9559,43.6934,41.9559,43.3159,425843.14762658,0
WHR.US,D,20000112,000000,43.1437,43.1873,41.7903,41.7903,491337.13468,0
WHR.US,D,20000113,000000,41.9559,42.1331,41.4545,41.5803,240096.75404663,0
WHR.US,D,20000114,000000,41.6209,42.0866,41.3673,41.4148,329532.95763609,0
WHR.US,D,20000118,000000,40.6055,40.8166,40.0983,40.139,321276.73591724,0
WHR.US,D,20000119,000000,41.6209,42.766,40.352,40.352,754000.06830952,0
WHR.US,D,20000120,000000,40.5281,40.9908,40.0169,40.2697,649292.12727392,0
WHR.US,D,20000121,000000,37.9019,39.2542,35.36,38.9116,3375392.8195329,0
WHR.US,D,20000124,000000,39.0858,40.562,38.8312,39.2097,1230617.1199975,0
WHR.US,D,20000125,000000,39.2097,39.5098,35.0231,36.297,1544603.5460212,0
WHR.US,D,20000126,000000,37.2611,40.562,37.2291,40.5281,1267081.066195,0
WHR.US,D,20000127,000000,40.352,40.774,38.1943,38.3675,1231578.8995797,0
WHR.US,D,20000128,000000,37.4731,39.6337,37.4731,38.4091,516659.52041227,0
WHR.US,D,20000131,000000,38.2339,39.7644,38.0713,39.4217,538667.8471763,0
WHR.US,D,20000201,000000,39.4217,40.9027,39.4217,40.3964,731304.75612969,0
WHR.US,D,20000202,000000,40.2299,40.2697,38.956,38.9987,644340.66697633,0
WHR.US,D,20000203,000000,38.956,39.4217,38.6202,38.956,488453.86205522,0
WHR.US,D,20000204,000000,39.1216,39.3762,38.1129,38.1565,412910.25977645,0
WHR.US,D,20000207,000000,38.1565,38.746,37.2291,37.6029,681488.49940724,0
WHR.US,D,20000208,000000,37.7722,38.0249,36.7994,36.7994,512253.5162042,0
WHR.US,D,20000209,000000,37.2611,37.4731,37.0094,37.1817,488724.52397844,0
WHR.US,D,20000210,000000,37.2291,37.5177,36.629,36.7994,397502.15830792,0
WHR.US,D,20000211,000000,37.1817,37.4731,35.6116,35.7007,348655.94565379,0
WHR.US,D,20000214,000000,35.0231,36.4645,34.1771,35.8207,1020103.0943219,0
WHR.US,D,20000215,000000,35.9127,36.5854,35.148,35.6553,978275.49657738,0
WHR.US,D,20000216,000000,35.9127,36.629,35.8682,36.5429,678741.59080483,0
WHR.US,D,20000217,000000,36.5429,39.5495,36.5429,38.5776,791149.96686197,0
WHR.US,D,20000218,000000,38.1565,38.3675,36.7607,36.8855,670071.11171497,0
WHR.US,D,20000222,000000,36.8855,37.3928,36.7172,36.9262,651354.11658209,0
WHR.US,D,20000223,000000,36.9262,37.1817,36.629,36.6755,643519.3836597,0
WHR.US,D,20000224,000000,36.6755,37.0094,35.5778,36.7172,926544.97823768,0
WHR.US,D,20000225,000000,36.6881,37.0734,36.3125,36.3561,963005.82525278,0
WHR.US,D,20000228,000000,36.6881,36.7733,36.0124,36.5216,401629.23610656,0
WHR.US,D,20000229,000000,36.1808,37.4586,36.1808,36.9863,668695.07476182,0
WHR.US,D,20000302,000000,36.2234,36.3561,34.8198,35.0763,485972.45007216,0
WHR.US,D,20000303,000000,35.1179,36.265,34.9437,35.54,748360.58953535,0
WHR.US,D,20000306,000000,35.4955,35.9669,35.4955,35.6262,442218.19398109,0
WHR.US,D,20000307,000000,35.4587,36.5216,34.2255,34.3464,453227.52266699,0
WHR.US,D,20000308,000000,34.5672,34.7356,33.1112,33.7976,540180.24815182,0
WHR.US,D,20000309,000000,33.7976,35.54,33.4975,35.1993,803122.10819076,0
WHR.US,D,20000310,000000,35.3715,35.7133,33.7077,34.0939,380305.82863678,0
WHR.US,D,20000313,000000,33.7077,34.4771,33.3756,33.7512,533855.85008342,0
WHR.US,D,20000314,000000,33.9264,34.3464,33.2865,33.2865,563444.77681902,0
WHR.US,D,20000315,000000,33.455,38.3956,33.455,36.8188,895171.95554255,0
WHR.US,D,20000316,000000,38.142,39.9299,37.7568,39.7963,1161822.503766,0
WHR.US,D,20000317,000000,39.7575,40.6936,38.8187,38.8621,800367.96816292,0
WHR.US,D,20000320,000000,38.9483,39.2929,37.5458,38.7393,669521.52338232,0
WHR.US,D,20000321,000000,38.7393,42.1815,38.6511,41.1224,841649.07675712,0
WHR.US,D,20000322,000000,40.4382,40.6055,38.3956,39.2455,621501.75934869,0
