<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WY.US,D,20000103,000000,15.3981,15.4118,14.8978,15.1381,4073022.335775,0
WY.US,D,20000104,000000,15.1145,15.2602,14.4233,14.573,5026760.7679465,0
WY.US,D,20000105,000000,14.573,15.3577,14.5059,15.3419,4955224.165092,0
WY.US,D,20000106,000000,15.4237,16.1425,15.21,16.0598,5470155.8830599,0
WY.US,D,20000107,000000,15.6157,15.8688,15.3154,15.533,7228288.3208838,0
WY.US,D,20000110,000000,15.6403,15.6836,15.1952,15.465,3438035.5853217,0
WY.US,D,20000111,000000,15.465,15.6009,15.1952,15.3035,2833166.9440726,0
WY.US,D,20000112,000000,15.0859,15.1381,14.8978,14.9344,2883787.6291006,0
WY.US,D,20000113,000000,14.9344,15.0337,14.6813,14.8546,3367344.9625374,0
WY.US,D,20000114,000000,14.9501,15.0474,14.8703,15.0062,3611215.7288297,0
WY.US,D,20000118,000000,14.9501,14.9923,14.2608,14.4233,3453934.5265003,0
WY.US,D,20000119,000000,13.4366,13.8788,13.3657,13.7606,12948596.346869,0
WY.US,D,20000120,000000,13.7606,14.1239,13.6099,14.0836,12464199.126855,0
WY.US,D,20000121,000000,14.0836,14.0836,13.5862,13.8443,6196330.7542094,0
WY.US,D,20000124,000000,13.8443,13.9476,12.7946,13.22,6419709.1005014,0
WY.US,D,20000125,000000,12.8921,13.0142,12.1615,12.6075,7688425.3104993,0
WY.US,D,20000126,000000,12.6538,13.0901,12.5466,12.6253,10708573.146191,0
WY.US,D,20000127,000000,12.6538,12.833,12.3309,12.45,5584359.1302326,0
WY.US,D,20000128,000000,12.3683,12.9808,12.2176,12.8862,10469309.061291,0
WY.US,D,20000131,000000,12.8025,12.8025,12.0679,12.5199,4557833.9133739,0
WY.US,D,20000201,000000,12.5199,12.8468,12.2856,12.4914,6054949.5086411,0
WY.US,D,20000202,000000,12.4914,12.5466,12.0552,12.3309,8941243.5949009,0
WY.US,D,20000203,000000,12.2176,12.3013,11.9035,11.9173,5601089.8333292,0
WY.US,D,20000204,000000,12.0552,12.1615,11.7834,11.997,8160268.9174875,0
WY.US,D,20000207,000000,11.8356,11.8927,11.3167,11.4821,7603929.8772749,0
WY.US,D,20000208,000000,11.6042,11.8198,11.4535,11.7145,10617800.398663,0
WY.US,D,20000209,000000,11.5765,11.8927,11.2527,11.3324,5967940.5091811,0
WY.US,D,20000210,000000,11.3029,11.4122,10.976,11.3472,23945383.630076,0
WY.US,D,20000211,000000,11.3472,11.5106,10.6638,11.1946,9651111.2607801,0
WY.US,D,20000214,000000,11.0597,11.4289,10.7446,11.3698,6237745.1855302,0
WY.US,D,20000215,000000,11.3472,11.8493,11.1385,11.7007,6986511.68533,0
WY.US,D,20000216,000000,11.5372,11.7696,11.2527,11.6731,5824040.6194657,0
WY.US,D,20000217,000000,11.9489,12.0285,11.2349,11.5244,5296564.4287133,0
WY.US,D,20000218,000000,11.2645,11.3472,10.3497,10.6362,7712683.5097325,0
