<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XOM.US,D,20000103,000000,23.9567,24.3214,23.4569,23.5852,21754238.386533,0
XOM.US,D,20000104,000000,23.3198,23.5434,23.0435,23.1457,23455690.27221,0
XOM.US,D,20000105,000000,23.487,24.6267,23.4373,24.4012,28263275.67302,0
XOM.US,D,20000106,000000,24.2844,25.8472,24.1473,25.6519,31458316.564044,0
XOM.US,D,20000107,000000,25.8832,25.9795,25.3095,25.572,26838882.092837,0
XOM.US,D,20000110,000000,25.3668,25.504,25.1732,25.2288,13813043.047253,0
XOM.US,D,20000111,000000,25.2288,25.6703,25.1909,25.3095,14099476.09739,0
XOM.US,D,20000112,000000,25.0732,25.4242,24.9361,25.1548,16672179.752953,0
XOM.US,D,20000113,000000,25.1548,25.9066,25.0391,25.7267,19487683.844921,0
XOM.US,D,20000114,000000,25.752,25.752,24.9974,25.2288,18215228.582508,0
XOM.US,D,20000118,000000,24.9195,25.752,24.8018,25.5234,19283041.508652,0
XOM.US,D,20000119,000000,25.3843,25.8658,25.2112,25.7714,21157125.661417,0
XOM.US,D,20000120,000000,25.6519,25.6703,24.9,25.2112,15539389.368358,0
XOM.US,D,20000121,000000,25.3095,25.6519,25.0936,25.5954,23185424.723445,0
XOM.US,D,20000124,000000,25.7267,26.0009,24.9974,25.3843,20139745.303633,0
XOM.US,D,20000125,000000,25.3095,25.9445,25.2482,25.3299,19270431.824156,0
XOM.US,D,20000126,000000,25.3299,25.4845,24.9,25.1548,15029565.520937,0
XOM.US,D,20000127,000000,25.0936,25.0936,24.0297,24.4012,17050748.949214,0
XOM.US,D,20000128,000000,24.0928,24.4012,23.7603,23.7603,16747832.718575,0
XOM.US,D,20000131,000000,23.6806,25.1732,23.4569,24.9565,23619595.605243,0
XOM.US,D,20000201,000000,25.0936,25.1344,24.512,25.0517,17239869.538154,0
XOM.US,D,20000202,000000,25.0732,25.5546,25.0732,25.2482,18690456.259752,0
XOM.US,D,20000203,000000,25.1344,25.3095,24.1084,24.8018,18768043.4027,0
