<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19840907,000000,0.0991725,0.10039,0.0979751,0.0991725,99242379,0
AAPL.US,D,19840910,000000,0.0991725,0.0994767,0.096788,0.0985838,77028276,0
AAPL.US,D,19840911,000000,0.0994767,0.102175,0.0994767,0.10039,181637249,0
AAPL.US,D,19840912,000000,0.10039,0.100977,0.097367,0.097367,158675628,0
AAPL.US,D,19840913,000000,0.102784,0.103077,0.102784,0.102784,247131424,0
AAPL.US,D,19840914,000000,0.103077,0.10666,0.103077,0.104265,294256135,0
AAPL.US,D,19840917,000000,0.106973,0.108466,0.106973,0.106973,229749930,0
AAPL.US,D,19840918,000000,0.106973,0.107856,0.103077,0.103077,115983024,0
AAPL.US,D,19840919,000000,0.103077,0.104265,0.100977,0.100977,126689546,0
AAPL.US,D,19840920,000000,0.101273,0.102175,0.101273,0.101273,78870605,0
AAPL.US,D,19840921,000000,0.101273,0.104265,0.0991725,0.10039,119000008,0
AAPL.US,D,19840924,000000,0.10039,0.100977,0.0994767,0.0994767,94169483,0
AAPL.US,D,19840925,000000,0.0991725,0.0991725,0.097367,0.097367,198805147,0
AAPL.US,D,19840926,000000,0.097367,0.10186,0.0961894,0.0961894,132269776,0
AAPL.US,D,19840927,000000,0.0961894,0.096788,0.0961894,0.0961894,126262348,0
AAPL.US,D,19840928,000000,0.0961894,0.0961894,0.0919896,0.0937853,278209676,0
AAPL.US,D,19841001,000000,0.0935009,0.0935009,0.0916856,0.0916856,116543693,0
AAPL.US,D,19841002,000000,0.0922843,0.0955813,0.0922843,0.0922843,140947077,0
AAPL.US,D,19841003,000000,0.0937853,0.0952769,0.0937853,0.0937853,143536998,0
AAPL.US,D,19841004,000000,0.0949629,0.0955813,0.0949629,0.0949629,149571093,0
AAPL.US,D,19841005,000000,0.0949629,0.0949629,0.0922843,0.0928924,116303425,0
AAPL.US,D,19841008,000000,0.0928924,0.0935009,0.0928924,0.0928924,55989049,0
AAPL.US,D,19841009,000000,0.0928924,0.0935009,0.0919896,0.0919896,149304079,0
AAPL.US,D,19841010,000000,0.0919896,0.0919896,0.0892817,0.0892817,434882857,0
AAPL.US,D,19841011,000000,0.0892817,0.0916856,0.0886927,0.0886927,217841937,0
AAPL.US,D,19841012,000000,0.0886927,0.0892817,0.084179,0.0847876,316817319,0
