<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NFLX.US,D,20050225,000000,0.15271,0.15829,0.15214,0.157,294692930,0
NFLX.US,D,20050228,000000,0.15829,0.15857,0.15,0.15286,66076570,0
NFLX.US,D,20050301,000000,0.15286,0.15643,0.15157,0.15414,44518810,0
NFLX.US,D,20050302,000000,0.15429,0.15786,0.15143,0.15257,144593960,0
NFLX.US,D,20050303,000000,0.15271,0.15557,0.15,0.15086,73538780,0
NFLX.US,D,20050304,000000,0.15143,0.15443,0.15,0.15286,54992700,0
NFLX.US,D,20050307,000000,0.15271,0.15457,0.15,0.15129,42383110,0
NFLX.US,D,20050308,000000,0.15114,0.15171,0.14371,0.14457,76777050,0
NFLX.US,D,20050309,000000,0.14429,0.14629,0.13886,0.143,97212850,0
NFLX.US,D,20050310,000000,0.14243,0.14429,0.14086,0.14129,51532110,0
NFLX.US,D,20050311,000000,0.14271,0.14286,0.13386,0.13471,95498340,0
NFLX.US,D,20050314,000000,0.13457,0.13929,0.13429,0.13571,61901770,0
NFLX.US,D,20050315,000000,0.13529,0.13743,0.13029,0.13143,105374920,0
NFLX.US,D,20050316,000000,0.13014,0.13314,0.13,0.131,72609180,0
NFLX.US,D,20050317,000000,0.13171,0.132,0.13071,0.13143,45545290,0
NFLX.US,D,20050318,000000,0.13214,0.13214,0.13071,0.13143,70399210,0
NFLX.US,D,20050321,000000,0.13214,0.13571,0.13086,0.133,61939290,0
NFLX.US,D,20050322,000000,0.13357,0.13414,0.13071,0.13071,43111670,0
NFLX.US,D,20050323,000000,0.13,0.13214,0.12929,0.13129,58622270,0
NFLX.US,D,20050324,000000,0.13014,0.13171,0.12729,0.129,67823840,0
NFLX.US,D,20050328,000000,0.13786,0.14186,0.13571,0.13971,125298460,0
NFLX.US,D,20050329,000000,0.14043,0.14814,0.13929,0.14429,101645950,0
NFLX.US,D,20050330,000000,0.14471,0.14729,0.14143,0.14643,56646450,0
NFLX.US,D,20050331,000000,0.14657,0.155,0.14643,0.155,136815560,0
NFLX.US,D,20050401,000000,0.15571,0.15714,0.15357,0.15471,102005470,0
NFLX.US,D,20050404,000000,0.15657,0.15714,0.15157,0.15657,62358730,0
NFLX.US,D,20050405,000000,0.15029,0.156,0.15014,0.15457,46131820,0
NFLX.US,D,20050406,000000,0.15614,0.16,0.15429,0.15857,90584550,0
NFLX.US,D,20050407,000000,0.15771,0.16243,0.15614,0.16057,74788070,0
NFLX.US,D,20050408,000000,0.16257,0.17386,0.16257,0.17157,243046790,0
NFLX.US,D,20050411,000000,0.172,0.172,0.16429,0.16986,75122810,0
NFLX.US,D,20050412,000000,0.16729,0.17,0.16614,0.16671,41498730,0
NFLX.US,D,20050413,000000,0.16757,0.17643,0.16714,0.173,95584020,0
NFLX.US,D,20050414,000000,0.17471,0.17471,0.16829,0.17114,61371450,0
NFLX.US,D,20050415,000000,0.17971,0.18571,0.165,0.167,147615860,0
NFLX.US,D,20050418,000000,0.16843,0.16986,0.15543,0.16186,66529820,0
NFLX.US,D,20050419,000000,0.16271,0.16671,0.15771,0.166,46292470,0
NFLX.US,D,20050420,000000,0.16571,0.16643,0.15929,0.16357,55511120,0
NFLX.US,D,20050421,000000,0.16786,0.17457,0.16429,0.17357,176925980,0
NFLX.US,D,20050422,000000,0.16229,0.16329,0.15757,0.16,169926540,0
NFLX.US,D,20050425,000000,0.16143,0.16429,0.15857,0.16429,84545510,0
NFLX.US,D,20050426,000000,0.16357,0.16486,0.16129,0.16143,42208460,0
NFLX.US,D,20050427,000000,0.161,0.16714,0.161,0.16429,43214920,0
NFLX.US,D,20050428,000000,0.16157,0.16543,0.161,0.16443,31998610,0
NFLX.US,D,20050429,000000,0.16529,0.16771,0.16357,0.165,45059210,0
NFLX.US,D,20050502,000000,0.16471,0.16629,0.16171,0.16529,30215850,0
NFLX.US,D,20050503,000000,0.16357,0.167,0.16357,0.16486,32285120,0
NFLX.US,D,20050504,000000,0.166,0.16986,0.16286,0.16571,57052870,0
NFLX.US,D,20050505,000000,0.16486,0.17143,0.16186,0.16343,67072880,0
NFLX.US,D,20050506,000000,0.16357,0.16571,0.16286,0.16529,28884170,0
NFLX.US,D,20050509,000000,0.16429,0.16786,0.16357,0.16586,22616230,0
NFLX.US,D,20050510,000000,0.16457,0.167,0.16457,0.16543,42361690,0
NFLX.US,D,20050511,000000,0.165,0.18586,0.16486,0.185,264541060,0
NFLX.US,D,20050512,000000,0.18571,0.20557,0.17829,0.19757,448871220,0
NFLX.US,D,20050513,000000,0.19557,0.20857,0.19443,0.204,229665310,0
NFLX.US,D,20050516,000000,0.20686,0.21457,0.20443,0.21214,210143010,0
NFLX.US,D,20050517,000000,0.21,0.21,0.195,0.20686,163928100,0
NFLX.US,D,20050518,000000,0.20657,0.22371,0.20443,0.22143,163540790,0
NFLX.US,D,20050519,000000,0.27043,0.27529,0.22614,0.23043,1498799960,0
NFLX.US,D,20050520,000000,0.22943,0.23214,0.22071,0.22757,214174310,0
NFLX.US,D,20050523,000000,0.22557,0.229,0.21957,0.22214,133210980,0
NFLX.US,D,20050524,000000,0.22014,0.22129,0.205,0.20629,212863280,0
NFLX.US,D,20050525,000000,0.205,0.21186,0.20214,0.20771,120534120,0
NFLX.US,D,20050526,000000,0.20929,0.20929,0.20371,0.20914,61851860,0
NFLX.US,D,20050527,000000,0.21014,0.21271,0.207,0.20786,50775340,0
NFLX.US,D,20050531,000000,0.20771,0.20914,0.19957,0.20414,54018300,0
NFLX.US,D,20050601,000000,0.20286,0.21043,0.20286,0.20714,42533190,0
NFLX.US,D,20050602,000000,0.20614,0.215,0.20543,0.21257,86805320,0
NFLX.US,D,20050603,000000,0.215,0.21629,0.20786,0.20957,69852440,0
NFLX.US,D,20050606,000000,0.20786,0.21857,0.20571,0.21743,65311400,0
NFLX.US,D,20050607,000000,0.21857,0.224,0.21286,0.21429,76585110,0
NFLX.US,D,20050608,000000,0.21514,0.21643,0.21071,0.21229,37016070,0
NFLX.US,D,20050609,000000,0.215,0.22386,0.20929,0.22357,80424400,0
NFLX.US,D,20050610,000000,0.22357,0.24414,0.22143,0.24157,196698880,0
NFLX.US,D,20050613,000000,0.23857,0.24786,0.23143,0.238,134294020,0
NFLX.US,D,20050614,000000,0.23586,0.24371,0.23429,0.24286,49038710,0
NFLX.US,D,20050615,000000,0.24257,0.24529,0.23886,0.245,51443980,0
NFLX.US,D,20050616,000000,0.24571,0.25486,0.24429,0.25186,152512150,0
NFLX.US,D,20050617,000000,0.25214,0.25414,0.24429,0.246,70919940,0
NFLX.US,D,20050620,000000,0.24286,0.246,0.24,0.24557,42560560,0
NFLX.US,D,20050621,000000,0.244,0.24757,0.23571,0.238,37111200,0
NFLX.US,D,20050622,000000,0.23271,0.24143,0.23114,0.236,68498430,0
NFLX.US,D,20050623,000000,0.23529,0.23843,0.22843,0.22929,49810950,0
NFLX.US,D,20050624,000000,0.22857,0.22971,0.21071,0.22529,219366560,0
